code	display_name	weight	sw1_code	sw1_name
000008.XSHE	神州高铁	0.107	801890	机械设备
000009.XSHE	中国宝安	0.392	801230	综合
000012.XSHE	南玻A	0.153	801710	建筑材料
000021.XSHE	深科技	0.337	801080	电子
000025.XSHE	特力A	0.045	801880	汽车
000027.XSHE	深圳能源	0.147	801160	公用事业
000028.XSHE	国药一致	0.135	801150	医药生物
000031.XSHE	大悦城	0.128	801180	房地产
000039.XSHE	中集集团	0.161	801890	机械设备
000046.XSHE	泛海控股	0.119	801180	房地产
000050.XSHE	深天马A	0.312	801080	电子
000060.XSHE	中金岭南	0.212	801050	有色金属
000061.XSHE	农产品	0.104	801200	商业贸易
000062.XSHE	深圳华强	0.092	801080	电子
000078.XSHE	海王生物	0.154	801150	医药生物
000089.XSHE	深圳机场	0.186	801170	交通运输
000090.XSHE	天健集团	0.203	801180	房地产
000156.XSHE	华数传媒	0.116	801760	传媒
000158.XSHE	常山北明	0.165	801750	计算机
000301.XSHE	东方盛虹	0.103	801030	化工
000400.XSHE	许继电气	0.176	801730	电气设备
000401.XSHE	冀东水泥	0.328	801710	建筑材料
000402.XSHE	金融街	0.15	801180	房地产
000415.XSHE	渤海租赁	0.138	801790	非银金融
000488.XSHE	晨鸣纸业	0.132	801140	轻工制造
000501.XSHE	鄂武商A	0.21	801200	商业贸易
000513.XSHE	丽珠集团	0.367	801150	医药生物
000519.XSHE	中兵红箭	0.142	801740	国防军工
000528.XSHE	柳工	0.135	801890	机械设备
000537.XSHE	广宇发展	0.084	801180	房地产
000543.XSHE	皖能电力	0.085	801160	公用事业
000547.XSHE	航天发展	0.413	801740	国防军工
000553.XSHE	安道麦A	0.076	801030	化工
000559.XSHE	万向钱潮	0.153	801880	汽车
000563.XSHE	陕国投A	0.144	801790	非银金融
000564.XSHE	供销大集	0.19	801200	商业贸易
000581.XSHE	威孚高科	0.234	801880	汽车
000598.XSHE	兴蓉环境	0.166	801160	公用事业
000600.XSHE	建投能源	0.072	801160	公用事业
000623.XSHE	吉林敖东	0.293	801150	医药生物
000629.XSHE	攀钢钒钛	0.172	801020	采掘
000630.XSHE	铜陵有色	0.305	801050	有色金属
000636.XSHE	风华高科	0.471	801080	电子
000681.XSHE	视觉中国	0.131	801760	传媒
000685.XSHE	中山公用	0.135	801160	公用事业
000686.XSHE	东北证券	0.286	801790	非银金融
000690.XSHE	宝新能源	0.203	801160	公用事业
000712.XSHE	锦龙股份	0.151	801790	非银金融
000717.XSHE	韶钢松山	0.097	801040	钢铁
000718.XSHE	苏宁环球	0.095	801180	房地产
000729.XSHE	燕京啤酒	0.196	801120	食品饮料
000732.XSHE	泰禾集团	0.107	801180	房地产
000738.XSHE	航发控制	0.19	801740	国防军工
000739.XSHE	普洛药业	0.255	801150	医药生物
000750.XSHE	国海证券	0.389	801790	非银金融
000758.XSHE	中色股份	0.133	801050	有色金属
000778.XSHE	新兴铸管	0.162	801040	钢铁
000785.XSHE	居然之家	0.056	801200	商业贸易
000800.XSHE	一汽解放	0.226	801880	汽车
000807.XSHE	云铝股份	0.192	801050	有色金属
000813.XSHE	德展健康	0.113	801150	医药生物
000825.XSHE	太钢不锈	0.147	801040	钢铁
000826.XSHE	启迪环境	0.106	801160	公用事业
000830.XSHE	鲁西化工	0.21	801030	化工
000848.XSHE	承德露露	0.097	801120	食品饮料
000869.XSHE	张裕A	0.084	801120	食品饮料
000877.XSHE	天山股份	0.206	801710	建筑材料
000878.XSHE	云南铜业	0.272	801050	有色金属
000883.XSHE	湖北能源	0.134	801160	公用事业
000887.XSHE	中鼎股份	0.125	801880	汽车
000898.XSHE	鞍钢股份	0.117	801040	钢铁
000930.XSHE	中粮科技	0.162	801010	农林牧渔
000932.XSHE	华菱钢铁	0.15	801040	钢铁
000937.XSHE	冀中能源	0.068	801020	采掘
000959.XSHE	首钢股份	0.126	801040	钢铁
000960.XSHE	锡业股份	0.188	801050	有色金属
000967.XSHE	盈峰环境	0.174	801160	公用事业
000970.XSHE	中科三环	0.156	801050	有色金属
000975.XSHE	银泰黄金	0.406	801050	有色金属
000983.XSHE	西山煤电	0.157	801020	采掘
000987.XSHE	越秀金控	0.227	801790	非银金融
000988.XSHE	华工科技	0.341	801080	电子
000990.XSHE	诚志股份	0.114	801030	化工
000997.XSHE	新大陆	0.231	801750	计算机
000998.XSHE	隆平高科	0.298	801010	农林牧渔
000999.XSHE	华润三九	0.215	801150	医药生物
001872.XSHE	招商港口	0.032	801170	交通运输
001914.XSHE	招商积余	0.26	801180	房地产
002002.XSHE	鸿达兴业	0.111	801030	化工
002004.XSHE	华邦健康	0.161	801030	化工
002010.XSHE	传化智联	0.136	801170	交通运输
002013.XSHE	中航机电	0.336	801740	国防军工
002019.XSHE	亿帆医药	0.398	801150	医药生物
002028.XSHE	思源电气	0.312	801730	电气设备
002030.XSHE	达安基因	0.483	801150	医药生物
002038.XSHE	双鹭药业	0.156	801150	医药生物
002048.XSHE	宁波华翔	0.15	801880	汽车
002051.XSHE	中工国际	0.072	801720	建筑装饰
002056.XSHE	横店东磁	0.176	801050	有色金属
002064.XSHE	华峰氨纶	0.171	801030	化工
002074.XSHE	国轩高科	0.385	801730	电气设备
002075.XSHE	沙钢股份	0.346	801040	钢铁
002078.XSHE	太阳纸业	0.358	801140	轻工制造
002080.XSHE	中材科技	0.254	801030	化工
002081.XSHE	金螳螂	0.219	801720	建筑装饰
002085.XSHE	万丰奥威	0.165	801880	汽车
002092.XSHE	中泰化学	0.176	801030	化工
002093.XSHE	国脉科技	0.083	801770	通信
002110.XSHE	三钢闽光	0.158	801040	钢铁
002118.XSHE	紫鑫药业	0.066	801150	医药生物
002124.XSHE	天邦股份	0.276	801010	农林牧渔
002127.XSHE	南极电商	0.611	801200	商业贸易
002128.XSHE	露天煤业	0.123	801020	采掘
002131.XSHE	利欧股份	0.436	801760	传媒
002138.XSHE	顺络电子	0.32	801080	电子
002152.XSHE	广电运通	0.315	801750	计算机
002155.XSHE	湖南黄金	0.149	801050	有色金属
002156.XSHE	通富微电	0.338	801080	电子
002174.XSHE	游族网络	0.251	801760	传媒
002183.XSHE	怡亚通	0.156	801170	交通运输
002185.XSHE	华天科技	0.658	801080	电子
002191.XSHE	劲嘉股份	0.183	801140	轻工制造
002195.XSHE	二三四五	0.321	801750	计算机
002203.XSHE	海亮股份	0.157	801050	有色金属
002212.XSHE	南洋股份	0.346	801750	计算机
002217.XSHE	合力泰	0.179	801080	电子
002221.XSHE	东华能源	0.206	801030	化工
002223.XSHE	鱼跃医疗	0.402	801150	医药生物
002233.XSHE	塔牌集团	0.203	801710	建筑材料
002242.XSHE	九阳股份	0.218	801110	家用电器
002244.XSHE	滨江集团	0.133	801180	房地产
002249.XSHE	大洋电机	0.102	801730	电气设备
002250.XSHE	联化科技	0.356	801030	化工
002266.XSHE	浙富控股	0.164	801730	电气设备
002268.XSHE	卫士通	0.233	801750	计算机
002273.XSHE	水晶光电	0.355	801080	电子
002281.XSHE	光迅科技	0.238	801770	通信
002285.XSHE	世联行	0.089	801180	房地产
002294.XSHE	信立泰	0.264	801150	医药生物
002302.XSHE	西部建设	0.096	801710	建筑材料
002317.XSHE	众生药业	0.194	801150	医药生物
002340.XSHE	格林美	0.372	801050	有色金属
002353.XSHE	杰瑞股份	0.327	801890	机械设备
002368.XSHE	太极股份	0.205	801750	计算机
002372.XSHE	伟星新材	0.156	801710	建筑材料
002373.XSHE	千方科技	0.317	801750	计算机
002375.XSHE	亚厦股份	0.187	801720	建筑装饰
002382.XSHE	蓝帆医疗	0.273	801150	医药生物
002385.XSHE	大北农	0.576	801010	农林牧渔
002387.XSHE	维信诺	0.243	801080	电子
002390.XSHE	信邦制药	0.124	801150	医药生物
002396.XSHE	星网锐捷	0.244	801770	通信
002399.XSHE	海普瑞	0.167	801150	医药生物
002407.XSHE	多氟多	0.142	801030	化工
002408.XSHE	齐翔腾达	0.099	801030	化工
002414.XSHE	高德红外	0.451	801080	电子
002416.XSHE	爱施德	0.113	801200	商业贸易
002419.XSHE	天虹股份	0.095	801200	商业贸易
002423.XSHE	中粮资本	0.033	801790	非银金融
002424.XSHE	贵州百灵	0.12	801150	医药生物
002429.XSHE	兆驰股份	0.242	801110	家用电器
