code	display_name	weight	sw1_code	sw1_name
000156.XSHE	华数传媒	0.998	801760	传媒
000676.XSHE	智度股份	0.693	801760	传媒
000681.XSHE	视觉中国	1.128	801760	传媒
000917.XSHE	电广传媒	1.28	801760	传媒
002027.XSHE	分众传媒	9.762	801760	传媒
002131.XSHE	利欧股份	3.77	801760	传媒
002181.XSHE	粤传媒	0.374	801760	传媒
002555.XSHE	三七互娱	9.061	801760	传媒
002558.XSHE	巨人网络	2.009	801760	传媒
002602.XSHE	世纪华通	5.67	801760	传媒
002624.XSHE	完美世界	5.834	801760	传媒
002739.XSHE	万达电影	2.262	801760	传媒
300031.XSHE	宝通科技	1.258	801760	传媒
300043.XSHE	星辉娱乐	0.461	801760	传媒
300058.XSHE	蓝色光标	2.387	801760	传媒
300113.XSHE	顺网科技	1.593	801760	传媒
300133.XSHE	华策影视	1.391	801760	传媒
300182.XSHE	捷成股份	1.67	801760	传媒
300251.XSHE	光线传媒	2.447	801760	传媒
300315.XSHE	掌趣科技	4.06	801760	传媒
300413.XSHE	芒果超媒	7.602	801760	传媒
300418.XSHE	昆仑万维	3.468	801760	传媒
300766.XSHE	每日互动	1.323	801750	计算机
300770.XSHE	新媒股份	1.284	801760	传媒
300785.XSHE	值得买	0.462	801760	传媒
300788.XSHE	中信出版	0.401	801760	传媒
300792.XSHE	壹网壹创	1.107	801760	传媒
300805.XSHE	电声股份	0.164	801760	传媒
600037.XSHG	歌华有线	2.013	801760	传媒
600373.XSHG	中文传媒	1.346	801760	传媒
600633.XSHG	浙数文化	1.296	801760	传媒
600637.XSHG	东方明珠	3.257	801760	传媒
600640.XSHG	号百控股	0.965	801760	传媒
600757.XSHG	长江传媒	0.522	801760	传媒
600959.XSHG	江苏有线	1.792	801760	传媒
600977.XSHG	中国电影	1.701	801760	传媒
600996.XSHG	贵广网络	0.485	801760	传媒
601098.XSHG	中南传媒	1.202	801760	传媒
601811.XSHG	新华文轩	0.279	801760	传媒
601858.XSHG	中国科传	0.353	801760	传媒
601900.XSHG	南方传媒	0.387	801760	传媒
601928.XSHG	凤凰传媒	0.845	801760	传媒
601929.XSHG	吉视传媒	0.751	801760	传媒
601949.XSHG	中国出版	0.54	801760	传媒
603000.XSHG	人民网	1.722	801760	传媒
603103.XSHG	横店影视	0.23	801760	传媒
603258.XSHG	电魂网络	0.806	801760	传媒
603444.XSHG	吉比特	4.191	801760	传媒
603533.XSHG	掌阅科技	0.637	801760	传媒
603888.XSHG	新华网	0.761	801760	传媒
