code	display_name	weight	sw1_code	sw1_name
000001.XSHE	平安银行	0.901	801780	银行
000002.XSHE	万科A	1.167	801180	房地产
000063.XSHE	中兴通讯	0.546	801770	通信
000066.XSHE	中国长城	0.172	801750	计算机
000069.XSHE	华侨城A	0.17	801180	房地产
000100.XSHE	TCL科技	0.509	801080	电子
000157.XSHE	中联重科	0.257	801890	机械设备
000166.XSHE	申万宏源	0.293	801790	非银金融
000333.XSHE	美的集团	2.177	801110	家用电器
000338.XSHE	潍柴动力	0.443	801880	汽车
000425.XSHE	徐工机械	0.16	801890	机械设备
000538.XSHE	云南白药	0.319	801150	医药生物
000568.XSHE	泸州老窖	0.643	801120	食品饮料
000596.XSHE	古井贡酒	0.153	801120	食品饮料
000625.XSHE	长安汽车	0.16	801880	汽车
000627.XSHE	天茂集团	0.064	801790	非银金融
000651.XSHE	格力电器	1.57	801110	家用电器
000656.XSHE	金科股份	0.118	801180	房地产
000661.XSHE	长春高新	0.641	801150	医药生物
000671.XSHE	阳光城	0.073	801180	房地产
000703.XSHE	恒逸石化	0.117	801030	化工
000708.XSHE	中信特钢	0.036	801040	钢铁
000709.XSHE	河钢股份	0.055	801040	钢铁
000723.XSHE	美锦能源	0.045	801020	采掘
000725.XSHE	京东方A	0.814	801080	电子
000728.XSHE	国元证券	0.148	801790	非银金融
000768.XSHE	中航飞机	0.195	801740	国防军工
000776.XSHE	广发证券	0.286	801790	非银金融
000783.XSHE	长江证券	0.19	801790	非银金融
000786.XSHE	北新建材	0.16	801710	建筑材料
000858.XSHE	五粮液	2.625	801120	食品饮料
000860.XSHE	顺鑫农业	0.191	801120	食品饮料
000876.XSHE	新希望	0.357	801010	农林牧渔
000895.XSHE	双汇发展	0.323	801120	食品饮料
000938.XSHE	紫光股份	0.223	801750	计算机
000961.XSHE	中南建设	0.104	801180	房地产
000963.XSHE	华东医药	0.132	801150	医药生物
000977.XSHE	浪潮信息	0.188	801750	计算机
001979.XSHE	招商蛇口	0.294	801180	房地产
002001.XSHE	新和成	0.235	801150	医药生物
002007.XSHE	华兰生物	0.382	801150	医药生物
002008.XSHE	大族激光	0.172	801080	电子
002024.XSHE	苏宁易购	0.207	801200	商业贸易
002027.XSHE	分众传媒	0.507	801760	传媒
002032.XSHE	苏泊尔	0.079	801110	家用电器
002044.XSHE	美年健康	0.238	801150	医药生物
002050.XSHE	三花智控	0.244	801110	家用电器
002120.XSHE	韵达股份	0.133	801170	交通运输
002129.XSHE	中环股份	0.247	801730	电气设备
002142.XSHE	宁波银行	0.579	801780	银行
002146.XSHE	荣盛发展	0.081	801180	房地产
002153.XSHE	石基信息	0.075	801750	计算机
002157.XSHE	正邦科技	0.139	801010	农林牧渔
002179.XSHE	中航光电	0.156	801740	国防军工
002202.XSHE	金风科技	0.173	801730	电气设备
002230.XSHE	科大讯飞	0.323	801750	计算机
002236.XSHE	大华股份	0.226	801080	电子
002241.XSHE	歌尔股份	0.562	801080	电子
002252.XSHE	上海莱士	0.102	801150	医药生物
002271.XSHE	东方雨虹	0.362	801710	建筑材料
002304.XSHE	洋河股份	0.461	801120	食品饮料
002311.XSHE	海大集团	0.297	801010	农林牧渔
002352.XSHE	顺丰控股	0.658	801170	交通运输
002371.XSHE	北方华创	0.241	801080	电子
002410.XSHE	广联达	0.404	801750	计算机
002415.XSHE	海康威视	0.872	801080	电子
002422.XSHE	科伦药业	0.137	801150	医药生物
002456.XSHE	欧菲光	0.166	801080	电子
002460.XSHE	赣锋锂业	0.254	801050	有色金属
002463.XSHE	沪电股份	0.139	801080	电子
002466.XSHE	天齐锂业	0.108	801050	有色金属
002468.XSHE	申通快递	0.056	801170	交通运输
002475.XSHE	立讯精密	1.465	801080	电子
002493.XSHE	荣盛石化	0.217	801030	化工
002508.XSHE	老板电器	0.095	801110	家用电器
002555.XSHE	三七互娱	0.308	801760	传媒
002558.XSHE	巨人网络	0.072	801760	传媒
002594.XSHE	比亚迪	0.645	801880	汽车
002601.XSHE	龙蟒佰利	0.145	801030	化工
002602.XSHE	世纪华通	0.174	801760	传媒
002607.XSHE	中公教育	0.135	801760	传媒
002624.XSHE	完美世界	0.198	801760	传媒
002673.XSHE	西部证券	0.102	801790	非银金融
002714.XSHE	牧原股份	0.679	801010	农林牧渔
002736.XSHE	国信证券	0.237	801790	非银金融
002739.XSHE	万达电影	0.091	801760	传媒
002773.XSHE	康弘药业	0.073	801150	医药生物
002841.XSHE	视源股份	0.156	801080	电子
002916.XSHE	深南电路	0.102	801080	电子
002938.XSHE	鹏鼎控股	0.089	801080	电子
002939.XSHE	长城证券	0.074	801790	非银金融
002945.XSHE	华林证券	0.023	801790	非银金融
002958.XSHE	青农商行	0.086	801780	银行
003816.XSHE	中国广核	0.104	801160	公用事业
300003.XSHE	乐普医疗	0.257	801150	医药生物
300014.XSHE	亿纬锂能	0.279	801730	电气设备
300015.XSHE	爱尔眼科	0.634	801150	医药生物
300033.XSHE	同花顺	0.21	801750	计算机
300059.XSHE	东方财富	1.012	801790	非银金融
300122.XSHE	智飞生物	0.546	801150	医药生物
300124.XSHE	汇川技术	0.368	801730	电气设备
300136.XSHE	信维通信	0.259	801080	电子
300142.XSHE	沃森生物	0.479	801150	医药生物
300144.XSHE	宋城演艺	0.175	801210	休闲服务
300347.XSHE	泰格医药	0.331	801150	医药生物
300408.XSHE	三环集团	0.184	801080	电子
300413.XSHE	芒果超媒	0.294	801760	传媒
300433.XSHE	蓝思科技	0.259	801080	电子
300498.XSHE	温氏股份	0.534	801010	农林牧渔
300601.XSHE	康泰生物	0.375	801150	医药生物
300628.XSHE	亿联网络	0.1	801770	通信
600000.XSHG	浦发银行	0.675	801780	银行
600004.XSHG	白云机场	0.086	801170	交通运输
600009.XSHG	上海机场	0.406	801170	交通运输
600010.XSHG	包钢股份	0.16	801040	钢铁
600011.XSHG	华能国际	0.146	801160	公用事业
600015.XSHG	华夏银行	0.231	801780	银行
600016.XSHG	民生银行	0.69	801780	银行
600018.XSHG	上港集团	0.089	801170	交通运输
600019.XSHG	宝钢股份	0.272	801040	钢铁
600025.XSHG	华能水电	0.046	801160	公用事业
600027.XSHG	华电国际	0.071	801160	公用事业
600028.XSHG	中国石化	0.32	801030	化工
600029.XSHG	南方航空	0.157	801170	交通运输
600030.XSHG	中信证券	1.566	801790	非银金融
600031.XSHG	三一重工	0.899	801890	机械设备
600036.XSHG	招商银行	2.272	801780	银行
600038.XSHG	中直股份	0.101	801740	国防军工
600048.XSHG	保利地产	0.696	801180	房地产
600050.XSHG	中国联通	0.276	801770	通信
600061.XSHG	国投资本	0.158	801790	非银金融
600066.XSHG	宇通客车	0.128	801880	汽车
600068.XSHG	葛洲坝	0.1	801720	建筑装饰
600085.XSHG	同仁堂	0.091	801150	医药生物
600089.XSHG	特变电工	0.2	801730	电气设备
600104.XSHG	上汽集团	0.41	801880	汽车
600109.XSHG	国金证券	0.226	801790	非银金融
600111.XSHG	北方稀土	0.143	801050	有色金属
600115.XSHG	东方航空	0.135	801170	交通运输
600118.XSHG	中国卫星	0.12	801740	国防军工
600170.XSHG	上海建工	0.084	801720	建筑装饰
600176.XSHG	中国巨石	0.186	801030	化工
600177.XSHG	雅戈尔	0.116	801180	房地产
600183.XSHG	生益科技	0.162	801080	电子
600188.XSHG	兖州煤业	0.05	801020	采掘
600196.XSHG	复星医药	0.363	801150	医药生物
600208.XSHG	新湖中宝	0.089	801180	房地产
600219.XSHG	南山铝业	0.1	801050	有色金属
600221.XSHG	海航控股	0.123	801170	交通运输
600233.XSHG	圆通速递	0.108	801170	交通运输
600271.XSHG	航天信息	0.108	801750	计算机
600276.XSHG	恒瑞医药	2.042	801150	医药生物
600297.XSHG	广汇汽车	0.08	801880	汽车
600299.XSHG	安迪苏	0.023	801030	化工
600309.XSHG	万华化学	0.666	801030	化工
600332.XSHG	白云山	0.104	801150	医药生物
600340.XSHG	华夏幸福	0.145	801180	房地产
600346.XSHG	恒力石化	0.24	801030	化工
600352.XSHG	浙江龙盛	0.216	801030	化工
600362.XSHG	江西铜业	0.09	801050	有色金属
600369.XSHG	西南证券	0.107	801790	非银金融
600372.XSHG	中航电子	0.08	801740	国防军工
600383.XSHG	金地集团	0.201	801180	房地产
600390.XSHG	五矿资本	0.098	801790	非银金融
600398.XSHG	海澜之家	0.051	801130	纺织服装
600406.XSHG	国电南瑞	0.279	801730	电气设备
600436.XSHG	片仔癀	0.449	801150	医药生物
600438.XSHG	通威股份	0.418	801730	电气设备
600482.XSHG	中国动力	0.07	801740	国防军工
600487.XSHG	亨通光电	0.121	801770	通信
600489.XSHG	中金黄金	0.114	801050	有色金属
600498.XSHG	烽火通信	0.102	801770	通信
600516.XSHG	方大炭素	0.085	801050	有色金属
600519.XSHG	贵州茅台	5.131	801120	食品饮料
600522.XSHG	中天科技	0.157	801770	通信
600547.XSHG	山东黄金	0.284	801050	有色金属
600570.XSHG	恒生电子	0.504	801750	计算机
600583.XSHG	海油工程	0.061	801020	采掘
600585.XSHG	海螺水泥	0.812	801710	建筑材料
600588.XSHG	用友网络	0.38	801750	计算机
600606.XSHG	绿地控股	0.142	801180	房地产
600637.XSHG	东方明珠	0.121	801760	传媒
600655.XSHG	豫园股份	0.084	801200	商业贸易
600660.XSHG	福耀玻璃	0.278	801880	汽车
600674.XSHG	川投能源	0.079	801160	公用事业
600690.XSHG	海尔智家	0.505	801110	家用电器
600703.XSHG	三安光电	0.335	801080	电子
600705.XSHG	中航资本	0.145	801790	非银金融
600741.XSHG	华域汽车	0.24	801880	汽车
600745.XSHG	闻泰科技	0.267	801080	电子
600760.XSHG	中航沈飞	0.147	801740	国防军工
600795.XSHG	国电电力	0.146	801160	公用事业
600809.XSHG	山西汾酒	0.317	801120	食品饮料
600837.XSHG	海通证券	0.836	801790	非银金融
600848.XSHG	上海临港	0.082	801180	房地产
