code	display_name	weight	sw1_code	sw1_name
000002.XSHE	万科A	3.626	801180	房地产
000069.XSHE	华侨城A	0.529	801180	房地产
000100.XSHE	TCL科技	1.582	801080	电子
000157.XSHE	中联重科	0.8	801890	机械设备
000338.XSHE	潍柴动力	1.376	801880	汽车
000425.XSHE	徐工机械	0.496	801890	机械设备
000656.XSHE	金科股份	0.367	801180	房地产
000671.XSHE	阳光城	0.228	801180	房地产
000708.XSHE	中信特钢	0.111	801040	钢铁
000709.XSHE	河钢股份	0.171	801040	钢铁
000776.XSHE	广发证券	0.888	801790	非银金融
000961.XSHE	中南建设	0.323	801180	房地产
001979.XSHE	招商蛇口	0.912	801180	房地产
002142.XSHE	宁波银行	1.798	801780	银行
002146.XSHE	荣盛发展	0.252	801180	房地产
002601.XSHE	龙蟒佰利	0.45	801030	化工
002736.XSHE	国信证券	0.737	801790	非银金融
600000.XSHG	浦发银行	2.096	801780	银行
600011.XSHG	华能国际	0.452	801160	公用事业
600015.XSHG	华夏银行	0.717	801780	银行
600016.XSHG	民生银行	2.144	801780	银行
600019.XSHG	宝钢股份	0.845	801040	钢铁
600025.XSHG	华能水电	0.143	801160	公用事业
600027.XSHG	华电国际	0.221	801160	公用事业
600028.XSHG	中国石化	0.994	801030	化工
600029.XSHG	南方航空	0.488	801170	交通运输
600036.XSHG	招商银行	7.059	801780	银行
600048.XSHG	保利地产	2.163	801180	房地产
600050.XSHG	中国联通	0.858	801770	通信
600066.XSHG	宇通客车	0.397	801880	汽车
600068.XSHG	葛洲坝	0.312	801720	建筑装饰
600089.XSHG	特变电工	0.62	801730	电气设备
600104.XSHG	上汽集团	1.275	801880	汽车
600170.XSHG	上海建工	0.262	801720	建筑装饰
600177.XSHG	雅戈尔	0.36	801180	房地产
600188.XSHG	兖州煤业	0.156	801020	采掘
600208.XSHG	新湖中宝	0.275	801180	房地产
600219.XSHG	南山铝业	0.311	801050	有色金属
600221.XSHG	海航控股	0.383	801170	交通运输
600297.XSHG	广汇汽车	0.249	801880	汽车
600309.XSHG	万华化学	2.068	801030	化工
600340.XSHG	华夏幸福	0.452	801180	房地产
600362.XSHG	江西铜业	0.28	801050	有色金属
600383.XSHG	金地集团	0.624	801180	房地产
600390.XSHG	五矿资本	0.304	801790	非银金融
600398.XSHG	海澜之家	0.157	801130	纺织服装
600585.XSHG	海螺水泥	2.521	801710	建筑材料
600606.XSHG	绿地控股	0.442	801180	房地产
600655.XSHG	豫园股份	0.261	801200	商业贸易
600660.XSHG	福耀玻璃	0.863	801880	汽车
600674.XSHG	川投能源	0.246	801160	公用事业
600690.XSHG	海尔智家	1.57	801110	家用电器
600741.XSHG	华域汽车	0.746	801880	汽车
600795.XSHG	国电电力	0.453	801160	公用事业
600886.XSHG	国投电力	0.465	801160	公用事业
600900.XSHG	长江电力	3.2	801160	公用事业
600919.XSHG	江苏银行	1.067	801780	银行
600926.XSHG	杭州银行	0.531	801780	银行
601006.XSHG	大秦铁路	0.72	801170	交通运输
601009.XSHG	南京银行	0.901	801780	银行
601077.XSHG	渝农商行	0.109	801780	银行
601088.XSHG	中国神华	1.033	801020	采掘
601111.XSHG	中国国航	0.403	801170	交通运输
601117.XSHG	中国化学	0.252	801720	建筑装饰
601155.XSHG	新城控股	0.6	801180	房地产
601166.XSHG	兴业银行	3.822	801780	银行
601169.XSHG	北京银行	1.317	801780	银行
601186.XSHG	中国铁建	0.725	801720	建筑装饰
601211.XSHG	国泰君安	1.564	801790	非银金融
601225.XSHG	陕西煤业	0.638	801020	采掘
601229.XSHG	上海银行	1.539	801780	银行
601288.XSHG	农业银行	1.731	801780	银行
601298.XSHG	青岛港	0.076	801170	交通运输
601318.XSHG	中国平安	9.55	801790	非银金融
601328.XSHG	交通银行	2.371	801780	银行
601336.XSHG	新华保险	0.984	801790	非银金融
601377.XSHG	兴业证券	0.738	801790	非银金融
601390.XSHG	中国中铁	0.835	801720	建筑装饰
601398.XSHG	工商银行	3.278	801780	银行
601577.XSHG	长沙银行	0.172	801780	银行
601601.XSHG	中国太保	1.614	801790	非银金融
601618.XSHG	中国中冶	0.36	801720	建筑装饰
601633.XSHG	长城汽车	0.442	801880	汽车
601668.XSHG	中国建筑	2.026	801720	建筑装饰
601669.XSHG	中国电建	0.548	801720	建筑装饰
601788.XSHG	光大证券	0.815	801790	非银金融
601800.XSHG	中国交建	0.498	801720	建筑装饰
601818.XSHG	光大银行	1.105	801780	银行
601828.XSHG	美凯龙	0.081	801200	商业贸易
601838.XSHG	成都银行	0.407	801780	银行
601857.XSHG	中国石油	0.759	801020	采掘
601898.XSHG	中煤能源	0.137	801020	采掘
601919.XSHG	中远海控	0.527	801170	交通运输
601939.XSHG	建设银行	0.785	801780	银行
601985.XSHG	中国核电	0.52	801160	公用事业
601988.XSHG	中国银行	1.282	801780	银行
601992.XSHG	金隅集团	0.195	801710	建筑材料
601997.XSHG	贵阳银行	0.33	801780	银行
601998.XSHG	中信银行	0.294	801780	银行
603156.XSHG	养元饮品	0.242	801120	食品饮料
