code	display_name	weight	sw1_code	sw1_name
002001.XSHE	新和成	1.1071	801150	医药生物
002007.XSHE	华兰生物	1.9078	801150	医药生物
002008.XSHE	大族激光	0.9156	801080	电子
002010.XSHE	传化智联	0.2267	801170	交通运输
002013.XSHE	中航机电	0.7692	801740	国防军工
002019.XSHE	亿帆医药	0.5858	801150	医药生物
002024.XSHE	苏宁易购	1.0211	801200	商业贸易
002027.XSHE	分众传媒	2.8456	801760	传媒
002032.XSHE	苏泊尔	0.4096	801110	家用电器
002044.XSHE	美年健康	1.1546	801150	医药生物
002049.XSHE	紫光国微	1.5284	801080	电子
002050.XSHE	三花智控	1.2764	801110	家用电器
002065.XSHE	东华软件	0.6306	801750	计算机
002074.XSHE	国轩高科	0.7165	801730	电气设备
002075.XSHE	沙钢股份	0.6297	801040	钢铁
002078.XSHE	太阳纸业	0.6395	801140	轻工制造
002081.XSHE	金螳螂	0.4361	801720	建筑装饰
002110.XSHE	三钢闽光	0.2477	801040	钢铁
002120.XSHE	韵达股份	0.6546	801170	交通运输
002127.XSHE	南极电商	0.9975	801200	商业贸易
002129.XSHE	中环股份	1.2927	801730	电气设备
002142.XSHE	宁波银行	2.7084	801780	银行
002146.XSHE	荣盛发展	0.4488	801180	房地产
002152.XSHE	广电运通	0.468	801750	计算机
002153.XSHE	石基信息	0.399	801750	计算机
002157.XSHE	正邦科技	0.7766	801010	农林牧渔
002179.XSHE	中航光电	0.8294	801740	国防军工
002180.XSHE	纳思达	0.5292	801750	计算机
002185.XSHE	华天科技	0.9645	801080	电子
002195.XSHE	二三四五	0.4467	801750	计算机
002202.XSHE	金风科技	0.8325	801730	电气设备
002217.XSHE	合力泰	0.3148	801080	电子
002223.XSHE	鱼跃医疗	0.6282	801150	医药生物
002230.XSHE	科大讯飞	1.7737	801750	计算机
002236.XSHE	大华股份	1.1066	801080	电子
002241.XSHE	歌尔股份	2.7794	801080	电子
002252.XSHE	上海莱士	0.5367	801150	医药生物
002268.XSHE	卫士通	0.3442	801750	计算机
002271.XSHE	东方雨虹	1.8581	801710	建筑材料
002281.XSHE	光迅科技	0.4478	801770	通信
002294.XSHE	信立泰	0.3991	801150	医药生物
002299.XSHE	圣农发展	0.3866	801010	农林牧渔
002304.XSHE	洋河股份	2.2174	801120	食品饮料
002311.XSHE	海大集团	1.3838	801010	农林牧渔
002340.XSHE	格林美	0.5948	801050	有色金属
002352.XSHE	顺丰控股	3.9557	801170	交通运输
002353.XSHE	杰瑞股份	0.511	801890	机械设备
002371.XSHE	北方华创	1.1134	801080	电子
002372.XSHE	伟星新材	0.258	801710	建筑材料
002373.XSHE	千方科技	0.5731	801750	计算机
002384.XSHE	东山精密	0.9552	801080	电子
002385.XSHE	大北农	0.7672	801010	农林牧渔
002399.XSHE	海普瑞	0.2178	801150	医药生物
002405.XSHE	四维图新	0.7799	801750	计算机
002410.XSHE	广联达	2.1657	801750	计算机
002414.XSHE	高德红外	0.6244	801080	电子
002415.XSHE	海康威视	4.3137	801080	电子
002422.XSHE	科伦药业	0.6647	801150	医药生物
002439.XSHE	启明星辰	0.7659	801750	计算机
002456.XSHE	欧菲光	0.9078	801080	电子
002460.XSHE	赣锋锂业	1.3236	801050	有色金属
002463.XSHE	沪电股份	0.7194	801080	电子
002465.XSHE	海格通信	0.6254	801740	国防军工
002466.XSHE	天齐锂业	0.5948	801050	有色金属
002468.XSHE	申通快递	0.261	801170	交通运输
002475.XSHE	立讯精密	7.828	801080	电子
002493.XSHE	荣盛石化	0.9977	801030	化工
002500.XSHE	山西证券	0.5203	801790	非银金融
002507.XSHE	涪陵榨菜	0.7535	801120	食品饮料
002508.XSHE	老板电器	0.4977	801110	家用电器
002555.XSHE	三七互娱	1.4946	801760	传媒
002558.XSHE	巨人网络	0.3253	801760	传媒
002563.XSHE	森马服饰	0.1774	801130	纺织服装
002572.XSHE	索菲亚	0.4963	801140	轻工制造
002594.XSHE	比亚迪	3.0665	801880	汽车
002600.XSHE	领益智造	0.7086	801080	电子
002601.XSHE	龙蟒佰利	0.7767	801030	化工
002602.XSHE	世纪华通	0.7426	801760	传媒
002607.XSHE	中公教育	0.7509	801760	传媒
002624.XSHE	完美世界	1.0974	801760	传媒
002670.XSHE	国盛金控	0.2137	801790	非银金融
002673.XSHE	西部证券	0.5466	801790	非银金融
002690.XSHE	美亚光电	0.3703	801890	机械设备
002714.XSHE	牧原股份	4.1457	801010	农林牧渔
002736.XSHE	国信证券	0.9335	801790	非银金融
002739.XSHE	万达电影	0.5396	801760	传媒
002773.XSHE	康弘药业	0.3929	801150	医药生物
002797.XSHE	第一创业	0.9177	801790	非银金融
002812.XSHE	恩捷股份	1.0799	801030	化工
002821.XSHE	凯莱英	1.0948	801150	医药生物
002841.XSHE	视源股份	0.9751	801080	电子
002901.XSHE	大博医疗	0.1262	801150	医药生物
002916.XSHE	深南电路	0.615	801080	电子
002925.XSHE	盈趣科技	0.2817	801080	电子
002926.XSHE	华西证券	0.5376	801790	非银金融
002938.XSHE	鹏鼎控股	0.5286	801080	电子
002939.XSHE	长城证券	0.3989	801790	非银金融
002958.XSHE	青农商行	0.4667	801780	银行
002966.XSHE	苏州银行	0.0877	801780	银行
003816.XSHE	中国广核	0.2498	801160	公用事业
