code	display_name	weight	sw1_code	sw1_name
000002.XSHE	万科A	0.746	801180	房地产
000036.XSHE	华联控股	1.619	801180	房地产
000157.XSHE	中联重科	1.341	801890	机械设备
000333.XSHE	美的集团	0.588	801110	家用电器
000338.XSHE	潍柴动力	0.914	801880	汽车
000402.XSHE	金融街	0.583	801180	房地产
000429.XSHE	粤高速A	1.808	801170	交通运输
000488.XSHE	晨鸣纸业	0.996	801140	轻工制造
000541.XSHE	佛山照明	0.826	801080	电子
000581.XSHE	威孚高科	1.444	801880	汽车
000656.XSHE	金科股份	1.405	801180	房地产
000718.XSHE	苏宁环球	0.946	801180	房地产
000726.XSHE	鲁泰A	0.815	801130	纺织服装
000828.XSHE	东莞控股	0.74	801170	交通运输
000848.XSHE	承德露露	1.16	801120	食品饮料
000895.XSHE	双汇发展	2.079	801120	食品饮料
001872.XSHE	招商港口	0.688	801170	交通运输
002001.XSHE	新和成	0.818	801150	医药生物
002016.XSHE	世荣兆业	0.896	801180	房地产
002042.XSHE	华孚时尚	0.761	801130	纺织服装
002083.XSHE	孚日股份	0.556	801130	纺织服装
002088.XSHE	鲁阳节能	0.897	801710	建筑材料
002110.XSHE	三钢闽光	1.594	801040	钢铁
002146.XSHE	荣盛发展	0.813	801180	房地产
002206.XSHE	海利得	0.913	801030	化工
002233.XSHE	塔牌集团	1.678	801710	建筑材料
002242.XSHE	九阳股份	2.432	801110	家用电器
002304.XSHE	洋河股份	0.672	801120	食品饮料
002335.XSHE	科华恒盛	1.972	801730	电气设备
002367.XSHE	康力电梯	2.813	801890	机械设备
002372.XSHE	伟星新材	0.708	801710	建筑材料
002419.XSHE	天虹股份	0.575	801200	商业贸易
002601.XSHE	龙蟒佰利	2.839	801030	化工
002756.XSHE	永兴材料	1.271	801040	钢铁
300121.XSHE	阳谷华泰	1.357	801030	化工
300403.XSHE	汉宇集团	1.204	801110	家用电器
600012.XSHG	皖通高速	0.602	801170	交通运输
600016.XSHG	民生银行	0.489	801780	银行
600018.XSHG	上港集团	0.281	801170	交通运输
600019.XSHG	宝钢股份	1.053	801040	钢铁
600020.XSHG	中原高速	0.509	801170	交通运输
600023.XSHG	浙能电力	0.677	801160	公用事业
600028.XSHG	中国石化	1.183	801030	化工
600036.XSHG	招商银行	0.565	801780	银行
600048.XSHG	保利地产	0.664	801180	房地产
600066.XSHG	宇通客车	0.59	801880	汽车
600104.XSHG	上汽集团	0.82	801880	汽车
600114.XSHG	东睦股份	1.614	801050	有色金属
600153.XSHG	建发股份	1.011	801170	交通运输
600162.XSHG	香江控股	0.662	801180	房地产
600177.XSHG	雅戈尔	0.891	801180	房地产
600183.XSHG	生益科技	0.518	801080	电子
600236.XSHG	桂冠电力	0.874	801160	公用事业
600269.XSHG	赣粤高速	0.499	801170	交通运输
600282.XSHG	南钢股份	1.005	801040	钢铁
600325.XSHG	华发股份	0.546	801180	房地产
600350.XSHG	山东高速	0.952	801170	交通运输
600376.XSHG	首开股份	1.005	801180	房地产
600377.XSHG	宁沪高速	0.775	801170	交通运输
600383.XSHG	金地集团	1.056	801180	房地产
600398.XSHG	海澜之家	0.754	801130	纺织服装
600507.XSHG	方大特钢	2.257	801040	钢铁
600548.XSHG	深高速	0.852	801170	交通运输
600563.XSHG	法拉电子	0.772	801080	电子
600565.XSHG	迪马股份	0.962	801180	房地产
600585.XSHG	海螺水泥	1.16	801710	建筑材料
600642.XSHG	申能股份	0.651	801160	公用事业
600660.XSHG	福耀玻璃	0.951	801880	汽车
600674.XSHG	川投能源	0.455	801160	公用事业
600688.XSHG	上海石化	0.856	801030	化工
600704.XSHG	物产中大	0.719	801170	交通运输
600741.XSHG	华域汽车	0.887	801880	汽车
600743.XSHG	华远地产	0.699	801180	房地产
600808.XSHG	马钢股份	1.393	801040	钢铁
600835.XSHG	上海机电	0.523	801890	机械设备
600873.XSHG	梅花生物	1.932	801010	农林牧渔
600886.XSHG	国投电力	0.388	801160	公用事业
600897.XSHG	厦门空港	0.845	801170	交通运输
600900.XSHG	长江电力	0.831	801160	公用事业
600971.XSHG	恒源煤电	0.875	801020	采掘
601003.XSHG	柳钢股份	1.36	801040	钢铁
601006.XSHG	大秦铁路	0.892	801170	交通运输
601009.XSHG	南京银行	0.91	801780	银行
601088.XSHG	中国神华	0.771	801020	采掘
601098.XSHG	中南传媒	0.873	801760	传媒
601166.XSHG	兴业银行	0.545	801780	银行
601288.XSHG	农业银行	0.589	801780	银行
601328.XSHG	交通银行	0.791	801780	银行
601398.XSHG	工商银行	1.132	801780	银行
601566.XSHG	九牧王	1.242	801130	纺织服装
601601.XSHG	中国太保	0.368	801790	非银金融
601636.XSHG	旗滨集团	2.38	801710	建筑材料
601668.XSHG	中国建筑	0.501	801720	建筑装饰
601818.XSHG	光大银行	0.744	801780	银行
601877.XSHG	正泰电器	0.856	801730	电气设备
601939.XSHG	建设银行	0.684	801780	银行
601988.XSHG	中国银行	0.816	801780	银行
601998.XSHG	中信银行	0.664	801780	银行
603156.XSHG	养元饮品	0.926	801120	食品饮料
603328.XSHG	依顿电子	1.877	801080	电子
