code	display_name	weight	sw1_code	sw1_name
000100.XSHE	TCL科技	1.167	801080	电子
000538.XSHE	云南白药	1.319	801150	医药生物
000563.XSHE	陕国投A	1.15	801790	非银金融
000627.XSHE	天茂集团	1.109	801790	非银金融
000661.XSHE	长春高新	1.393	801150	医药生物
000963.XSHE	华东医药	1.248	801150	医药生物
000999.XSHE	华润三九	1.008	801150	医药生物
002001.XSHE	新和成	1.247	801150	医药生物
002007.XSHE	华兰生物	1.418	801150	医药生物
002032.XSHE	苏泊尔	1.238	801110	家用电器
002044.XSHE	美年健康	1.512	801150	医药生物
002195.XSHE	二三四五	1.045	801750	计算机
002252.XSHE	上海莱士	1.085	801150	医药生物
002422.XSHE	科伦药业	1.167	801150	医药生物
002439.XSHE	启明星辰	0.985	801750	计算机
002507.XSHE	涪陵榨菜	1.541	801120	食品饮料
002508.XSHE	老板电器	1.133	801110	家用电器
002511.XSHE	中顺洁柔	1.274	801140	轻工制造
002555.XSHE	三七互娱	1.325	801760	传媒
002558.XSHE	巨人网络	1.248	801760	传媒
002602.XSHE	世纪华通	0.997	801760	传媒
002607.XSHE	中公教育	1.318	801760	传媒
002624.XSHE	完美世界	1.184	801760	传媒
002739.XSHE	万达电影	1.065	801760	传媒
002773.XSHE	康弘药业	1.296	801150	医药生物
002821.XSHE	凯莱英	1.252	801150	医药生物
002830.XSHE	名雕股份	1.158	801720	建筑装饰
002867.XSHE	周大生	1.25	801140	轻工制造
002925.XSHE	盈趣科技	1.151	801080	电子
300003.XSHE	乐普医疗	1.135	801150	医药生物
300015.XSHE	爱尔眼科	1.288	801150	医药生物
300017.XSHE	网宿科技	1.159	801770	通信
300122.XSHE	智飞生物	1.572	801150	医药生物
300142.XSHE	沃森生物	1.348	801150	医药生物
300144.XSHE	宋城演艺	0.908	801210	休闲服务
300146.XSHE	汤臣倍健	1.281	801120	食品饮料
300251.XSHE	光线传媒	1.346	801760	传媒
300347.XSHE	泰格医药	1.349	801150	医药生物
300383.XSHE	光环新网	1.037	801770	通信
300413.XSHE	芒果超媒	1.366	801760	传媒
300464.XSHE	星徽精密	2.852	801890	机械设备
300529.XSHE	健帆生物	1.252	801150	医药生物
300601.XSHE	康泰生物	1.489	801150	医药生物
300760.XSHE	迈瑞医疗	1.253	801150	医药生物
300773.XSHE	拉卡拉	1.145	801750	计算机
300783.XSHE	三只松鼠	0.801	801120	食品饮料
600085.XSHG	同仁堂	1.124	801150	医药生物
600161.XSHG	天坛生物	1.237	801150	医药生物
600196.XSHG	复星医药	1.756	801150	医药生物
600276.XSHG	恒瑞医药	1.171	801150	医药生物
600315.XSHG	上海家化	1.067	801030	化工
600332.XSHG	白云山	1.012	801150	医药生物
600436.XSHG	片仔癀	1.641	801150	医药生物
600637.XSHG	东方明珠	1.078	801760	传媒
600754.XSHG	锦江酒店	1.402	801210	休闲服务
600763.XSHG	通策医疗	1.57	801150	医药生物
600887.XSHG	伊利股份	1.41	801120	食品饮料
600901.XSHG	江苏租赁	1.103	801790	非银金融
600959.XSHG	江苏有线	1.071	801760	传媒
600977.XSHG	中国电影	1.095	801760	传媒
601098.XSHG	中南传媒	0.997	801760	传媒
601318.XSHG	中国平安	0.989	801790	非银金融
601319.XSHG	中国人保	1.123	801790	非银金融
601336.XSHG	新华保险	1.284	801790	非银金融
601360.XSHG	三六零	1.027	801750	计算机
601601.XSHG	中国太保	0.906	801790	非银金融
601607.XSHG	上海医药	1.219	801150	医药生物
601628.XSHG	中国人寿	1.498	801790	非银金融
601888.XSHG	中国中免	1.941	801210	休闲服务
601933.XSHG	永辉超市	0.98	801200	商业贸易
603000.XSHG	人民网	1.013	801760	传媒
603156.XSHG	养元饮品	1.105	801120	食品饮料
603444.XSHG	吉比特	1.557	801760	传媒
603489.XSHG	八方股份	1.554	801730	电气设备
603517.XSHG	绝味食品	1.482	801120	食品饮料
603658.XSHG	安图生物	1.049	801150	医药生物
603716.XSHG	塞力斯	1.178	801150	医药生物
603866.XSHG	桃李面包	1.251	801120	食品饮料
603939.XSHG	益丰药房	1.301	801150	医药生物
603983.XSHG	丸美股份	0.941	801030	化工
