code	display_name	weight	sw1_code	sw1_name
000028.XSHE	国药一致	0.23	801150	医药生物
000078.XSHE	海王生物	0.208	801150	医药生物
000150.XSHE	宜华健康	0.053	801150	医药生物
000403.XSHE	双林生物	0.268	801150	医药生物
000423.XSHE	东阿阿胶	0.602	801150	医药生物
000513.XSHE	丽珠集团	0.565	801150	医药生物
000516.XSHE	国际医学	0.27	801150	医药生物
000538.XSHE	云南白药	1.682	801150	医药生物
000566.XSHE	海南海药	0.27	801150	医药生物
000590.XSHE	启迪古汉	0.045	801150	医药生物
000597.XSHE	东北制药	0.119	801150	医药生物
000623.XSHE	吉林敖东	0.46	801150	医药生物
000650.XSHE	仁和药业	0.16	801150	医药生物
000661.XSHE	长春高新	3.769	801150	医药生物
000710.XSHE	贝瑞基因	0.373	801150	医药生物
000739.XSHE	普洛药业	0.477	801150	医药生物
000756.XSHE	新华制药	0.064	801150	医药生物
000766.XSHE	通化金马	0.088	801150	医药生物
000788.XSHE	北大医药	0.074	801150	医药生物
000790.XSHE	华神科技	0.078	801150	医药生物
000813.XSHE	德展健康	0.156	801150	医药生物
000908.XSHE	景峰医药	0.101	801150	医药生物
000915.XSHE	山大华特	0.159	801150	医药生物
000919.XSHE	金陵药业	0.061	801150	医药生物
000931.XSHE	中关村	0.144	801150	医药生物
000950.XSHE	重药控股	0.083	801150	医药生物
000963.XSHE	华东医药	0.696	801150	医药生物
000989.XSHE	九芝堂	0.128	801150	医药生物
000999.XSHE	华润三九	0.318	801150	医药生物
002001.XSHE	新和成	1.202	801150	医药生物
002007.XSHE	华兰生物	1.794	801150	医药生物
002019.XSHE	亿帆医药	0.633	801150	医药生物
002020.XSHE	京新药业	0.203	801150	医药生物
002022.XSHE	科华生物	0.24	801150	医药生物
002030.XSHE	达安基因	0.671	801150	医药生物
002038.XSHE	双鹭药业	0.22	801150	医药生物
002044.XSHE	美年健康	1.371	801150	医药生物
002099.XSHE	海翔药业	0.223	801150	医药生物
002107.XSHE	沃华医药	0.087	801150	医药生物
002118.XSHE	紫鑫药业	0.094	801150	医药生物
002166.XSHE	莱茵生物	0.104	801150	医药生物
002198.XSHE	嘉应制药	0.07	801150	医药生物
002223.XSHE	鱼跃医疗	0.63	801150	医药生物
