code	display_name	weight	sw1_code	sw1_name
000009.XSHE	中国宝安	0.867	801230	综合
000035.XSHE	中国天楹	0.899	801160	公用事业
000400.XSHE	许继电气	0.974	801730	电气设备
000591.XSHE	太阳能	1.106	801160	公用事业
000598.XSHE	兴蓉环境	0.917	801160	公用事业
000690.XSHE	宝新能源	1.205	801160	公用事业
000826.XSHE	启迪环境	0.957	801160	公用事业
000967.XSHE	盈峰环境	0.895	801160	公用事业
002028.XSHE	思源电气	1.162	801730	电气设备
002056.XSHE	横店东磁	0.898	801050	有色金属
002074.XSHE	国轩高科	0.774	801730	电气设备
002080.XSHE	中材科技	1.148	801030	化工
002129.XSHE	中环股份	0.832	801730	电气设备
002202.XSHE	金风科技	0.886	801730	电气设备
002266.XSHE	浙富控股	1.132	801730	电气设备
002310.XSHE	东方园林	0.87	801720	建筑装饰
002340.XSHE	格林美	0.987	801050	有色金属
002459.XSHE	晶澳科技	1.218	801890	机械设备
002460.XSHE	赣锋锂业	0.83	801050	有色金属
002466.XSHE	天齐锂业	0.809	801050	有色金属
002506.XSHE	协鑫集成	1.359	801730	电气设备
002531.XSHE	天顺风能	0.98	801730	电气设备
002617.XSHE	露笑科技	1.083	801730	电气设备
002665.XSHE	首航高科	0.817	801730	电气设备
002709.XSHE	天赐材料	1.126	801030	化工
002745.XSHE	木林森	1.01	801080	电子
002850.XSHE	科达利	0.967	801080	电子
002973.XSHE	侨银环保	1.024	801160	公用事业
003816.XSHE	中国广核	0.84	801160	公用事业
300001.XSHE	特锐德	0.831	801730	电气设备
300014.XSHE	亿纬锂能	1.042	801730	电气设备
300037.XSHE	新宙邦	1.076	801030	化工
300068.XSHE	南都电源	1.166	801730	电气设备
300070.XSHE	碧水源	1.0	801160	公用事业
300072.XSHE	三聚环保	1.264	801030	化工
300073.XSHE	当升科技	1.073	801030	化工
300118.XSHE	东方日升	1.01	801730	电气设备
300203.XSHE	聚光科技	0.766	801160	公用事业
300207.XSHE	欣旺达	1.185	801080	电子
300232.XSHE	洲明科技	0.927	801080	电子
300274.XSHE	阳光电源	1.504	801730	电气设备
300296.XSHE	利亚德	0.947	801080	电子
300316.XSHE	晶盛机电	0.957	801730	电气设备
300365.XSHE	恒华科技	1.009	801750	计算机
300376.XSHE	易事特	1.039	801730	电气设备
300450.XSHE	先导智能	0.83	801890	机械设备
300457.XSHE	赢合科技	0.856	801890	机械设备
300495.XSHE	美尚生态	0.67	801720	建筑装饰
300618.XSHE	寒锐钴业	1.102	801050	有色金属
300682.XSHE	朗新科技	0.898	801750	计算机
300724.XSHE	捷佳伟创	1.001	801890	机械设备
300750.XSHE	宁德时代	0.947	801730	电气设备
300751.XSHE	迈为股份	1.181	801890	机械设备
300776.XSHE	帝尔激光	1.411	801890	机械设备
300815.XSHE	玉禾田	1.018	801160	公用事业
600008.XSHG	首创股份	0.92	801160	公用事业
600021.XSHG	上海电力	0.837	801160	公用事业
600025.XSHG	华能水电	0.905	801160	公用事业
600068.XSHG	葛洲坝	0.865	801720	建筑装饰
600089.XSHG	特变电工	0.958	801730	电气设备
600116.XSHG	三峡水利	0.983	801160	公用事业
600217.XSHG	中再资环	0.921	801160	公用事业
600312.XSHG	平高电气	0.842	801730	电气设备
600323.XSHG	瀚蓝环境	1.09	801160	公用事业
600388.XSHG	龙净环保	1.018	801890	机械设备
600406.XSHG	国电南瑞	0.96	801730	电气设备
600438.XSHG	通威股份	1.358	801730	电气设备
600482.XSHG	中国动力	1.009	801740	国防军工
600483.XSHG	福能股份	0.991	801160	公用事业
600487.XSHG	亨通光电	0.806	801770	通信
600517.XSHG	国网英大	0.881	801730	电气设备
600549.XSHG	厦门钨业	1.0	801050	有色金属
600563.XSHG	法拉电子	0.988	801080	电子
600674.XSHG	川投能源	0.916	801160	公用事业
600703.XSHG	三安光电	0.802	801080	电子
600869.XSHG	智慧能源	0.833	801730	电气设备
600874.XSHG	创业环保	0.896	801160	公用事业
600875.XSHG	东方电气	0.911	801730	电气设备
600884.XSHG	杉杉股份	1.073	801080	电子
600886.XSHG	国投电力	0.953	801160	公用事业
600900.XSHG	长江电力	0.888	801160	公用事业
601012.XSHG	隆基股份	1.632	801730	电气设备
601016.XSHG	节能风电	1.087	801160	公用事业
601179.XSHG	中国西电	0.789	801730	电气设备
601200.XSHG	上海环境	0.874	801160	公用事业
601222.XSHG	林洋能源	1.135	801730	电气设备
601330.XSHG	绿色动力	0.931	801160	公用事业
601611.XSHG	中国核建	1.12	801720	建筑装饰
601615.XSHG	明阳智能	1.053	801730	电气设备
601727.XSHG	上海电气	0.897	801730	电气设备
601865.XSHG	福莱特	1.387	801710	建筑材料
601877.XSHG	正泰电器	1.122	801730	电气设备
601985.XSHG	中国核电	0.931	801160	公用事业
603218.XSHG	日月股份	1.129	801730	电气设备
603421.XSHG	鼎信通讯	0.891	801770	通信
603515.XSHG	欧普照明	0.897	801080	电子
603568.XSHG	伟明环保	0.932	801160	公用事业
603659.XSHG	璞泰来	0.85	801730	电气设备
603799.XSHG	华友钴业	0.931	801050	有色金属
603806.XSHG	福斯特	1.529	801730	电气设备
