code	display_name	date	weight	sw1_code	sw1_name
000156.XSHE	华数传媒	2020-08-14	0.998	801760	传媒I
000676.XSHE	智度股份	2020-08-14	0.693	801760	传媒I
000681.XSHE	视觉中国	2020-08-14	1.128	801760	传媒I
000917.XSHE	电广传媒	2020-08-14	1.28	801760	传媒I
002027.XSHE	分众传媒	2020-08-14	9.762	801760	传媒I
002131.XSHE	利欧股份	2020-08-14	3.77	801760	传媒I
002181.XSHE	粤传媒	2020-08-14	0.374	801760	传媒I
002555.XSHE	三七互娱	2020-08-14	9.061	801760	传媒I
002558.XSHE	巨人网络	2020-08-14	2.009	801760	传媒I
002602.XSHE	世纪华通	2020-08-14	5.67	801760	传媒I
002624.XSHE	完美世界	2020-08-14	5.834	801760	传媒I
002739.XSHE	万达电影	2020-08-14	2.262	801760	传媒I
300031.XSHE	宝通科技	2020-08-14	1.258	801760	传媒I
300043.XSHE	星辉娱乐	2020-08-14	0.461	801760	传媒I
300058.XSHE	蓝色光标	2020-08-14	2.387	801760	传媒I
300113.XSHE	顺网科技	2020-08-14	1.593	801760	传媒I
300133.XSHE	华策影视	2020-08-14	1.391	801760	传媒I
300182.XSHE	捷成股份	2020-08-14	1.67	801760	传媒I
300251.XSHE	光线传媒	2020-08-14	2.447	801760	传媒I
300315.XSHE	掌趣科技	2020-08-14	4.06	801760	传媒I
300413.XSHE	芒果超媒	2020-08-14	7.602	801760	传媒I
300418.XSHE	昆仑万维	2020-08-14	3.468	801760	传媒I
300766.XSHE	每日互动	2020-08-14	1.323	801750	计算机I
300770.XSHE	新媒股份	2020-08-14	1.284	801760	传媒I
300785.XSHE	值得买	2020-08-14	0.462	801760	传媒I
300788.XSHE	中信出版	2020-08-14	0.401	801760	传媒I
300792.XSHE	壹网壹创	2020-08-14	1.107	801760	传媒I
300805.XSHE	电声股份	2020-08-14	0.164	801760	传媒I
600037.XSHG	歌华有线	2020-08-14	2.013	801760	传媒I
600373.XSHG	中文传媒	2020-08-14	1.346	801760	传媒I
600633.XSHG	浙数文化	2020-08-14	1.296	801760	传媒I
600637.XSHG	东方明珠	2020-08-14	3.257	801760	传媒I
600640.XSHG	号百控股	2020-08-14	0.965	801760	传媒I
600757.XSHG	长江传媒	2020-08-14	0.522	801760	传媒I
600959.XSHG	江苏有线	2020-08-14	1.792	801760	传媒I
600977.XSHG	中国电影	2020-08-14	1.701	801760	传媒I
600996.XSHG	贵广网络	2020-08-14	0.485	801760	传媒I
601098.XSHG	中南传媒	2020-08-14	1.202	801760	传媒I
601811.XSHG	新华文轩	2020-08-14	0.279	801760	传媒I
601858.XSHG	中国科传	2020-08-14	0.353	801760	传媒I
601900.XSHG	南方传媒	2020-08-14	0.387	801760	传媒I
601928.XSHG	凤凰传媒	2020-08-14	0.845	801760	传媒I
601929.XSHG	吉视传媒	2020-08-14	0.751	801760	传媒I
601949.XSHG	中国出版	2020-08-14	0.54	801760	传媒I
603000.XSHG	人民网	2020-08-14	1.722	801760	传媒I
603103.XSHG	横店影视	2020-08-14	0.23	801760	传媒I
603258.XSHG	电魂网络	2020-08-14	0.806	801760	传媒I
603444.XSHG	吉比特	2020-08-14	4.191	801760	传媒I
603533.XSHG	掌阅科技	2020-08-14	0.637	801760	传媒I
603888.XSHG	新华网	2020-08-14	0.761	801760	传媒I
