code	display_name	weight	sw1_code	sw1_name
000001.XSHE	平安银行	7.228	801780	银行
002142.XSHE	宁波银行	4.644	801780	银行
002807.XSHE	江阴银行	0.438	801780	银行
002839.XSHE	张家港行	0.363	801780	银行
002936.XSHE	郑州银行	0.356	801780	银行
002948.XSHE	青岛银行	0.205	801780	银行
002958.XSHE	青农商行	0.686	801780	银行
002966.XSHE	苏州银行	0.137	801780	银行
600000.XSHG	浦发银行	5.414	801780	银行
600015.XSHG	华夏银行	1.853	801780	银行
600016.XSHG	民生银行	5.538	801780	银行
600036.XSHG	招商银行	15.344	801780	银行
600908.XSHG	无锡银行	0.351	801780	银行
600919.XSHG	江苏银行	2.757	801780	银行
600926.XSHG	杭州银行	1.372	801780	银行
600928.XSHG	西安银行	0.344	801780	银行
601009.XSHG	南京银行	2.326	801780	银行
601077.XSHG	渝农商行	0.282	801780	银行
601128.XSHG	常熟银行	1.051	801780	银行
601166.XSHG	兴业银行	9.873	801780	银行
601169.XSHG	北京银行	3.401	801780	银行
601229.XSHG	上海银行	3.975	801780	银行
601288.XSHG	农业银行	4.473	801780	银行
601328.XSHG	交通银行	6.125	801780	银行
601398.XSHG	工商银行	8.468	801780	银行
601577.XSHG	长沙银行	0.445	801780	银行
601658.XSHG	邮储银行	0.595	801780	银行
601818.XSHG	光大银行	2.854	801780	银行
601838.XSHG	成都银行	1.052	801780	银行
601860.XSHG	紫金银行	0.365	801780	银行
601916.XSHG	浙商银行	0.45	801780	银行
601939.XSHG	建设银行	2.028	801780	银行
601988.XSHG	中国银行	3.312	801780	银行
601997.XSHG	贵阳银行	0.853	801780	银行
601998.XSHG	中信银行	0.76	801780	银行
603323.XSHG	苏农银行	0.283	801780	银行
