code	display_name	date	weight	sw1_code	sw1_name
000001.XSHE	平安银行	2020-08-14	2.289	801780	银行I
000002.XSHE	万科A	2020-08-14	3.231	801180	房地产I
000031.XSHE	大悦城	2020-08-14	0.125	801180	房地产I
000046.XSHE	泛海控股	2020-08-14	0.116	801180	房地产I
000069.XSHE	华侨城A	2020-08-14	0.52	801180	房地产I
000166.XSHE	申万宏源	2020-08-14	0.929	801790	非银金融I
000402.XSHE	金融街	2020-08-14	0.146	801180	房地产I
000517.XSHE	荣安地产	2020-08-14	0.029	801180	房地产I
000537.XSHE	广宇发展	2020-08-14	0.082	801180	房地产I
000540.XSHE	中天金融	2020-08-14	0.267	801180	房地产I
000560.XSHE	我爱我家	2020-08-14	0.102	801180	房地产I
000563.XSHE	陕国投A	2020-08-14	0.141	801790	非银金融I
000627.XSHE	天茂集团	2020-08-14	0.201	801790	非银金融I
000656.XSHE	金科股份	2020-08-14	0.329	801180	房地产I
000671.XSHE	阳光城	2020-08-14	0.201	801180	房地产I
000686.XSHE	东北证券	2020-08-14	0.279	801790	非银金融I
000712.XSHE	锦龙股份	2020-08-14	0.148	801790	非银金融I
000718.XSHE	苏宁环球	2020-08-14	0.092	801180	房地产I
000728.XSHE	国元证券	2020-08-14	0.372	801790	非银金融I
000732.XSHE	泰禾集团	2020-08-14	0.105	801180	房地产I
000750.XSHE	国海证券	2020-08-14	0.379	801790	非银金融I
000776.XSHE	广发证券	2020-08-14	0.817	801790	非银金融I
000783.XSHE	长江证券	2020-08-14	0.591	801790	非银金融I
000918.XSHE	嘉凯城	2020-08-14	0.061	801180	房地产I
000958.XSHE	东方能源	2020-08-14	0.062	801160	公用事业I
000961.XSHE	中南建设	2020-08-14	0.31	801180	房地产I
000987.XSHE	越秀金控	2020-08-14	0.221	801790	非银金融I
001914.XSHE	招商积余	2020-08-14	0.254	801180	房地产I
001979.XSHE	招商蛇口	2020-08-14	0.955	801180	房地产I
002142.XSHE	宁波银行	2020-08-14	1.539	801780	银行I
002146.XSHE	荣盛发展	2020-08-14	0.253	801180	房地产I
002244.XSHE	滨江集团	2020-08-14	0.13	801180	房地产I
002285.XSHE	世联行	2020-08-14	0.087	801180	房地产I
002314.XSHE	南山控股	2020-08-14	0.061	801180	房地产I
002423.XSHE	中粮资本	2020-08-14	0.032	801790	非银金融I
002500.XSHE	山西证券	2020-08-14	0.323	801790	非银金融I
002647.XSHE	仁东控股	2020-08-14	0.205	801790	非银金融I
002670.XSHE	国盛金控	2020-08-14	0.209	801790	非银金融I
002673.XSHE	西部证券	2020-08-14	0.307	801790	非银金融I
002736.XSHE	国信证券	2020-08-14	0.574	801790	非银金融I
002797.XSHE	第一创业	2020-08-14	0.484	801790	非银金融I
002807.XSHE	江阴银行	2020-08-14	0.164	801780	银行I
002839.XSHE	张家港行	2020-08-14	0.138	801780	银行I
002926.XSHE	华西证券	2020-08-14	0.296	801790	非银金融I
002936.XSHE	郑州银行	2020-08-14	0.126	801780	银行I
002939.XSHE	长城证券	2020-08-14	0.237	801790	非银金融I
002945.XSHE	华林证券	2020-08-14	0.081	801790	非银金融I
002948.XSHE	青岛银行	2020-08-14	0.074	801780	银行I
002958.XSHE	青农商行	2020-08-14	0.277	801780	银行I
002961.XSHE	瑞达期货	2020-08-14	0.026	801790	非银金融I
002966.XSHE	苏州银行	2020-08-14	0.056	801780	银行I
300033.XSHE	同花顺	2020-08-14	0.544	801750	计算机I
300059.XSHE	东方财富	2020-08-14	3.041	801790	非银金融I
300803.XSHE	指南针	2020-08-14	0.058	801750	计算机I
600000.XSHG	浦发银行	2020-08-14	2.151	801780	银行I
600007.XSHG	中国国贸	2020-08-14	0.047	801180	房地产I
600015.XSHG	华夏银行	2020-08-14	0.692	801780	银行I
