code	display_name	date	weight	sw1_code	sw1_name
000019.XSHE	深粮控股	2020-08-16	0.116	801200	商业贸易
000505.XSHE	京粮控股	2020-08-16	0.11	801010	农林牧渔
000523.XSHE	广州浪奇	2020-08-16	0.084	801030	化工
000529.XSHE	广弘控股	2020-08-16	0.094	801760	传媒
000568.XSHE	泸州老窖	2020-08-16	3.199	801120	食品饮料
000596.XSHE	古井贡酒	2020-08-16	0.907	801120	食品饮料
000639.XSHE	西王食品	2020-08-16	0.136	801120	食品饮料
000713.XSHE	丰乐种业	2020-08-16	0.11	801010	农林牧渔
000729.XSHE	燕京啤酒	2020-08-16	0.4	801120	食品饮料
000735.XSHE	罗牛山	2020-08-16	0.369	801010	农林牧渔
000799.XSHE	酒鬼酒	2020-08-16	0.578	801120	食品饮料
000848.XSHE	承德露露	2020-08-16	0.197	801120	食品饮料
000858.XSHE	五粮液	2020-08-16	10.781	801120	食品饮料
000860.XSHE	顺鑫农业	2020-08-16	1.189	801120	食品饮料
000869.XSHE	张裕A	2020-08-16	0.171	801120	食品饮料
000876.XSHE	新希望	2020-08-16	2.538	801010	农林牧渔
000895.XSHE	双汇发展	2020-08-16	2.014	801120	食品饮料
000930.XSHE	中粮科技	2020-08-16	0.331	801010	农林牧渔
000998.XSHE	隆平高科	2020-08-16	0.607	801010	农林牧渔
002041.XSHE	登海种业	2020-08-16	0.202	801010	农林牧渔
002094.XSHE	青岛金王	2020-08-16	0.079	801030	化工
002100.XSHE	天康生物	2020-08-16	0.494	801010	农林牧渔
002124.XSHE	天邦股份	2020-08-16	0.562	801010	农林牧渔
002157.XSHE	正邦科技	2020-08-16	0.999	801010	农林牧渔
002216.XSHE	三全食品	2020-08-16	0.41	801120	食品饮料
002234.XSHE	民和股份	2020-08-16	0.157	801010	农林牧渔
002264.XSHE	新华都	2020-08-16	0.082	801200	商业贸易
002299.XSHE	圣农发展	2020-08-16	0.661	801010	农林牧渔
002304.XSHE	洋河股份	2020-08-16	3.014	801120	食品饮料
002311.XSHE	海大集团	2020-08-16	1.868	801010	农林牧渔
002329.XSHE	皇氏集团	2020-08-16	0.11	801120	食品饮料
002330.XSHE	得利斯	2020-08-16	0.06	801120	食品饮料
002385.XSHE	大北农	2020-08-16	1.174	801010	农林牧渔
002458.XSHE	益生股份	2020-08-16	0.341	801010	农林牧渔
002461.XSHE	珠江啤酒	2020-08-16	0.152	801120	食品饮料
002481.XSHE	双塔食品	2020-08-16	0.436	801120	食品饮料
002505.XSHE	大康农业	2020-08-16	0.249	801200	商业贸易
002507.XSHE	涪陵榨菜	2020-08-16	0.806	801120	食品饮料
002511.XSHE	中顺洁柔	2020-08-16	0.591	801140	轻工制造
002515.XSHE	金字火腿	2020-08-16	0.203	801120	食品饮料
002548.XSHE	金新农	2020-08-16	0.14	801010	农林牧渔
002557.XSHE	洽洽食品	2020-08-16	0.652	801120	食品饮料
002567.XSHE	唐人神	2020-08-16	0.223	801010	农林牧渔
002568.XSHE	百润股份	2020-08-16	0.523	801120	食品饮料
002582.XSHE	好想你	2020-08-16	0.171	801120	食品饮料
002646.XSHE	青青稞酒	2020-08-16	0.071	801120	食品饮料
002661.XSHE	克明面业	2020-08-16	0.18	801120	食品饮料
002695.XSHE	煌上煌	2020-08-16	0.203	801120	食品饮料
002697.XSHE	红旗连锁	2020-08-16	0.304	801200	商业贸易
002714.XSHE	牧原股份	2020-08-16	5.077	801010	农林牧渔
002726.XSHE	龙大肉食	2020-08-16	0.167	801120	食品饮料
002732.XSHE	燕塘乳业	2020-08-16	0.081	801120	食品饮料
002746.XSHE	仙坛股份	2020-08-16	0.127	801010	农林牧渔
002840.XSHE	华统股份	2020-08-16	0.107	801120	食品饮料
002847.XSHE	盐津铺子	2020-08-16	0.15	801120	食品饮料
002852.XSHE	道道全	2020-08-16	0.092	801010	农林牧渔
002891.XSHE	中宠股份	2020-08-16	0.119	801010	农林牧渔
002946.XSHE	新乳业	2020-08-16	0.112	801120	食品饮料
002956.XSHE	西麦食品	2020-08-16	0.091	801120	食品饮料
300087.XSHE	荃银高科	2020-08-16	0.192	801010	农林牧渔
300094.XSHE	国联水产	2020-08-16	0.097	801010	农林牧渔
300132.XSHE	青松股份	2020-08-16	0.278	801030	化工
300138.XSHE	晨光生物	2020-08-16	0.259	801010	农林牧渔
300146.XSHE	汤臣倍健	2020-08-16	0.733	801120	食品饮料
300189.XSHE	神农科技	2020-08-16	0.164	801010	农林牧渔
300498.XSHE	温氏股份	2020-08-16	3.923	801010	农林牧渔
300511.XSHE	雪榕生物	2020-08-16	0.164	801010	农林牧渔
300673.XSHE	佩蒂股份	2020-08-16	0.082	801010	农林牧渔
300740.XSHE	御家汇	2020-08-16	0.172	801030	化工
300741.XSHE	华宝股份	2020-08-16	0.253	801120	食品饮料
300761.XSHE	立华股份	2020-08-16	0.187	801010	农林牧渔
300765.XSHE	新诺威	2020-08-16	0.106	801150	医药生物
300791.XSHE	仙乐健康	2020-08-16	0.133	801120	食品饮料
600059.XSHG	古越龙山	2020-08-16	0.173	801120	食品饮料
600073.XSHG	上海梅林	2020-08-16	0.261	801120	食品饮料
600108.XSHG	亚盛集团	2020-08-16	0.207	801010	农林牧渔
600127.XSHG	金健米业	2020-08-16	0.234	801010	农林牧渔
600132.XSHG	重庆啤酒	2020-08-16	0.652	801120	食品饮料
600197.XSHG	伊力特	2020-08-16	0.157	801120	食品饮料
600199.XSHG	金种子酒	2020-08-16	0.103	801120	食品饮料
600251.XSHG	冠农股份	2020-08-16	0.124	801010	农林牧渔
600298.XSHG	安琪酵母	2020-08-16	1.206	801010	农林牧渔
600300.XSHG	维维股份	2020-08-16	0.155	801120	食品饮料
600305.XSHG	恒顺醋业	2020-08-16	0.448	801120	食品饮料
