sw1_code	sw1_name	weight
801010	农林牧渔I	2.332
801020	采掘I	1.093
801030	化工I	2.188
801040	钢铁I	0.521
801050	有色金属I	2.34
801080	电子I	8.485
801110	家用电器I	4.602
801120	食品饮料I	11.98
801130	纺织服装I	0.048
801140	轻工制造I	0.24
801150	医药生物I	9.989
801160	公用事业I	1.835
801170	交通运输I	2.649
801180	房地产I	3.631
801200	商业贸易I	0.558
801210	休闲服务I	1.596
801710	建筑材料I	1.465
801720	建筑装饰I	1.904
801730	电气设备I	3.276
801740	国防军工I	1.365
801750	计算机I	3.216
801760	传媒I	1.931
801770	通信I	1.445
801780	银行I	12.028
801790	非银金融I	15.335
801880	汽车I	2.203
801890	机械设备I	1.752
