code	display_name	date	weight	sw1_code	sw1_name
000001.XSHE	平安银行	2020-08-14	3.545	801780	银行I
000002.XSHE	万科A	2020-08-14	7.61	801180	房地产I
000027.XSHE	深圳能源	2020-08-14	0.342	801160	公用事业I
000028.XSHE	国药一致	2020-08-14	0.261	801150	医药生物I
000031.XSHE	大悦城	2020-08-14	0.213	801180	房地产I
000034.XSHE	神州数码	2020-08-14	0.368	801750	计算机I
000039.XSHE	中集集团	2020-08-14	0.632	801890	机械设备I
000046.XSHE	泛海控股	2020-08-14	0.284	801180	房地产I
000050.XSHE	深天马A	2020-08-14	0.368	801080	电子I
000059.XSHE	华锦股份	2020-08-14	0.465	801030	化工I
000060.XSHE	中金岭南	2020-08-14	0.407	801050	有色金属I
000063.XSHE	中兴通讯	2020-08-14	0.935	801770	通信I
000066.XSHE	中国长城	2020-08-14	0.413	801750	计算机I
000069.XSHE	华侨城A	2020-08-14	1.609	801180	房地产I
000100.XSHE	TCL科技	2020-08-14	2.499	801080	电子I
000157.XSHE	中联重科	2020-08-14	1.139	801890	机械设备I
000166.XSHE	申万宏源	2020-08-14	1.097	801790	非银金融I
000333.XSHE	美的集团	2020-08-14	5.957	801110	家用电器I
000338.XSHE	潍柴动力	2020-08-14	2.586	801880	汽车I
000401.XSHE	冀东水泥	2020-08-14	0.508	801710	建筑材料I
000402.XSHE	金融街	2020-08-14	0.558	801180	房地产I
000413.XSHE	东旭光电	2020-08-14	0.522	801080	电子I
000415.XSHE	渤海租赁	2020-08-14	0.576	801790	非银金融I
000423.XSHE	东阿阿胶	2020-08-14	0.456	801150	医药生物I
000425.XSHE	徐工机械	2020-08-14	0.56	801890	机械设备I
000488.XSHE	晨鸣纸业	2020-08-14	0.588	801140	轻工制造I
000537.XSHE	广宇发展	2020-08-14	0.173	801180	房地产I
000538.XSHE	云南白药	2020-08-14	0.7	801150	医药生物I
000540.XSHE	中天金融	2020-08-14	0.509	801180	房地产I
000543.XSHE	皖能电力	2020-08-14	0.261	801160	公用事业I
000550.XSHE	江铃汽车	2020-08-14	0.248	801880	汽车I
000553.XSHE	安道麦A	2020-08-14	0.094	801030	化工I
000568.XSHE	泸州老窖	2020-08-14	0.799	801120	食品饮料I
000581.XSHE	威孚高科	2020-08-14	0.444	801880	汽车I
000600.XSHE	建投能源	2020-08-14	0.284	801160	公用事业I
000623.XSHE	吉林敖东	2020-08-14	0.438	801150	医药生物I
000625.XSHE	长安汽车	2020-08-14	1.042	801880	汽车I
000627.XSHE	天茂集团	2020-08-14	0.33	801790	非银金融I
000630.XSHE	铜陵有色	2020-08-14	0.952	801050	有色金属I
000651.XSHE	格力电器	2020-08-14	6.079	801110	家用电器I
000656.XSHE	金科股份	2020-08-14	0.595	801180	房地产I
000671.XSHE	阳光城	2020-08-14	0.423	801180	房地产I
000703.XSHE	恒逸石化	2020-08-14	0.596	801030	化工I
000708.XSHE	中信特钢	2020-08-14	0.083	801040	钢铁I
000709.XSHE	河钢股份	2020-08-14	1.042	801040	钢铁I
000725.XSHE	京东方A	2020-08-14	2.457	801080	电子I
000728.XSHE	国元证券	2020-08-14	0.523	801790	非银金融I
000732.XSHE	泰禾集团	2020-08-14	0.356	801180	房地产I
000768.XSHE	中航飞机	2020-08-14	0.414	801740	国防军工I
000776.XSHE	广发证券	2020-08-14	1.464	801790	非银金融I
000778.XSHE	新兴铸管	2020-08-14	0.633	801040	钢铁I
000783.XSHE	长江证券	2020-08-14	0.852	801790	非银金融I
000786.XSHE	北新建材	2020-08-14	0.454	801710	建筑材料I
000825.XSHE	太钢不锈	2020-08-14	0.629	801040	钢铁I
000830.XSHE	鲁西化工	2020-08-14	0.672	801030	化工I
000858.XSHE	五粮液	2020-08-14	2.729	801120	食品饮料I
000876.XSHE	新希望	2020-08-14	0.948	801010	农林牧渔I
000878.XSHE	云南铜业	2020-08-14	0.583	801050	有色金属I
000895.XSHE	双汇发展	2020-08-14	1.393	801120	食品饮料I
000898.XSHE	鞍钢股份	2020-08-14	0.562	801040	钢铁I
000932.XSHE	华菱钢铁	2020-08-14	0.488	801040	钢铁I
000938.XSHE	紫光股份	2020-08-14	0.45	801750	计算机I
000951.XSHE	中国重汽	2020-08-14	0.295	801880	汽车I
000960.XSHE	锡业股份	2020-08-14	0.382	801050	有色金属I
000961.XSHE	中南建设	2020-08-14	0.47	801180	房地产I
000963.XSHE	华东医药	2020-08-14	0.517	801150	医药生物I
000983.XSHE	西山煤电	2020-08-14	0.468	801020	采掘I
000999.XSHE	华润三九	2020-08-14	0.219	801150	医药生物I
001979.XSHE	招商蛇口	2020-08-14	1.901	801180	房地产I
002001.XSHE	新和成	2020-08-14	0.499	801150	医药生物I
002024.XSHE	苏宁易购	2020-08-14	1.615	801200	商业贸易I
002027.XSHE	分众传媒	2020-08-14	1.024	801760	传媒I
002032.XSHE	苏泊尔	2020-08-14	0.156	801110	家用电器I
002078.XSHE	太阳纸业	2020-08-14	0.485	801140	轻工制造I
002081.XSHE	金螳螂	2020-08-14	0.394	801720	建筑装饰I
002091.XSHE	江苏国泰	2020-08-14	0.37	801200	商业贸易I
002092.XSHE	中泰化学	2020-08-14	0.885	801030	化工I
002110.XSHE	三钢闽光	2020-08-14	0.682	801040	钢铁I
002120.XSHE	韵达股份	2020-08-14	0.19	801170	交通运输I
002128.XSHE	露天煤业	2020-08-14	0.274	801020	采掘I
002142.XSHE	宁波银行	2020-08-14	1.493	801780	银行I
002146.XSHE	荣盛发展	2020-08-14	0.841	801180	房地产I
002183.XSHE	怡亚通	2020-08-14	0.587	801170	交通运输I
002202.XSHE	金风科技	2020-08-14	1.094	801730	电气设备I
002203.XSHE	海亮股份	2020-08-14	0.233	801050	有色金属I
002221.XSHE	东华能源	2020-08-14	0.385	801030	化工I
002233.XSHE	塔牌集团	2020-08-14	0.419	801710	建筑材料I
002236.XSHE	大华股份	2020-08-14	0.461	801080	电子I
002241.XSHE	歌尔股份	2020-08-14	0.856	801080	电子I
002244.XSHE	滨江集团	2020-08-14	0.38	801180	房地产I
002294.XSHE	信立泰	2020-08-14	0.33	801150	医药生物I
002299.XSHE	圣农发展	2020-08-14	0.377	801010	农林牧渔I
002304.XSHE	洋河股份	2020-08-14	1.351	801120	食品饮料I
002311.XSHE	海大集团	2020-08-14	0.513	801010	农林牧渔I
002352.XSHE	顺丰控股	2020-08-14	0.752	801170	交通运输I
002385.XSHE	大北农	2020-08-14	0.462	801010	农林牧渔I
002415.XSHE	海康威视	2020-08-14	1.566	801080	电子I
002416.XSHE	爱施德	2020-08-14	0.414	801200	商业贸易I
002419.XSHE	天虹股份	2020-08-14	0.229	801200	商业贸易I
002422.XSHE	科伦药业	2020-08-14	0.355	801150	医药生物I
002456.XSHE	欧菲光	2020-08-14	0.442	801080	电子I
002475.XSHE	立讯精密	2020-08-14	0.698	801080	电子I
002493.XSHE	荣盛石化	2020-08-14	0.471	801030	化工I
002563.XSHE	森马服饰	2020-08-14	0.216	801130	纺织服装I
002594.XSHE	比亚迪	2020-08-14	1.131	801880	汽车I
002601.XSHE	龙蟒佰利	2020-08-14	0.706	801030	化工I
002714.XSHE	牧原股份	2020-08-14	0.385	801010	农林牧渔I
002736.XSHE	国信证券	2020-08-14	0.883	801790	非银金融I
002936.XSHE	郑州银行	2020-08-14	0.274	801780	银行I
002938.XSHE	鹏鼎控股	2020-08-14	0.085	801080	电子I
002958.XSHE	青农商行	2020-08-14	0.365	801780	银行I
002966.XSHE	苏州银行	2020-08-14	0.061	801780	银行I
003816.XSHE	中国广核	2020-08-14	0.309	801160	公用事业I
300070.XSHE	碧水源	2020-08-14	0.332	801160	公用事业I
300226.XSHE	上海钢联	2020-08-14	0.606	801760	传媒I
300433.XSHE	蓝思科技	2020-08-14	0.406	801080	电子I
300498.XSHE	温氏股份	2020-08-14	2.37	801010	农林牧渔I
300741.XSHE	华宝股份	2020-08-14	0.195	801120	食品饮料I
300750.XSHE	宁德时代	2020-08-14	0.7	801730	电气设备I
300760.XSHE	迈瑞医疗	2020-08-14	0.242	801150	医药生物I
