sw1_code	sw1_name	weight
801010	农林牧渔I	5.055
801020	采掘I	0.742
801030	化工I	4.274
801040	钢铁I	4.119
801050	有色金属I	2.557
801080	电子I	10.36
801110	家用电器I	12.192
801120	食品饮料I	6.467
801130	纺织服装I	0.216
801140	轻工制造I	1.073
801150	医药生物I	4.017
801160	公用事业I	1.528
801170	交通运输I	1.529
801180	房地产I	15.922
801200	商业贸易I	2.628
801710	建筑材料I	1.381
801720	建筑装饰I	0.394
801730	电气设备I	1.794
801740	国防军工I	0.414
801750	计算机I	1.231
801760	传媒I	1.63
801770	通信I	0.935
801780	银行I	5.738
801790	非银金融I	5.725
801880	汽车I	5.746
801890	机械设备I	2.331
