sw1_code	sw1_name	weight
801010	农林牧渔I	8.5351
801030	化工I	2.5045
801040	钢铁I	0.7954
801050	有色金属I	2.6786
801080	电子I	27.905
801110	家用电器I	2.284
801120	食品饮料I	2.8961
801130	纺织服装I	0.1571
801140	轻工制造I	0.964
801150	医药生物I	8.962
801160	公用事业I	0.254
801170	交通运输I	4.6013
801180	房地产I	0.4626
801200	商业贸易I	2.1901
801710	建筑材料I	2.0189
801720	建筑装饰I	0.3871
801730	电气设备I	3.03
801740	国防军工I	2.0473
801750	计算机I	9.5068
801760	传媒I	7.3489
801770	通信I	0.3957
801780	银行I	2.9789
801790	非银金融I	3.9839
801880	汽车I	2.1554
801890	机械设备I	0.9571
