code	display_name	date	weight	sw1_code	sw1_name
000006.XSHE	深振业A	2020-08-14	0.148	801180	房地产I
000011.XSHE	深物业A	2020-08-14	0.104	801180	房地产I
000016.XSHE	深康佳A	2020-08-14	0.152	801110	家用电器I
000019.XSHE	深粮控股	2020-08-14	0.059	801200	商业贸易I
000030.XSHE	富奥股份	2020-08-14	0.103	801880	汽车I
000034.XSHE	神州数码	2020-08-14	0.176	801750	计算机I
000035.XSHE	中国天楹	2020-08-14	0.173	801160	公用事业I
000036.XSHE	华联控股	2020-08-14	0.09	801180	房地产I
000038.XSHE	深大通	2020-08-14	0.064	801760	传媒I
000040.XSHE	东旭蓝天	2020-08-14	0.061	801160	公用事业I
000049.XSHE	德赛电池	2020-08-14	0.138	801080	电子I
000056.XSHE	皇庭国际	2020-08-14	0.027	801180	房地产I
000058.XSHE	深赛格	2020-08-14	0.059	801200	商业贸易I
000059.XSHE	华锦股份	2020-08-14	0.093	801030	化工I
000065.XSHE	北方国际	2020-08-14	0.046	801720	建筑装饰I
000070.XSHE	特发信息	2020-08-14	0.123	801770	通信I
000088.XSHE	盐田港	2020-08-14	0.123	801170	交通运输I
000150.XSHE	宜华健康	2020-08-14	0.037	801150	医药生物I
000155.XSHE	川能动力	2020-08-14	0.079	801160	公用事业I
000403.XSHE	双林生物	2020-08-14	0.207	801150	医药生物I
000429.XSHE	粤高速A	2020-08-14	0.118	801170	交通运输I
000498.XSHE	山东路桥	2020-08-14	0.047	801720	建筑装饰I
000503.XSHE	国新健康	2020-08-14	0.177	801150	医药生物I
000507.XSHE	珠海港	2020-08-14	0.072	801170	交通运输I
000514.XSHE	渝开发	2020-08-14	0.026	801180	房地产I
000516.XSHE	国际医学	2020-08-14	0.186	801150	医药生物I
000517.XSHE	荣安地产	2020-08-14	0.031	801180	房地产I
000520.XSHE	长航凤凰	2020-08-14	0.048	801170	交通运输I
000525.XSHE	红太阳	2020-08-14	0.045	801030	化工I
000532.XSHE	华金资本	2020-08-14	0.048	801080	电子I
000540.XSHE	中天金融	2020-08-14	0.285	801180	房地产I
000544.XSHE	中原环保	2020-08-14	0.055	801160	公用事业I
000546.XSHE	金圆股份	2020-08-14	0.087	801710	建筑材料I
000550.XSHE	江铃汽车	2020-08-14	0.058	801880	汽车I
000555.XSHE	神州信息	2020-08-14	0.153	801750	计算机I
000557.XSHE	西部创业	2020-08-14	0.058	801170	交通运输I
000560.XSHE	我爱我家	2020-08-14	0.109	801180	房地产I
000561.XSHE	烽火电子	2020-08-14	0.048	801740	国防军工I
000567.XSHE	海德股份	2020-08-14	0.048	801790	非银金融I
000576.XSHE	广东甘化	2020-08-14	0.054	801740	国防军工I
000582.XSHE	北部湾港	2020-08-14	0.148	801170	交通运输I
000584.XSHE	哈工智能	2020-08-14	0.057	801890	机械设备I
000591.XSHE	太阳能	2020-08-14	0.193	801160	公用事业I
000592.XSHE	平潭发展	2020-08-14	0.105	801010	农林牧渔I
000597.XSHE	东北制药	2020-08-14	0.071	801150	医药生物I
000601.XSHE	韶能股份	2020-08-14	0.087	801160	公用事业I
000603.XSHE	盛达资源	2020-08-14	0.122	801050	有色金属I
000615.XSHE	京汉股份	2020-08-14	0.043	801180	房地产I
000620.XSHE	新华联	2020-08-14	0.06	801180	房地产I
000626.XSHE	远大控股	2020-08-14	0.029	801200	商业贸易I
000639.XSHE	西王食品	2020-08-14	0.069	801120	食品饮料I
000650.XSHE	仁和药业	2020-08-14	0.111	801150	医药生物I
000652.XSHE	泰达股份	2020-08-14	0.129	801230	综合I
000657.XSHE	中钨高新	2020-08-14	0.057	801050	有色金属I
000662.XSHE	*ST天夏	2020-08-14	0.018	801750	计算机I
000665.XSHE	湖北广电	2020-08-14	0.05	801760	传媒I
000666.XSHE	经纬纺机	2020-08-14	0.057	801790	非银金融I
000667.XSHE	美好置业	2020-08-14	0.163	801180	房地产I
000672.XSHE	上峰水泥	2020-08-14	0.232	801710	建筑材料I
000676.XSHE	智度股份	2020-08-14	0.083	801760	传媒I
