sw1_code	sw1_name	weight
801010	农林牧渔I	2.285
801020	采掘I	1.465
801030	化工I	7.798
801040	钢铁I	0.339
801050	有色金属I	4.421
801080	电子I	9.987
801110	家用电器I	1.377
801120	食品饮料I	3.633
801130	纺织服装I	0.93
801140	轻工制造I	3.054
801150	医药生物I	12.082
801160	公用事业I	4.194
801170	交通运输I	2.053
801180	房地产I	3.22
801200	商业贸易I	1.528
801210	休闲服务I	0.314
801230	综合I	0.432
801710	建筑材料I	2.411
801720	建筑装饰I	2.825
801730	电气设备I	4.063
801740	国防军工I	3.255
801750	计算机I	9.916
801760	传媒I	4.566
801770	通信I	3.445
801780	银行I	0.111
801790	非银金融I	1.234
801880	汽车I	2.732
801890	机械设备I	6.316
