	date	sw1_code	sw1_name	total_count	pe	pe_negative_count	pe_over_125_count	pb
0	2005-02-03	801003	申万A指	1261	24.26	193	81	1.89
1	2005-02-03	801010	农林牧渔	35	24.6	6	1	1.66
2	2005-02-03	801020	采掘	37	23.6	4	2	2.12
3	2005-02-03	801030	化工	97	23.9	11	6	1.74
4	2005-02-03	801040	钢铁	23	8.25	1	1	1.46
5	2005-02-03	801050	有色金属	53	22.72	7	1	1.99
6	2005-02-03	801080	电子	48	28.94	7	0	2.17
7	2005-02-03	801110	家用电器	17	24.25	2	2	1.36
8	2005-02-03	801120	食品饮料	41	28.25	8	3	1.74
9	2005-02-03	801130	纺织服装	22	22.42	5	2	2.17
10	2005-02-03	801140	轻工制造	31	22.99	6	2	1.78
11	2005-02-03	801150	医药生物	112	28.25	20	8	2.01
12	2005-02-03	801160	公用事业	89	23.96	14	3	1.73
13	2005-02-03	801170	交通运输	56	24.75	5	0	2.08
14	2005-02-03	801180	房地产	113	25.38	21	10	1.8
15	2005-02-03	801200	商业贸易	64	25.75	9	8	1.85
16	2005-02-03	801210	休闲服务	20	30.13	3	1	2.04
17	2005-02-03	801230	综合	27	32.73	3	4	2.69
18	2005-02-03	801710	建筑材料	25	21.04	4	2	1.68
19	2005-02-03	801720	建筑装饰	25	24.0	6	2	1.79
20	2005-02-03	801730	电气设备	37	25.76	4	3	2.28
21	2005-02-03	801740	国防军工	32	32.03	5	4	1.74
22	2005-02-03	801750	计算机	29	33.72	4	1	2.5
23	2005-02-03	801760	传媒	44	37.52	12	2	2.09
24	2005-02-03	801770	通信	25	30.3	3	2	1.76
25	2005-02-03	801780	银行	5	18.72	0	0	2.38
26	2005-02-03	801790	非银金融	38	26.49	9	4	2.01
27	2005-02-03	801880	汽车	54	18.89	10	4	2.08
28	2005-02-03	801890	机械设备	62	22.53	4	3	1.74
29	2005-02-04	801003	申万A指	1261	24.73	189	82	1.92
30	2005-02-04	801010	农林牧渔	35	24.9	6	1	1.68
31	2005-02-04	801020	采掘	37	23.58	4	2	2.16
32	2005-02-04	801030	化工	97	24.45	11	6	1.77
33	2005-02-04	801040	钢铁	23	8.52	1	1	1.49
34	2005-02-04	801050	有色金属	53	23.37	6	1	2.02
35	2005-02-04	801080	电子	48	29.57	7	0	2.2
36	2005-02-04	801110	家用电器	17	24.85	2	2	1.39
37	2005-02-04	801120	食品饮料	41	28.49	8	3	1.76
38	2005-02-04	801130	纺织服装	22	22.5	5	2	2.22
39	2005-02-04	801140	轻工制造	31	23.48	6	2	1.81
40	2005-02-04	801150	医药生物	112	28.73	20	8	2.03
41	2005-02-04	801160	公用事业	89	24.36	13	3	1.75
42	2005-02-04	801170	交通运输	56	25.24	5	0	2.13
43	2005-02-04	801180	房地产	113	25.67	21	9	1.83
44	2005-02-04	801200	商业贸易	64	26.56	9	8	1.89
45	2005-02-04	801210	休闲服务	20	30.42	3	2	2.08
46	2005-02-04	801230	综合	27	33.11	2	4	2.73
47	2005-02-04	801710	建筑材料	25	21.37	4	2	1.71
48	2005-02-04	801720	建筑装饰	25	24.39	6	2	1.8
49	2005-02-04	801730	电气设备	37	25.84	4	3	2.32
50	2005-02-04	801740	国防军工	32	32.79	5	4	1.77
51	2005-02-04	801750	计算机	29	34.38	4	1	2.56
52	2005-02-04	801760	传媒	44	37.34	12	3	2.13
53	2005-02-04	801770	通信	25	32.18	2	2	1.79
54	2005-02-04	801780	银行	5	19.81	0	0	2.51
55	2005-02-04	801790	非银金融	38	27.07	9	4	2.03
56	2005-02-04	801880	汽车	54	19.41	10	4	2.14
57	2005-02-04	801890	机械设备	62	23.03	4	3	1.77
58	2005-02-16	801003	申万A指	1261	24.91	189	85	1.95
59	2005-02-16	801010	农林牧渔	35	25.28	6	1	1.71
60	2005-02-16	801020	采掘	37	23.82	4	2	2.18
61	2005-02-16	801030	化工	97	24.7	11	6	1.79
62	2005-02-16	801040	钢铁	23	8.58	1	1	1.5
63	2005-02-16	801050	有色金属	53	23.62	6	1	2.04
64	2005-02-16	801080	电子	48	29.85	7	0	2.23
65	2005-02-16	801110	家用电器	17	24.95	2	2	1.4
66	2005-02-16	801120	食品饮料	41	28.84	8	3	1.79
67	2005-02-16	801130	纺织服装	22	22.77	5	2	2.24
68	2005-02-16	801140	轻工制造	31	23.61	6	2	1.83
69	2005-02-16	801150	医药生物	112	28.71	20	9	2.05
70	2005-02-16	801160	公用事业	89	24.53	13	3	1.77
71	2005-02-16	801170	交通运输	56	25.5	5	0	2.15
72	2005-02-16	801180	房地产	113	25.6	21	10	1.89
73	2005-02-16	801200	商业贸易	64	26.95	9	8	1.91
74	2005-02-16	801210	休闲服务	20	30.76	3	2	2.12
75	2005-02-16	801230	综合	27	33.34	2	4	2.75
76	2005-02-16	801710	建筑材料	25	21.7	4	2	1.74
77	2005-02-16	801720	建筑装饰	25	24.75	6	2	1.82
78	2005-02-16	801730	电气设备	37	26.23	4	3	2.35
79	2005-02-16	801740	国防军工	32	33.36	5	4	1.8
80	2005-02-16	801750	计算机	29	34.78	4	1	2.59
81	2005-02-16	801760	传媒	44	37.56	12	3	2.16
82	2005-02-16	801770	通信	25	32.69	2	2	1.82
83	2005-02-16	801780	银行	5	19.71	0	0	2.5
84	2005-02-16	801790	非银金融	38	27.4	9	4	2.06
85	2005-02-16	801880	汽车	54	19.04	10	5	2.16
86	2005-02-16	801890	机械设备	62	23.28	4	3	1.8
87	2005-02-17	801003	申万A指	1261	24.99	188	84	1.96
88	2005-02-17	801010	农林牧渔	35	25.33	6	1	1.73
89	2005-02-17	801020	采掘	37	23.74	4	2	2.19
90	2005-02-17	801030	化工	97	24.68	11	6	1.8
91	2005-02-17	801040	钢铁	23	8.53	1	1	1.5
92	2005-02-17	801050	有色金属	53	23.68	6	1	2.05
93	2005-02-17	801080	电子	48	30.2	7	0	2.26
94	2005-02-17	801110	家用电器	17	24.99	2	2	1.41
95	2005-02-17	801120	食品饮料	41	29.59	7	3	1.8
96	2005-02-17	801130	纺织服装	22	22.75	5	2	2.25
97	2005-02-17	801140	轻工制造	31	23.59	6	2	1.83
98	2005-02-17	801150	医药生物	112	29.04	20	8	2.07
99	2005-02-17	801160	公用事业	89	24.61	13	3	1.79
100	2005-02-17	801170	交通运输	56	25.45	5	0	2.15
101	2005-02-17	801180	房地产	113	25.65	21	10	1.91
102	2005-02-17	801200	商业贸易	64	26.99	9	8	1.91
103	2005-02-17	801210	休闲服务	20	30.88	3	2	2.12
104	2005-02-17	801230	综合	27	33.46	2	4	2.75
105	2005-02-17	801710	建筑材料	25	21.75	4	2	1.76
106	2005-02-17	801720	建筑装饰	25	25.1	6	2	1.85
107	2005-02-17	801730	电气设备	37	26.35	4	3	2.37
108	2005-02-17	801740	国防军工	32	33.55	5	4	1.81
109	2005-02-17	801750	计算机	29	34.9	4	1	2.6
110	2005-02-17	801760	传媒	44	38.03	12	3	2.19
111	2005-02-17	801770	通信	25	32.84	2	2	1.84
112	2005-02-17	801780	银行	5	19.61	0	0	2.49
113	2005-02-17	801790	非银金融	38	27.51	9	4	2.08
114	2005-02-17	801880	汽车	54	18.99	10	5	2.16
115	2005-02-17	801890	机械设备	62	23.3	4	3	1.8
116	2005-02-18	801003	申万A指	1261	24.7	187	84	1.94
117	2005-02-18	801010	农林牧渔	35	25.15	6	1	1.71
118	2005-02-18	801020	采掘	37	23.58	4	2	2.17
119	2005-02-18	801030	化工	97	24.35	11	6	1.78
120	2005-02-18	801040	钢铁	23	8.4	1	1	1.47
121	2005-02-18	801050	有色金属	53	23.02	6	2	2.03
122	2005-02-18	801080	电子	48	29.61	7	0	2.22
123	2005-02-18	801110	家用电器	17	24.78	2	2	1.4
124	2005-02-18	801120	食品饮料	41	29.33	7	3	1.78
125	2005-02-18	801130	纺织服装	22	22.58	5	2	2.21
126	2005-02-18	801140	轻工制造	31	23.28	6	2	1.81
127	2005-02-18	801150	医药生物	112	28.81	20	8	2.05
128	2005-02-18	801160	公用事业	89	24.3	13	3	1.77
129	2005-02-18	801170	交通运输	56	25.07	5	0	2.12
130	2005-02-18	801180	房地产	113	25.37	21	10	1.89
131	2005-02-18	801200	商业贸易	64	26.85	9	8	1.9
132	2005-02-18	801210	休闲服务	20	30.54	3	2	2.11
133	2005-02-18	801230	综合	27	33.84	1	4	2.68
134	2005-02-18	801710	建筑材料	25	21.44	4	2	1.74
135	2005-02-18	801720	建筑装饰	25	25.1	6	2	1.84
136	2005-02-18	801730	电气设备	37	25.87	4	3	2.33
137	2005-02-18	801740	国防军工	32	33.21	5	4	1.8
138	2005-02-18	801750	计算机	29	34.24	4	1	2.54
139	2005-02-18	801760	传媒	44	37.35	12	3	2.15
140	2005-02-18	801770	通信	25	32.24	2	2	1.8
141	2005-02-18	801780	银行	5	19.3	0	0	2.45
142	2005-02-18	801790	非银金融	38	27.15	9	4	2.06
143	2005-02-18	801880	汽车	54	19.18	10	4	2.13
144	2005-02-18	801890	机械设备	62	22.92	4	3	1.78
145	2005-02-21	801003	申万A指	1261	25.11	187	85	1.97
146	2005-02-21	801010	农林牧渔	35	25.57	6	1	1.74
147	2005-02-21	801020	采掘	37	23.9	4	2	2.2
148	2005-02-21	801030	化工	97	24.57	11	6	1.81
149	2005-02-21	801040	钢铁	23	8.55	1	1	1.5
150	2005-02-21	801050	有色金属	53	23.62	6	2	2.08
151	2005-02-21	801080	电子	48	30.19	7	0	2.25
152	2005-02-21	801110	家用电器	17	25.27	2	2	1.44
153	2005-02-21	801120	食品饮料	41	29.79	7	3	1.81
154	2005-02-21	801130	纺织服装	22	22.96	5	2	2.25
155	2005-02-21	801140	轻工制造	31	23.54	6	2	1.83
156	2005-02-21	801150	医药生物	112	29.28	20	8	2.09
157	2005-02-21	801160	公用事业	89	24.78	13	3	1.81
158	2005-02-21	801170	交通运输	56	25.52	5	0	2.16
159	2005-02-21	801180	房地产	113	25.78	21	10	1.92
160	2005-02-21	801200	商业贸易	64	27.22	9	8	1.93
161	2005-02-21	801210	休闲服务	20	31.05	3	2	2.15
162	2005-02-21	801230	综合	27	34.26	1	4	2.71
163	2005-02-21	801710	建筑材料	25	21.75	4	2	1.76
164	2005-02-21	801720	建筑装饰	25	25.58	6	2	1.87
165	2005-02-21	801730	电气设备	37	26.48	4	3	2.39
166	2005-02-21	801740	国防军工	32	33.82	5	4	1.84
167	2005-02-21	801750	计算机	29	34.8	4	1	2.58
168	2005-02-21	801760	传媒	44	37.96	12	3	2.19
169	2005-02-21	801770	通信	25	32.69	2	2	1.82
170	2005-02-21	801780	银行	5	19.91	0	0	2.53
171	2005-02-21	801790	非银金融	38	27.67	9	4	2.09
172	2005-02-21	801880	汽车	54	19.12	10	5	2.15
173	2005-02-21	801890	机械设备	62	23.41	4	3	1.81
174	2005-02-22	801003	申万A指	1261	25.68	186	91	2.03
175	2005-02-22	801010	农林牧渔	35	26.42	6	1	1.79
176	2005-02-22	801020	采掘	37	24.5	4	2	2.26
177	2005-02-22	801030	化工	97	25.28	11	6	1.86
178	2005-02-22	801040	钢铁	23	8.69	1	1	1.53
179	2005-02-22	801050	有色金属	53	24.35	6	2	2.14
180	2005-02-22	801080	电子	48	31.34	7	0	2.33
181	2005-02-22	801110	家用电器	17	26.25	2	2	1.5
182	2005-02-22	801120	食品饮料	41	30.37	7	3	1.85
183	2005-02-22	801130	纺织服装	22	23.63	5	2	2.31
184	2005-02-22	801140	轻工制造	31	24.2	6	2	1.88
185	2005-02-22	801150	医药生物	112	29.29	20	11	2.14
186	2005-02-22	801160	公用事业	89	25.49	13	3	1.86
187	2005-02-22	801170	交通运输	56	26.12	5	0	2.21
188	2005-02-22	801180	房地产	113	26.33	21	10	1.96
