	fund_code	fund_name	fund_percent	fund_holding	stock_code	stock_name	stock_percent	stock_holding
0	007749	民生加银鹏程混合C	20.54	251877.26	002475	立讯精密	0.96	2418.02
1	007749	民生加银鹏程混合C	20.54	251877.26	601100	恒立液压	0.91	2292.08
2	007749	民生加银鹏程混合C	20.54	251877.26	000725	京东方A	0.86	2166.14
3	007749	民生加银鹏程混合C	20.54	251877.26	000858	五粮液	0.78	1964.64
4	007749	民生加银鹏程混合C	20.54	251877.26	600519	贵州茅台	0.76	1914.27
5	007749	民生加银鹏程混合C	20.54	251877.26	300601	康泰生物	0.61	1536.45
6	007749	民生加银鹏程混合C	20.54	251877.26	000661	长春高新	0.46	1158.64
7	007749	民生加银鹏程混合C	20.54	251877.26	688111	金山办公	0.43	1083.07
8	007749	民生加银鹏程混合C	20.54	251877.26	000100	TCL科技	0.43	1083.07
9	007749	民生加银鹏程混合C	20.54	251877.26	600276	恒瑞医药	0.41	1032.7
10	006585	南方宝元债券C	10.44	128023.3	601939	建设银行	3.96	5069.72
11	006585	南方宝元债券C	10.44	128023.3	600036	招商银行	1.91	2445.25
12	006585	南方宝元债券C	10.44	128023.3	601166	兴业银行	1.59	2035.57
13	006585	南方宝元债券C	10.44	128023.3	601009	南京银行	1.38	1766.72
14	006585	南方宝元债券C	10.44	128023.3	601088	中国神华	1.08	1382.65
15	006585	南方宝元债券C	10.44	128023.3	002142	宁波银行	0.88	1126.61
16	006585	南方宝元债券C	10.44	128023.3	000895	双汇发展	0.69	883.36
17	006585	南方宝元债券C	10.44	128023.3	600519	贵州茅台	0.64	819.35
18	006585	南方宝元债券C	10.44	128023.3	600600	青岛啤酒	0.58	742.54
19	006585	南方宝元债券C	10.44	128023.3	600887	伊利股份	0.55	704.13
20	008127	广发趋势优选混合C	10.25	125693.37	002044	美年健康	0.4	502.77
21	008127	广发趋势优选混合C	10.25	125693.37	002080	中材科技	0.38	477.63
22	008127	广发趋势优选混合C	10.25	125693.37	601233	桐昆股份	0.36	452.5
23	008127	广发趋势优选混合C	10.25	125693.37	300010	豆神教育	0.36	452.5
24	008127	广发趋势优选混合C	10.25	125693.37	600887	伊利股份	0.36	452.5
25	008127	广发趋势优选混合C	10.25	125693.37	300428	四通新材	0.35	439.93
26	008127	广发趋势优选混合C	10.25	125693.37	002773	康弘药业	0.35	439.93
27	008127	广发趋势优选混合C	10.25	125693.37	002212	南洋股份	0.35	439.93
28	008127	广发趋势优选混合C	10.25	125693.37	002179	中航光电	0.35	439.93
29	008127	广发趋势优选混合C	10.25	125693.37	603708	家家悦	0.34	427.36
30	009308	天弘安康颐养混合C	10.24	125570.75	600519	贵州茅台	1.57	1971.46
31	009308	天弘安康颐养混合C	10.24	125570.75	600887	伊利股份	1.18	1481.73
32	009308	天弘安康颐养混合C	10.24	125570.75	600036	招商银行	1.12	1406.39
33	009308	天弘安康颐养混合C	10.24	125570.75	002508	老板电器	1.05	1318.49
34	009308	天弘安康颐养混合C	10.24	125570.75	600690	海尔智家	1.05	1318.49
35	009308	天弘安康颐养混合C	10.24	125570.75	603899	晨光文具	1.03	1293.38
36	009308	天弘安康颐养混合C	10.24	125570.75	000333	美的集团	1.0	1255.71
37	009308	天弘安康颐养混合C	10.24	125570.75	601318	中国平安	0.96	1205.48
38	009308	天弘安康颐养混合C	10.24	125570.75	000651	格力电器	0.96	1205.48
39	009308	天弘安康颐养混合C	10.24	125570.75	600030	中信证券	0.87	1092.47
40	485011	工银双利债券B	9.77	119807.24	600570	恒生电子	1.3	1557.49
41	485011	工银双利债券B	9.77	119807.24	600547	山东黄金	1.03	1234.01
42	485011	工银双利债券B	9.77	119807.24	002008	大族激光	0.72	862.61
43	485011	工银双利债券B	9.77	119807.24	603195	公牛集团	0.64	766.77
44	485011	工银双利债券B	9.77	119807.24	002027	分众传媒	0.56	670.92
45	485011	工银双利债券B	9.77	119807.24	300059	东方财富	0.49	587.06
46	485011	工银双利债券B	9.77	119807.24	000538	云南白药	0.45	539.13
47	485011	工银双利债券B	9.77	119807.24	300451	创业慧康	0.37	443.29
48	485011	工银双利债券B	9.77	119807.24	002292	奥飞娱乐	0.34	407.34
49	485011	工银双利债券B	9.77	119807.24	300454	深信服	0.33	395.36
50	006060	鹏扬泓利债券C	9.72	119194.11	601939	建设银行	2.42	2884.5
51	006060	鹏扬泓利债券C	9.72	119194.11	601328	交通银行	2.2	2622.27
52	006060	鹏扬泓利债券C	9.72	119194.11	601818	光大银行	2.0	2383.88
53	006060	鹏扬泓利债券C	9.72	119194.11	000002	万科A	1.95	2324.29
54	006060	鹏扬泓利债券C	9.72	119194.11	600028	中国石化	1.5	1787.91
55	006060	鹏扬泓利债券C	9.72	119194.11	600000	浦发银行	1.25	1489.93
56	006060	鹏扬泓利债券C	9.72	119194.11	000725	京东方A	1.05	1251.54
57	006060	鹏扬泓利债券C	9.72	119194.11	601668	中国建筑	0.77	917.79
58	006060	鹏扬泓利债券C	9.72	119194.11	601800	中国交建	0.76	905.88
