sw1_code	sw1_name	holding_money_index	holding_money_plan	holding_money	rate
801010	农林牧渔	12380.52	0.0	12380.52	1.71%
801020	采掘	5359.08	1382.65	6741.73	0.93%
801030	化工	31573.9	2718.04	34291.94	4.74%
801040	钢铁	17058.52	0.0	17058.52	2.36%
801050	有色金属	17029.51	1234.01	18263.52	2.53%
801080	电子	35188.17	7781.38	42969.55	5.94%
801110	家用电器	11061.94	5098.17	16160.11	2.23%
801120	食品饮料	24583.07	10933.98	35517.05	4.91%
801130	纺织服装	5021.83	0.0	5021.83	0.69%
801140	轻工制造	7434.02	2060.15	9494.17	1.31%
801150	医药生物	86790.01	5209.62	91999.63	12.72%
801160	公用事业	27071.0	0.0	27071.0	3.74%
801170	交通运输	20277.48	0.0	20277.48	2.8%
801180	房地产	31466.32	2324.29	33790.61	4.67%
801200	商业贸易	9226.99	427.36	9654.35	1.33%
801210	休闲服务	4612.88	0.0	4612.88	0.64%
801230	综合	3715.19	0.0	3715.19	0.51%
801710	建筑材料	13558.33	0.0	13558.33	1.87%
801720	建筑装饰	7855.34	1823.67	9679.01	1.34%
801730	电气设备	35767.02	0.0	35767.02	4.95%
801740	国防军工	8362.85	439.93	8802.78	1.22%
801750	计算机	23738.14	4371.64	28109.78	3.89%
801760	传媒	58020.2	1078.26	59098.46	8.17%
801770	通信	8141.8	0.0	8141.8	1.13%
801780	银行	38703.76	23230.84	61934.6	8.56%
801790	非银金融	68026.59	2885.01	70911.6	9.81%
801880	汽车	16173.11	439.93	16613.04	2.3%
801890	机械设备	19279.48	2292.08	21571.56	2.98%
