	display_name	start_date	end_date	sw1_code	sw1_name	sw2_code	sw2_name	sw3_code	sw3_name
000592.XSHE	平潭发展	1996-03-27	2200-01-01	801010	农林牧渔I	801011	林业II	850131	林业III
002679.XSHE	福建金森	2012-06-05	2200-01-01	801010	农林牧渔I	801011	林业II	850131	林业III
600265.XSHG	ST景谷	2000-08-25	2200-01-01	801010	农林牧渔I	801011	林业II	850131	林业III
000972.XSHE	ST中基	2000-09-26	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850151	果蔬加工III
300175.XSHE	朗源股份	2011-02-15	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850151	果蔬加工III
600251.XSHG	冠农股份	2003-06-09	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850151	果蔬加工III
600962.XSHG	国投中鲁	2004-06-22	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850151	果蔬加工III
000505.XSHE	京粮控股	1992-12-21	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850152	粮油加工III
002852.XSHE	道道全	2017-03-10	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850152	粮油加工III
600127.XSHG	金健米业	1998-05-06	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850152	粮油加工III
000911.XSHE	ST南糖	1999-05-27	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
000930.XSHE	中粮科技	1999-07-12	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
002286.XSHE	保龄宝	2009-08-28	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
300138.XSHE	晨光生物	2010-11-05	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
300268.XSHE	佳沃股份	2011-09-27	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
300829.XSHE	金丹科技	2020-04-22	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
600191.XSHG	华资实业	1998-12-10	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
600298.XSHG	安琪酵母	2000-08-18	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
600737.XSHG	中粮糖业	1996-07-31	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
600873.XSHG	梅花生物	1995-02-17	2200-01-01	801010	农林牧渔I	801012	农产品加工II	850154	其他农产品加工III
300021.XSHE	大禹节水	2009-10-30	2200-01-01	801010	农林牧渔I	801013	农业综合II	850161	农业综合III
000048.XSHE	京基智农	1994-11-01	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
000702.XSHE	正虹科技	1997-03-18	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
000876.XSHE	新希望	1998-03-11	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002100.XSHE	天康生物	2006-12-26	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002124.XSHE	天邦股份	2007-04-03	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002157.XSHE	正邦科技	2007-08-17	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002311.XSHE	海大集团	2009-11-27	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002385.XSHE	大北农	2010-04-09	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002548.XSHE	金新农	2011-02-18	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002567.XSHE	唐人神	2011-03-25	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
002891.XSHE	中宠股份	2017-08-21	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
300673.XSHE	佩蒂股份	2017-07-11	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
603363.XSHG	傲农生物	2017-09-26	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
603609.XSHG	禾丰牧业	2014-08-08	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
603668.XSHG	天马科技	2017-01-17	2200-01-01	801010	农林牧渔I	801014	饲料II	850141	饲料III
000798.XSHE	中水渔业	1998-02-12	2200-01-01	801010	农林牧渔I	801015	渔业II	850121	海洋捕捞III
600097.XSHG	开创国际	1997-06-19	2200-01-01	801010	农林牧渔I	801015	渔业II	850121	海洋捕捞III
002069.XSHE	獐子岛	2006-09-28	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
002086.XSHE	*ST东洋	2006-11-28	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
002696.XSHE	百洋股份	2012-09-05	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
300094.XSHE	国联水产	2010-07-08	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
600257.XSHG	大湖股份	2000-06-12	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
600275.XSHG	ST昌鱼	2000-08-10	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
600467.XSHG	好当家	2004-04-05	2200-01-01	801010	农林牧渔I	801015	渔业II	850122	水产养殖III
000713.XSHE	丰乐种业	1997-04-22	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
000998.XSHE	隆平高科	2000-12-11	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
002041.XSHE	登海种业	2005-04-18	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
300087.XSHE	荃银高科	2010-05-26	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
300189.XSHE	神农科技	2011-03-16	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
600313.XSHG	农发种业	2001-01-19	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
600354.XSHG	*ST敦种	2004-01-15	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
600371.XSHG	万向德农	2002-09-16	2200-01-01	801010	农林牧渔I	801016	种植业II	850111	种子生产III
