	date	pe	pb
0	2005-02-03	23.61	1.81
1	2005-02-04	24.11	1.84
2	2005-02-16	24.3	1.87
3	2005-02-17	24.36	1.88
4	2005-02-18	24.08	1.86
5	2005-02-21	24.49	1.89
6	2005-02-22	25.07	1.94
7	2005-02-23	25.1	1.96
8	2005-02-24	25.1	1.96
9	2005-02-25	25.2	1.96
10	2005-02-28	25.06	1.96
11	2005-03-01	24.97	1.96
12	2005-03-02	24.58	1.93
13	2005-03-03	24.73	1.94
14	2005-03-04	24.55	1.92
15	2005-03-07	24.63	1.93
16	2005-03-08	25.12	1.97
17	2005-03-09	25.2	1.97
18	2005-03-10	24.64	1.92
19	2005-03-11	24.78	1.93
20	2005-03-14	24.82	1.91
21	2005-03-15	24.42	1.89
22	2005-03-16	24.2	1.87
23	2005-03-17	23.95	1.84
24	2005-03-18	23.59	1.81
25	2005-03-21	23.68	1.81
26	2005-03-22	22.98	1.74
27	2005-03-23	22.97	1.74
28	2005-03-24	23.22	1.77
29	2005-03-25	23.2	1.76
30	2005-03-28	23.01	1.74
31	2005-03-29	22.96	1.73
32	2005-03-30	22.41	1.68
33	2005-03-31	22.56	1.7
34	2005-04-01	23.32	1.75
35	2005-04-04	22.88	1.72
36	2005-04-05	22.64	1.7
37	2005-04-06	23.0	1.73
38	2005-04-07	23.29	1.76
39	2005-04-08	23.7	1.79
40	2005-04-11	23.67	1.79
41	2005-04-12	23.29	1.75
42	2005-04-13	23.86	1.8
43	2005-04-14	23.57	1.77
44	2005-04-15	22.99	1.72
45	2005-04-18	22.68	1.69
46	2005-04-19	22.57	1.69
47	2005-04-20	22.27	1.65
48	2005-04-21	21.98	1.62
49	2005-04-22	21.83	1.58
50	2005-04-25	21.42	1.55
51	2005-04-26	21.75	1.58
52	2005-04-27	21.38	1.54
53	2005-04-28	21.77	1.58
54	2005-04-29	21.57	1.57
55	2005-05-09	20.97	1.51
56	2005-05-10	21.04	1.51
57	2005-05-11	20.87	1.51
58	2005-05-12	20.7	1.51
59	2005-05-13	20.86	1.52
60	2005-05-16	20.57	1.52
61	2005-05-17	20.81	1.54
62	2005-05-18	20.93	1.55
63	2005-05-19	20.99	1.55
64	2005-05-20	20.87	1.54
65	2005-05-23	20.24	1.49
66	2005-05-24	20.52	1.52
67	2005-05-25	20.53	1.53
68	2005-05-26	20.35	1.52
69	2005-05-27	20.16	1.51
70	2005-05-30	20.31	1.53
71	2005-05-31	20.29	1.53
72	2005-06-01	19.83	1.5
73	2005-06-02	19.54	1.49
74	2005-06-03	19.55	1.49
75	2005-06-06	19.81	1.51
76	2005-06-07	19.83	1.51
77	2005-06-08	21.36	1.63
78	2005-06-09	21.47	1.64
79	2005-06-10	21.07	1.61
80	2005-06-13	21.13	1.62
81	2005-06-14	20.83	1.59
82	2005-06-15	20.35	1.54
83	2005-06-16	20.56	1.55
84	2005-06-17	20.54	1.55
85	2005-06-20	21.15	1.6
86	2005-06-21	20.96	1.58
87	2005-06-22	21.03	1.59
88	2005-06-23	20.86	1.57
89	2005-06-24	20.93	1.58
90	2005-06-27	21.43	1.62
91	2005-06-28	21.1	1.59
92	2005-06-29	20.97	1.58
93	2005-06-30	20.47	1.54
94	2005-07-01	19.8	1.47
95	2005-07-04	19.58	1.44
96	2005-07-05	19.46	1.43
97	2005-07-06	19.34	1.42
98	2005-07-07	19.43	1.43
99	2005-07-08	18.87	1.38
100	2005-07-11	18.66	1.36
101	2005-07-12	19.27	1.41
102	2005-07-13	19.12	1.39
103	2005-07-14	19.11	1.39
104	2005-07-15	18.69	1.35
105	2005-07-18	18.2	1.31
106	2005-07-19	18.29	1.32
107	2005-07-20	18.42	1.33
108	2005-07-21	18.41	1.33
109	2005-07-22	18.77	1.36
110	2005-07-25	18.7	1.36
111	2005-07-26	19.13	1.39
112	2005-07-27	19.5	1.42
113	2005-07-28	19.43	1.42
114	2005-07-29	19.35	1.41
115	2005-08-01	19.49	1.42
116	2005-08-02	19.81	1.45
117	2005-08-03	20.03	1.47
118	2005-08-04	19.92	1.46
119	2005-08-05	20.44	1.5
120	2005-08-08	20.68	1.51
121	2005-08-09	20.87	1.54
122	2005-08-10	20.99	1.56
123	2005-08-11	21.22	1.57
124	2005-08-12	20.87	1.53
125	2005-08-15	21.34	1.57
126	2005-08-16	21.21	1.58
127	2005-08-17	21.52	1.61
128	2005-08-18	20.84	1.55
129	2005-08-19	20.68	1.54
130	2005-08-22	20.81	1.56
131	2005-08-23	20.61	1.53
132	2005-08-24	20.75	1.55
133	2005-08-25	20.88	1.57
134	2005-08-26	20.94	1.58
135	2005-08-29	20.65	1.57
136	2005-08-30	20.66	1.56
137	2005-08-31	21.0	1.59
138	2005-09-01	21.42	1.63
139	2005-09-02	21.51	1.64
140	2005-09-05	21.76	1.66
141	2005-09-06	21.3	1.62
142	2005-09-07	21.8	1.67
143	2005-09-08	21.85	1.67
144	2005-09-09	21.68	1.65
145	2005-09-12	21.79	1.66
146	2005-09-13	22.2	1.7
147	2005-09-14	22.39	1.72
148	2005-09-15	22.45	1.72
149	2005-09-16	22.46	1.72
150	2005-09-19	22.62	1.75
151	2005-09-20	22.47	1.74
152	2005-09-21	22.05	1.71
153	2005-09-22	21.45	1.64
154	2005-09-23	21.26	1.61
155	2005-09-26	21.42	1.62
156	2005-09-27	21.03	1.58
157	2005-09-28	21.02	1.58
158	2005-09-29	21.32	1.61
159	2005-09-30	21.38	1.6
160	2005-10-10	21.08	1.58
161	2005-10-11	21.4	1.61
162	2005-10-12	21.6	1.63
163	2005-10-13	21.49	1.62
164	2005-10-14	21.31	1.6
165	2005-10-17	21.26	1.6
166	2005-10-18	21.52	1.62
167	2005-10-19	21.31	1.61
168	2005-10-20	21.33	1.61
169	2005-10-21	21.45	1.62
170	2005-10-24	21.61	1.62
171	2005-10-25	21.22	1.58
172	2005-10-26	20.62	1.53
173	2005-10-27	20.42	1.51
174	2005-10-28	19.99	1.47
175	2005-10-31	20.26	1.48
176	2005-11-01	20.08	1.47
177	2005-11-02	20.4	1.5
178	2005-11-03	20.13	1.49
179	2005-11-04	20.24	1.5
180	2005-11-07	20.24	1.51
181	2005-11-08	20.33	1.52
182	2005-11-09	20.3	1.51
183	2005-11-10	19.69	1.46
184	2005-11-11	19.73	1.47
185	2005-11-14	19.72	1.48
186	2005-11-15	19.48	1.47
187	2005-11-16	19.66	1.48
188	2005-11-17	19.6	1.48
189	2005-11-18	19.99	1.51
190	2005-11-21	20.02	1.51
191	2005-11-22	19.68	1.48
192	2005-11-23	19.79	1.49
193	2005-11-24	19.89	1.5
194	2005-11-25	19.91	1.5
195	2005-11-28	19.79	1.49
196	2005-11-29	19.6	1.47
197	2005-11-30	19.65	1.48
198	2005-12-01	19.61	1.47
199	2005-12-02	19.42	1.45
200	2005-12-05	19.02	1.41
201	2005-12-06	19.08	1.42
202	2005-12-07	19.21	1.43
203	2005-12-08	19.17	1.43
204	2005-12-09	19.47	1.45
205	2005-12-12	19.54	1.46
206	2005-12-13	19.54	1.46
207	2005-12-14	19.7	1.47
