	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	35	24.6	6	1	1.66	0
1	2005-02-04	35	24.9	6	1	1.68	0
2	2005-02-16	35	25.28	6	1	1.71	0
3	2005-02-17	35	25.33	6	1	1.73	0
4	2005-02-18	35	25.15	6	1	1.71	0
5	2005-02-21	35	25.57	6	1	1.74	0
6	2005-02-22	35	26.42	6	1	1.79	0
7	2005-02-23	35	26.7	6	1	1.81	0
8	2005-02-24	35	26.86	6	1	1.83	0
9	2005-02-25	35	26.97	6	1	1.84	0
10	2005-02-28	35	27.07	6	1	1.84	0
11	2005-03-01	35	27.19	6	1	1.87	0
12	2005-03-02	35	26.69	6	1	1.83	0
13	2005-03-03	35	26.67	6	1	1.84	0
14	2005-03-04	35	26.43	6	1	1.82	0
15	2005-03-07	35	26.73	6	1	1.84	0
16	2005-03-08	35	27.99	6	1	1.86	0
17	2005-03-09	35	28.44	5	1	1.86	0
18	2005-03-10	35	28.53	5	1	1.81	0
19	2005-03-11	35	28.32	5	1	1.8	0
20	2005-03-14	35	28.22	4	2	1.78	0
21	2005-03-15	35	28.03	4	2	1.77	0
22	2005-03-16	35	27.59	4	2	1.75	0
23	2005-03-17	35	27.75	4	2	1.72	0
24	2005-03-18	35	27.31	4	2	1.69	0
25	2005-03-21	35	27.35	4	2	1.69	0
26	2005-03-22	35	25.65	4	3	1.63	0
27	2005-03-23	35	26.52	4	2	1.63	0
28	2005-03-24	35	26.27	4	3	1.66	0
29	2005-03-25	35	26.26	4	3	1.66	0
30	2005-03-28	35	25.64	4	4	1.64	0
31	2005-03-29	35	25.89	4	4	1.64	0
32	2005-03-30	35	25.12	4	4	1.59	0
33	2005-03-31	35	25.43	4	4	1.6	0
34	2005-04-01	35	26.24	4	4	1.65	0
35	2005-04-04	35	25.5	4	4	1.62	0
36	2005-04-05	35	25.09	4	4	1.6	0
37	2005-04-06	35	25.26	4	4	1.62	0
38	2005-04-07	35	25.79	4	4	1.65	0
39	2005-04-08	35	26.27	4	4	1.68	0
40	2005-04-11	35	25.67	5	4	1.72	0
41	2005-04-12	35	25.2	5	4	1.67	0
42	2005-04-13	35	25.27	5	5	1.72	0
43	2005-04-14	35	24.59	5	5	1.68	0
44	2005-04-15	35	24.69	5	5	1.65	0
45	2005-04-18	36	23.77	5	6	1.64	0
