	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	37	23.6	4	2	2.04	1
1	2005-02-04	37	23.58	4	2	2.07	1
2	2005-02-16	37	23.82	4	2	2.09	1
3	2005-02-17	37	23.74	4	2	2.1	1
4	2005-02-18	37	23.58	4	2	2.08	1
5	2005-02-21	37	23.9	4	2	2.11	1
6	2005-02-22	37	24.5	4	2	2.16	1
7	2005-02-23	37	24.57	4	2	2.18	1
8	2005-02-24	37	24.69	4	2	2.19	1
9	2005-02-25	37	25.03	4	2	2.21	1
10	2005-02-28	37	25.03	4	2	2.21	1
11	2005-03-01	37	24.16	4	3	2.2	1
12	2005-03-02	37	24.67	4	1	2.17	1
13	2005-03-03	37	24.82	4	1	2.18	1
14	2005-03-04	37	24.51	4	1	2.16	1
15	2005-03-07	37	24.6	4	1	2.17	1
16	2005-03-08	37	24.56	4	2	2.22	1
17	2005-03-09	37	25.11	4	1	2.22	1
18	2005-03-10	37	24.45	4	1	2.16	1
19	2005-03-11	37	24.56	4	1	2.17	1
20	2005-03-14	37	25.01	4	1	2.19	1
21	2005-03-15	37	24.41	4	1	2.16	1
22	2005-03-16	37	24.02	4	1	2.12	1
23	2005-03-17	37	23.78	4	1	2.09	1
24	2005-03-18	37	23.11	4	1	2.05	1
25	2005-03-21	37	23.07	4	1	2.05	1
26	2005-03-22	37	22.77	4	1	2.0	1
27	2005-03-23	37	22.84	4	1	2.0	1
28	2005-03-24	37	22.95	4	1	2.02	1
29	2005-03-25	37	22.86	4	1	2.0	1
30	2005-03-28	37	22.18	4	1	1.96	1
31	2005-03-29	37	21.98	4	1	1.95	1
32	2005-03-30	37	21.2	4	2	1.9	1
33	2005-03-31	37	21.41	4	2	1.91	1
34	2005-04-01	37	22.33	4	2	1.98	1
35	2005-04-04	37	21.99	4	2	1.95	1
36	2005-04-05	37	21.75	5	2	1.94	1
37	2005-04-06	37	22.59	5	2	2.0	1
38	2005-04-07	37	22.63	5	2	2.02	1
39	2005-04-08	37	23.01	4	3	2.06	1
40	2005-04-11	37	22.73	4	3	2.06	1
41	2005-04-12	37	22.34	4	3	2.02	1
42	2005-04-13	37	22.88	4	3	2.07	1
43	2005-04-14	37	22.58	4	3	2.05	1
44	2005-04-15	37	20.65	4	3	2.06	1
45	2005-04-18	37	19.85	4	3	2.03	1
46	2005-04-19	37	19.87	4	3	2.04	1
47	2005-04-20	37	19.09	4	4	1.91	1
48	2005-04-21	37	19.19	4	4	1.89	1
49	2005-04-22	37	19.02	4	4	1.84	1
50	2005-04-25	37	18.51	4	4	1.79	1
51	2005-04-26	37	17.7	4	4	1.79	1
52	2005-04-27	37	17.27	4	4	1.77	1
53	2005-04-28	37	17.54	6	2	1.81	1
54	2005-04-29	37	17.11	6	2	1.78	1
55	2005-05-09	37	16.41	6	2	1.72	1
56	2005-05-10	37	16.39	6	2	1.72	1
