	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	23	8.25	1	1	1.46	0
1	2005-02-04	23	8.52	1	1	1.49	0
2	2005-02-16	23	8.58	1	1	1.5	0
3	2005-02-17	23	8.53	1	1	1.5	0
4	2005-02-18	23	8.4	1	1	1.47	0
5	2005-02-21	23	8.55	1	1	1.5	0
6	2005-02-22	23	8.69	1	1	1.53	0
7	2005-02-23	23	8.6	1	1	1.51	0
8	2005-02-24	23	8.66	1	1	1.53	0
9	2005-02-25	23	8.64	1	1	1.52	0
10	2005-02-28	23	8.61	1	1	1.52	0
11	2005-03-01	23	8.5	1	1	1.49	0
12	2005-03-02	23	8.25	1	1	1.45	0
13	2005-03-03	23	8.35	1	1	1.48	0
14	2005-03-04	23	8.28	1	1	1.46	0
15	2005-03-07	23	8.31	1	1	1.47	0
16	2005-03-08	23	8.41	1	1	1.49	0
17	2005-03-09	23	8.39	1	1	1.49	0
18	2005-03-10	23	8.13	1	1	1.44	0
19	2005-03-11	23	8.17	1	1	1.45	0
20	2005-03-14	23	8.21	1	1	1.46	0
21	2005-03-15	23	8.08	1	1	1.43	0
22	2005-03-16	23	8.03	1	1	1.42	0
23	2005-03-17	23	7.86	1	1	1.39	0
24	2005-03-18	23	7.82	1	1	1.38	0
25	2005-03-21	23	7.89	1	1	1.39	0
26	2005-03-22	23	7.6	1	1	1.35	0
27	2005-03-23	23	7.52	1	1	1.34	0
28	2005-03-24	23	7.65	1	1	1.37	0
29	2005-03-25	23	7.64	1	1	1.36	0
30	2005-03-28	23	7.6	1	1	1.35	0
31	2005-03-29	23	7.6	1	1	1.35	0
32	2005-03-30	23	7.49	1	1	1.33	0
33	2005-03-31	23	7.39	1	1	1.32	0
34	2005-04-01	23	7.71	1	1	1.38	0
35	2005-04-04	23	7.51	1	1	1.35	0
36	2005-04-05	23	7.4	1	1	1.33	0
37	2005-04-06	23	7.39	1	1	1.33	0
38	2005-04-07	23	7.46	1	1	1.34	0
39	2005-04-08	23	7.54	1	1	1.35	0
40	2005-04-11	23	7.52	1	1	1.35	0
41	2005-04-12	23	7.54	1	1	1.34	0
42	2005-04-13	23	7.68	1	1	1.37	0
43	2005-04-14	23	7.61	1	1	1.35	0
44	2005-04-15	23	7.41	1	1	1.32	0
45	2005-04-18	23	7.37	1	1	1.31	0
46	2005-04-19	23	7.28	1	1	1.3	0
47	2005-04-20	23	7.27	1	1	1.31	0
48	2005-04-21	23	7.15	1	1	1.29	0
49	2005-04-22	23	7.02	1	1	1.26	0
50	2005-04-25	23	6.83	1	1	1.23	0
51	2005-04-26	23	6.9	1	1	1.21	0
52	2005-04-27	23	6.75	1	1	1.17	0
53	2005-04-28	23	6.82	1	1	1.18	0
54	2005-04-29	23	6.76	1	1	1.18	0
55	2005-05-09	23	6.68	1	1	1.18	0
