	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	53	22.72	7	1	1.9	2
1	2005-02-04	53	23.37	6	1	1.93	2
2	2005-02-16	53	23.62	6	1	1.95	2
3	2005-02-17	53	23.68	6	1	1.96	2
4	2005-02-18	53	23.02	6	2	1.94	2
5	2005-02-21	53	23.62	6	2	1.99	2
6	2005-02-22	53	24.35	6	2	2.05	2
7	2005-02-23	53	24.62	6	2	2.07	2
8	2005-02-24	53	24.7	6	2	2.08	2
9	2005-02-25	53	24.49	6	2	2.08	2
10	2005-02-28	53	24.35	5	3	2.08	2
11	2005-03-01	53	24.26	5	3	2.1	2
12	2005-03-02	53	23.7	5	3	2.05	2
13	2005-03-03	53	23.85	5	3	2.07	2
14	2005-03-04	53	23.42	5	3	2.05	2
15	2005-03-07	53	23.51	5	3	2.05	2
16	2005-03-08	53	24.19	5	3	2.11	2
17	2005-03-09	53	24.32	5	3	2.12	2
18	2005-03-10	53	23.54	5	3	2.05	2
19	2005-03-11	53	23.75	5	3	2.08	2
20	2005-03-14	53	23.9	5	3	2.08	2
21	2005-03-15	53	23.19	5	3	2.05	2
22	2005-03-16	53	22.84	5	3	2.01	2
23	2005-03-17	53	22.55	5	3	1.99	2
24	2005-03-18	53	22.16	5	3	1.94	2
25	2005-03-21	53	22.5	5	3	1.94	2
26	2005-03-22	53	22.34	5	2	1.88	2
27	2005-03-23	53	22.46	5	2	1.89	2
28	2005-03-24	53	22.44	5	2	1.91	2
29	2005-03-25	53	21.97	5	3	1.9	2
30	2005-03-28	53	22.14	5	2	1.88	2
31	2005-03-29	53	21.92	5	2	1.86	2
32	2005-03-30	53	21.25	5	2	1.78	2
33	2005-03-31	53	21.28	4	3	1.83	1
34	2005-04-01	53	22.19	4	3	1.91	1
35	2005-04-04	53	21.77	4	3	1.88	1
36	2005-04-05	53	21.68	4	3	1.87	1
37	2005-04-06	53	22.23	4	3	1.9	1
38	2005-04-07	53	22.51	4	3	1.93	1
39	2005-04-08	53	23.1	4	3	1.97	1
40	2005-04-11	53	23.05	4	3	1.97	1
41	2005-04-12	53	22.34	4	3	1.92	1
42	2005-04-13	53	22.9	4	3	1.97	1
43	2005-04-14	53	22.11	4	3	1.93	1
44	2005-04-15	53	22.03	3	3	1.87	1
45	2005-04-18	53	21.94	3	3	1.83	1
46	2005-04-19	53	21.91	3	3	1.83	1
47	2005-04-20	53	21.91	3	3	1.8	1
48	2005-04-21	53	21.57	3	3	1.76	1
49	2005-04-22	53	21.24	4	3	1.71	1
50	2005-04-25	53	20.62	4	3	1.62	2
51	2005-04-26	53	20.43	5	3	1.64	2
52	2005-04-27	53	20.07	6	3	1.62	2
