	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	48	28.94	7	0	2.12	1
1	2005-02-04	48	29.57	7	0	2.15	1
2	2005-02-16	48	29.85	7	0	2.18	1
3	2005-02-17	48	30.2	7	0	2.21	1
4	2005-02-18	48	29.61	7	0	2.17	1
5	2005-02-21	48	30.19	7	0	2.2	1
6	2005-02-22	48	31.34	7	0	2.27	1
7	2005-02-23	48	31.68	7	0	2.31	1
8	2005-02-24	48	31.75	7	0	2.31	1
9	2005-02-25	48	31.66	7	0	2.31	1
10	2005-02-28	48	31.49	6	1	2.31	1
11	2005-03-01	48	31.52	6	1	2.31	1
12	2005-03-02	48	31.09	6	1	2.26	1
13	2005-03-03	48	31.21	6	1	2.27	1
14	2005-03-04	48	30.93	6	1	2.25	1
15	2005-03-07	48	31.2	6	1	2.26	1
16	2005-03-08	48	32.08	6	1	2.32	1
17	2005-03-09	48	32.28	6	1	2.33	1
18	2005-03-10	48	31.7	6	1	2.27	1
19	2005-03-11	48	32.06	6	1	2.29	1
20	2005-03-14	48	31.76	6	1	2.27	1
21	2005-03-15	48	31.21	6	1	2.23	1
22	2005-03-16	48	30.76	6	1	2.2	1
23	2005-03-17	48	30.2	6	1	2.16	1
24	2005-03-18	48	29.16	6	1	2.09	1
25	2005-03-21	48	28.97	6	1	2.07	1
26	2005-03-22	48	28.04	6	1	2.0	1
27	2005-03-23	48	28.05	6	1	1.99	1
28	2005-03-24	48	28.48	6	1	2.03	1
29	2005-03-25	48	28.94	6	1	2.02	1
30	2005-03-28	48	28.34	6	1	1.98	1
31	2005-03-29	48	28.11	6	1	1.97	1
32	2005-03-30	48	27.13	6	1	1.9	1
33	2005-03-31	48	27.4	6	1	1.92	1
34	2005-04-01	48	28.47	6	1	1.99	1
35	2005-04-04	48	27.94	6	1	1.94	1
36	2005-04-05	48	27.6	6	1	1.92	1
37	2005-04-06	48	27.83	6	1	1.94	1
38	2005-04-07	48	28.52	6	1	1.99	1
39	2005-04-08	48	29.12	6	1	2.03	1
40	2005-04-11	48	29.02	7	1	2.05	1
41	2005-04-12	48	28.09	7	1	1.99	1
42	2005-04-13	48	28.88	7	1	2.04	1
43	2005-04-14	48	28.26	6	1	2.0	1
44	2005-04-15	48	27.73	6	0	1.93	1
45	2005-04-18	48	26.95	5	0	1.89	1
46	2005-04-19	48	27.76	5	0	1.89	1
47	2005-04-20	48	27.22	5	0	1.82	1
48	2005-04-21	48	26.23	5	0	1.76	1
49	2005-04-22	48	25.85	5	0	1.73	1
50	2005-04-25	48	26.11	5	0	1.68	1
51	2005-04-26	48	27.89	6	0	1.75	2
52	2005-04-27	48	26.75	6	0	1.69	2
53	2005-04-28	48	29.02	7	0	1.74	1
54	2005-04-29	48	28.82	7	0	1.69	1
55	2005-05-09	48	27.73	8	0	1.64	2
56	2005-05-10	48	27.69	8	0	1.64	2
57	2005-05-11	48	27.83	8	0	1.66	2
58	2005-05-12	48	27.87	8	0	1.67	2
59	2005-05-13	48	28.15	8	0	1.69	2
60	2005-05-16	48	27.82	8	0	1.68	2
61	2005-05-17	48	28.26	8	0	1.71	2
62	2005-05-18	48	28.59	8	0	1.73	2
63	2005-05-19	48	28.46	8	0	1.72	2
64	2005-05-20	48	27.98	8	0	1.68	2
65	2005-05-23	49	26.76	8	0	1.63	2
66	2005-05-24	49	27.36	8	0	1.67	2
67	2005-05-25	49	27.52	8	0	1.68	2
68	2005-05-26	49	27.41	8	0	1.68	2
69	2005-05-27	49	27.13	8	0	1.68	2
70	2005-05-30	49	27.34	8	0	1.7	2
71	2005-05-31	49	27.1	8	0	1.69	2
72	2005-06-01	49	26.43	8	0	1.65	2
73	2005-06-02	49	26.2	8	0	1.64	2
74	2005-06-03	49	26.12	8	0	1.64	2
75	2005-06-06	50	26.73	8	0	1.68	2
76	2005-06-07	50	26.86	8	0	1.69	2
77	2005-06-08	50	28.99	8	0	1.82	2
78	2005-06-09	50	29.58	8	0	1.86	2
79	2005-06-10	50	28.78	8	0	1.81	2
80	2005-06-13	50	29.03	8	0	1.82	2
81	2005-06-14	50	28.3	8	0	1.78	2
82	2005-06-15	50	27.53	8	0	1.73	2
83	2005-06-16	50	27.84	8	0	1.74	2
84	2005-06-17	50	27.66	8	0	1.73	2
85	2005-06-20	50	28.77	8	0	1.79	2
86	2005-06-21	50	28.53	8	0	1.78	2
87	2005-06-22	50	28.64	8	0	1.78	2
88	2005-06-23	50	28.16	8	0	1.75	2
89	2005-06-24	50	28.27	8	0	1.76	2
90	2005-06-27	50	29.16	8	0	1.81	2
91	2005-06-28	50	28.42	8	0	1.77	2
92	2005-06-29	50	28.23	8	0	1.76	2
93	2005-06-30	50	27.52	8	0	1.73	2
94	2005-07-01	50	26.14	8	0	1.63	2
95	2005-07-04	50	25.5	8	0	1.58	2
96	2005-07-05	50	25.19	8	0	1.56	2
97	2005-07-06	50	25.07	8	0	1.55	2
98	2005-07-07	50	25.29	8	0	1.57	2
99	2005-07-08	50	24.05	8	0	1.48	2
100	2005-07-11	50	23.68	8	0	1.45	2
101	2005-07-12	50	24.71	8	0	1.52	2
102	2005-07-13	50	24.63	8	0	1.51	2
103	2005-07-14	50	24.75	8	0	1.52	2
104	2005-07-15	50	23.92	8	0	1.46	2
105	2005-07-18	50	23.12	8	0	1.41	2
106	2005-07-19	50	23.03	8	0	1.41	2
107	2005-07-20	50	23.13	8	0	1.42	2
108	2005-07-21	50	23.05	8	0	1.42	2
109	2005-07-22	50	23.55	8	0	1.46	2
110	2005-07-25	50	23.22	8	0	1.44	2
111	2005-07-26	50	23.92	8	0	1.49	2
112	2005-07-27	50	24.68	8	0	1.53	2
113	2005-07-28	50	24.73	8	0	1.53	2
114	2005-07-29	50	24.78	8	0	1.54	2
115	2005-08-01	50	24.98	9	0	1.56	2
116	2005-08-02	50	25.58	9	0	1.59	2
117	2005-08-03	50	25.75	9	0	1.6	2
118	2005-08-04	50	25.64	9	0	1.59	2
119	2005-08-05	50	26.53	9	0	1.65	2
120	2005-08-08	50	27.07	9	0	1.67	2
121	2005-08-09	50	27.65	9	0	1.71	2
122	2005-08-10	50	28.03	9	0	1.73	2
123	2005-08-11	50	28.2	9	0	1.73	2
124	2005-08-12	50	27.64	9	0	1.66	2
125	2005-08-15	50	28.73	9	0	1.72	2
126	2005-08-16	50	28.29	8	0	1.72	2
127	2005-08-17	50	29.13	8	0	1.77	2
128	2005-08-18	50	28.1	8	0	1.7	2
129	2005-08-19	50	27.85	8	0	1.7	2
130	2005-08-22	50	28.02	8	1	1.72	2
131	2005-08-23	50	27.49	8	1	1.68	2
132	2005-08-24	50	27.99	8	1	1.71	2
133	2005-08-25	50	28.76	8	1	1.73	2
134	2005-08-26	50	30.59	8	1	1.76	2
135	2005-08-29	50	29.52	8	2	1.74	2
136	2005-08-30	50	29.51	8	2	1.72	2
137	2005-08-31	50	30.08	8	2	1.75	2
138	2005-09-01	50	30.81	8	2	1.8	2
139	2005-09-02	50	31.14	8	2	1.82	2
140	2005-09-05	50	31.6	8	2	1.85	2
141	2005-09-06	50	30.56	8	2	1.78	2
142	2005-09-07	50	31.48	8	2	1.84	2
