	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	17	24.25	2	2	1.36	0
1	2005-02-04	17	24.85	2	2	1.39	0
2	2005-02-16	17	24.95	2	2	1.4	0
3	2005-02-17	17	24.99	2	2	1.41	0
4	2005-02-18	17	24.78	2	2	1.4	0
5	2005-02-21	17	25.27	2	2	1.44	0
6	2005-02-22	17	26.25	2	2	1.5	0
7	2005-02-23	17	26.32	2	2	1.51	0
8	2005-02-24	17	26.0	2	2	1.51	0
9	2005-02-25	17	26.23	2	2	1.51	0
10	2005-02-28	17	25.89	1	3	1.49	0
11	2005-03-01	17	25.92	1	3	1.49	0
12	2005-03-02	17	25.43	1	3	1.46	0
13	2005-03-03	17	25.4	1	3	1.46	0
14	2005-03-04	17	25.28	1	3	1.45	0
15	2005-03-07	17	25.46	1	3	1.46	0
16	2005-03-08	17	26.0	1	3	1.49	0
17	2005-03-09	17	25.84	1	3	1.47	0
18	2005-03-10	17	25.1	1	3	1.45	0
19	2005-03-11	17	26.79	1	2	1.47	0
20	2005-03-14	17	26.63	1	2	1.45	0
21	2005-03-15	17	26.02	1	2	1.42	0
22	2005-03-16	17	25.7	1	2	1.4	0
23	2005-03-17	17	25.61	1	2	1.39	0
24	2005-03-18	17	26.17	1	2	1.37	0
25	2005-03-21	17	26.32	1	2	1.36	0
26	2005-03-22	17	25.51	1	2	1.31	0
27	2005-03-23	17	25.53	1	2	1.31	0
28	2005-03-24	17	25.93	1	2	1.33	0
29	2005-03-25	17	25.79	1	2	1.32	0
30	2005-03-28	17	25.65	1	2	1.31	0
31	2005-03-29	17	25.55	1	2	1.31	0
32	2005-03-30	17	24.71	1	2	1.26	0
33	2005-03-31	17	25.06	1	2	1.28	0
34	2005-04-01	17	25.97	1	2	1.33	0
35	2005-04-04	17	25.47	1	2	1.3	0
36	2005-04-05	17	25.07	1	2	1.29	0
37	2005-04-06	17	25.43	1	2	1.29	0
38	2005-04-07	17	25.84	1	2	1.32	0
39	2005-04-08	17	26.12	1	2	1.34	0
40	2005-04-11	17	26.19	1	2	1.35	0
41	2005-04-12	17	25.76	1	2	1.32	0
42	2005-04-13	17	26.84	1	2	1.37	0
43	2005-04-14	17	26.62	1	2	1.36	0
44	2005-04-15	17	25.27	1	2	1.32	0
45	2005-04-18	17	22.76	2	3	1.33	0
46	2005-04-19	17	22.27	2	3	1.33	0
47	2005-04-20	17	21.95	2	3	1.31	0
48	2005-04-21	17	24.08	1	2	1.29	0
49	2005-04-22	17	23.54	1	2	1.27	0
50	2005-04-25	17	23.24	2	1	1.26	0
51	2005-04-26	17	23.07	2	1	1.3	0
52	2005-04-27	17	22.44	2	1	1.26	0
53	2005-04-28	17	23.03	2	1	1.29	0
54	2005-04-29	17	24.26	3	1	1.28	0
55	2005-05-09	17	23.37	3	1	1.23	0
56	2005-05-10	17	23.47	3	1	1.24	0
57	2005-05-11	17	23.27	3	1	1.23	0
58	2005-05-12	17	23.26	3	1	1.23	0
59	2005-05-13	17	23.52	3	1	1.25	0
60	2005-05-16	17	23.33	3	1	1.25	0
61	2005-05-17	17	23.56	3	1	1.26	0
62	2005-05-18	17	23.8	3	1	1.28	0
63	2005-05-19	17	23.77	3	1	1.28	0
64	2005-05-20	17	23.75	3	1	1.26	0
65	2005-05-23	17	23.07	3	1	1.22	0
66	2005-05-24	17	23.45	3	1	1.26	0
67	2005-05-25	17	23.66	3	1	1.27	0
68	2005-05-26	17	23.36	3	1	1.26	0
69	2005-05-27	17	23.1	3	1	1.25	0
70	2005-05-30	17	23.38	3	1	1.26	0
71	2005-05-31	17	23.31	3	1	1.26	0
72	2005-06-01	17	22.85	3	1	1.24	0
73	2005-06-02	17	22.49	3	1	1.23	0
74	2005-06-03	17	22.52	3	1	1.22	0
75	2005-06-06	17	22.6	3	1	1.23	0
76	2005-06-07	18	22.67	3	1	1.28	0
77	2005-06-08	18	24.38	3	1	1.38	0
78	2005-06-09	18	24.74	3	1	1.4	0
79	2005-06-10	18	24.16	3	1	1.37	0
80	2005-06-13	18	24.2	3	1	1.38	0
81	2005-06-14	18	23.82	3	1	1.34	0
82	2005-06-15	18	23.43	3	1	1.32	0
83	2005-06-16	18	23.76	3	1	1.33	0
84	2005-06-17	18	23.78	3	1	1.34	0
85	2005-06-20	18	24.74	3	1	1.37	0
86	2005-06-21	18	24.63	3	1	1.36	0
87	2005-06-22	18	25.24	3	1	1.37	0
88	2005-06-23	18	24.77	3	1	1.35	0
89	2005-06-24	18	24.93	3	1	1.35	0
90	2005-06-27	18	25.82	3	1	1.4	0
91	2005-06-28	18	25.57	3	1	1.38	0
92	2005-06-29	18	25.33	3	1	1.35	0
93	2005-06-30	18	24.78	3	1	1.32	0
94	2005-07-01	18	23.36	3	1	1.25	0
95	2005-07-04	18	23.51	3	1	1.25	0
96	2005-07-05	18	23.31	3	1	1.24	0
97	2005-07-06	18	23.19	3	1	1.24	0
98	2005-07-07	18	23.36	3	1	1.23	0
99	2005-07-08	18	22.61	3	1	1.17	0
100	2005-07-11	18	22.54	3	1	1.18	0
