	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	31	22.99	6	2	1.78	0
1	2005-02-04	31	23.48	6	2	1.81	0
2	2005-02-16	31	23.61	6	2	1.83	0
3	2005-02-17	31	23.59	6	2	1.83	0
4	2005-02-18	31	23.28	6	2	1.81	0
5	2005-02-21	31	23.54	6	2	1.83	0
6	2005-02-22	31	24.2	6	2	1.88	0
7	2005-02-23	31	24.37	6	2	1.9	0
8	2005-02-24	31	24.32	6	2	1.9	0
9	2005-02-25	31	24.39	6	2	1.9	0
10	2005-02-28	31	24.3	6	2	1.88	0
11	2005-03-01	31	24.23	6	2	1.88	0
12	2005-03-02	31	24.02	6	2	1.87	0
13	2005-03-03	31	24.05	6	2	1.87	0
14	2005-03-04	31	23.91	6	2	1.86	0
15	2005-03-07	31	24.06	5	3	1.87	0
16	2005-03-08	31	24.54	5	3	1.9	0
17	2005-03-09	31	24.67	5	3	1.91	0
18	2005-03-10	31	24.53	4	3	1.87	0
19	2005-03-11	31	24.49	4	3	1.87	0
20	2005-03-14	31	24.39	4	3	1.86	0
21	2005-03-15	31	24.07	4	3	1.83	0
22	2005-03-16	31	23.88	4	3	1.81	0
23	2005-03-17	31	23.69	4	3	1.8	0
24	2005-03-18	31	23.31	4	3	1.77	0
25	2005-03-21	31	23.17	4	3	1.76	0
26	2005-03-22	31	22.28	4	3	1.72	0
27	2005-03-23	31	22.35	4	3	1.72	0
28	2005-03-24	31	22.56	4	3	1.74	0
29	2005-03-25	31	22.42	4	3	1.73	0
30	2005-03-28	31	22.34	4	3	1.74	0
31	2005-03-29	31	22.17	4	3	1.73	0
32	2005-03-30	31	22.29	3	3	1.69	0
33	2005-03-31	31	22.41	3	3	1.7	0
34	2005-04-01	31	22.99	3	3	1.75	0
35	2005-04-04	31	22.46	3	3	1.71	0
36	2005-04-05	31	22.13	3	3	1.69	0
37	2005-04-06	31	22.33	3	3	1.7	0
38	2005-04-07	31	22.75	3	3	1.74	0
39	2005-04-08	31	23.99	3	2	1.77	0
