	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	112	28.25	20	8	1.96	1
1	2005-02-04	112	28.73	20	8	1.98	1
2	2005-02-16	112	28.71	20	9	2.01	1
3	2005-02-17	112	29.04	20	8	2.02	1
4	2005-02-18	112	28.81	20	8	2.0	1
5	2005-02-21	112	29.28	20	8	2.04	1
6	2005-02-22	112	29.29	20	11	2.09	1
7	2005-02-23	112	28.93	20	13	2.11	1
8	2005-02-24	112	29.05	20	13	2.13	1
9	2005-02-25	112	29.27	21	12	2.13	1
10	2005-02-28	112	30.13	21	11	2.12	1
11	2005-03-01	112	29.64	21	12	2.12	1
12	2005-03-02	112	29.77	21	11	2.1	1
13	2005-03-03	112	29.62	21	12	2.11	1
14	2005-03-04	112	29.69	21	11	2.09	1
15	2005-03-07	112	29.72	20	12	2.09	1
16	2005-03-08	112	30.53	20	12	2.14	1
17	2005-03-09	112	30.55	20	12	2.15	1
18	2005-03-10	112	30.58	19	11	2.1	1
19	2005-03-11	112	30.87	19	11	2.12	1
20	2005-03-14	112	31.37	19	10	2.1	1
21	2005-03-15	112	31.25	19	9	2.08	1
22	2005-03-16	112	31.06	19	9	2.06	1
23	2005-03-17	112	31.01	19	8	2.03	1
24	2005-03-18	112	30.29	19	8	1.98	1
25	2005-03-21	112	30.73	19	8	1.98	1
26	2005-03-22	112	30.6	19	8	1.93	1
27	2005-03-23	112	30.48	19	8	1.92	1
28	2005-03-24	112	30.76	19	8	1.95	1
29	2005-03-25	112	30.39	20	9	1.95	1
30	2005-03-28	112	30.11	19	9	1.94	1
31	2005-03-29	112	30.19	19	9	1.93	1
32	2005-03-30	112	29.67	19	8	1.87	1
33	2005-03-31	112	29.86	19	8	1.89	1
34	2005-04-01	112	30.68	19	9	1.95	1
35	2005-04-04	112	30.41	19	8	1.92	1
36	2005-04-05	112	30.18	19	8	1.91	1
37	2005-04-06	112	30.72	19	8	1.93	1
38	2005-04-07	112	31.17	19	8	1.97	1
39	2005-04-08	112	31.61	19	9	2.02	1
40	2005-04-11	112	31.43	19	9	2.03	1
41	2005-04-12	112	31.01	19	8	1.98	1
42	2005-04-13	112	31.63	18	9	2.02	1
43	2005-04-14	112	31.55	18	8	1.99	1
44	2005-04-15	112	30.85	20	7	1.93	1
45	2005-04-18	112	30.59	19	7	1.9	1
46	2005-04-19	112	30.21	20	7	1.9	1
47	2005-04-20	112	29.66	22	6	1.86	1
48	2005-04-21	112	29.68	21	6	1.83	1
49	2005-04-22	112	29.31	21	6	1.8	1
50	2005-04-25	112	28.55	22	5	1.79	1
51	2005-04-26	112	28.9	21	7	1.82	1
52	2005-04-27	112	28.74	21	5	1.8	1
53	2005-04-28	112	29.23	20	6	1.85	1
54	2005-04-29	112	28.8	20	6	1.82	1
55	2005-05-09	112	27.87	22	6	1.81	1
56	2005-05-10	112	27.88	22	6	1.81	1
57	2005-05-11	112	27.71	22	6	1.8	1
58	2005-05-12	112	27.53	22	6	1.8	1
59	2005-05-13	112	27.88	22	6	1.82	1
60	2005-05-16	112	27.79	22	6	1.82	1
61	2005-05-17	112	28.22	22	6	1.85	1
62	2005-05-18	113	28.42	22	6	1.87	1
63	2005-05-19	113	28.32	22	6	1.87	1
64	2005-05-20	113	28.19	22	6	1.85	1
65	2005-05-23	113	27.42	22	6	1.79	1
66	2005-05-24	113	27.87	22	6	1.84	1
67	2005-05-25	113	27.52	22	6	1.83	1
68	2005-05-26	113	26.9	22	6	1.8	1
69	2005-05-27	113	26.53	22	6	1.78	1
70	2005-05-30	113	26.68	22	6	1.8	1
71	2005-05-31	113	26.63	22	6	1.8	1
72	2005-06-01	113	26.09	22	6	1.76	1
73	2005-06-02	113	25.54	22	6	1.74	1
74	2005-06-03	113	25.57	22	6	1.75	1
75	2005-06-06	113	26.03	22	6	1.77	1
76	2005-06-07	113	26.06	22	6	1.77	1
77	2005-06-08	113	28.08	22	6	1.9	1
78	2005-06-09	113	28.33	22	6	1.92	1
79	2005-06-10	113	27.49	22	6	1.87	1
80	2005-06-13	113	27.55	22	6	1.88	1
81	2005-06-14	113	26.95	22	6	1.84	1
82	2005-06-15	113	26.32	22	6	1.8	1
83	2005-06-16	113	26.62	22	6	1.81	1
84	2005-06-17	113	26.47	22	6	1.8	1
85	2005-06-20	113	27.28	22	6	1.85	1
86	2005-06-21	113	27.12	22	6	1.83	1
87	2005-06-22	113	27.3	22	6	1.85	1
88	2005-06-23	113	27.05	22	6	1.82	1
89	2005-06-24	113	27.21	22	6	1.84	1
90	2005-06-27	113	28.02	22	6	1.89	1
91	2005-06-28	113	27.58	22	6	1.86	1
92	2005-06-29	113	27.44	22	6	1.85	1
93	2005-06-30	113	26.65	22	6	1.8	1
94	2005-07-01	113	25.99	22	5	1.73	1
95	2005-07-04	113	25.7	22	5	1.69	1
96	2005-07-05	113	25.64	22	5	1.69	1
97	2005-07-06	113	25.48	22	5	1.68	1
98	2005-07-07	113	25.54	22	5	1.69	1
99	2005-07-08	113	24.71	22	5	1.63	1
100	2005-07-11	113	24.76	22	4	1.6	1
101	2005-07-12	113	25.36	22	5	1.66	1
102	2005-07-13	113	25.09	22	5	1.64	1
103	2005-07-14	113	25.21	22	5	1.65	1
104	2005-07-15	113	24.89	22	4	1.61	1
105	2005-07-18	113	24.11	22	5	1.56	1
106	2005-07-19	113	24.23	22	5	1.57	1
107	2005-07-20	113	24.44	22	5	1.58	1
108	2005-07-21	113	24.39	22	5	1.57	1
109	2005-07-22	113	24.92	22	5	1.61	1
110	2005-07-25	113	24.79	22	5	1.61	1
111	2005-07-26	113	25.33	22	5	1.64	1
112	2005-07-27	113	25.73	23	5	1.68	1
113	2005-07-28	113	25.66	23	5	1.67	1
114	2005-07-29	113	25.66	23	5	1.67	1
115	2005-08-01	113	25.38	23	7	1.68	1
116	2005-08-02	113	25.44	23	7	1.71	1
117	2005-08-03	113	25.42	23	7	1.72	1
118	2005-08-04	113	25.39	23	7	1.71	1
119	2005-08-05	113	26.03	23	7	1.76	1
120	2005-08-08	113	26.37	23	7	1.78	1
121	2005-08-09	113	26.35	24	7	1.81	1
122	2005-08-10	113	26.45	24	8	1.83	1
123	2005-08-11	113	26.87	24	8	1.86	1
124	2005-08-12	113	26.59	25	6	1.82	1
125	2005-08-15	113	27.45	25	7	1.87	1
126	2005-08-16	113	26.79	26	8	1.87	1
127	2005-08-17	113	27.42	26	7	1.91	1
128	2005-08-18	113	25.85	26	7	1.83	1
129	2005-08-19	113	25.58	26	7	1.8	1
130	2005-08-22	113	26.16	26	6	1.83	1
131	2005-08-23	113	25.93	26	6	1.81	1
132	2005-08-24	113	26.3	26	6	1.83	1
133	2005-08-25	113	26.55	26	6	1.85	1
134	2005-08-26	113	26.66	26	6	1.86	1
135	2005-08-29	113	26.43	26	6	1.84	1
136	2005-08-30	113	26.56	26	6	1.82	1
137	2005-08-31	113	27.21	26	6	1.87	1
138	2005-09-01	113	27.83	26	6	1.92	1
139	2005-09-02	113	28.02	26	6	1.93	1
140	2005-09-05	113	28.4	26	6	1.96	1
141	2005-09-06	113	27.69	26	6	1.9	1
142	2005-09-07	113	28.36	26	6	1.95	1
143	2005-09-08	113	28.46	26	6	1.96	1
144	2005-09-09	113	28.24	26	6	1.94	1
145	2005-09-12	113	28.31	26	6	1.95	1
146	2005-09-13	113	28.79	26	6	1.99	1
147	2005-09-14	113	29.05	26	6	2.01	1
148	2005-09-15	113	29.2	26	6	2.02	1
149	2005-09-16	113	29.26	26	6	2.03	1
150	2005-09-19	113	29.25	26	7	2.06	1
151	2005-09-20	113	29.02	26	7	2.05	1
152	2005-09-21	113	28.56	26	7	2.01	1
153	2005-09-22	113	27.81	26	7	1.94	1
154	2005-09-23	113	28.09	26	5	1.92	1
155	2005-09-26	113	28.25	26	5	1.93	1
156	2005-09-27	113	27.88	26	5	1.89	1
157	2005-09-28	113	27.91	26	5	1.88	1
158	2005-09-29	113	28.3	26	5	1.91	1
159	2005-09-30	113	28.24	26	5	1.9	1
160	2005-10-10	113	27.77	26	5	1.86	1
161	2005-10-11	113	28.28	26	5	1.91	1
162	2005-10-12	113	28.3	26	6	1.93	1
163	2005-10-13	113	28.31	26	6	1.92	1
164	2005-10-14	113	28.14	26	6	1.9	1
165	2005-10-17	113	28.37	26	5	1.9	1
166	2005-10-18	113	28.49	26	6	1.94	1
167	2005-10-19	113	28.05	26	7	1.93	1
168	2005-10-20	113	28.07	26	6	1.92	1
169	2005-10-21	113	28.38	26	6	1.95	1
170	2005-10-24	113	28.13	27	4	1.95	1
171	2005-10-25	113	27.14	26	6	1.91	1
172	2005-10-26	113	26.46	25	7	1.87	1
173	2005-10-27	113	26.08	26	7	1.86	1
174	2005-10-28	113	24.55	26	9	1.78	1
175	2005-10-31	113	24.87	27	8	1.77	1
176	2005-11-01	113	24.77	27	7	1.75	1
177	2005-11-02	113	24.96	27	8	1.79	1
178	2005-11-03	113	24.7	27	8	1.78	1
179	2005-11-04	113	24.89	27	8	1.79	1
180	2005-11-07	113	25.19	27	8	1.83	1
181	2005-11-08	113	25.34	27	8	1.84	1
182	2005-11-09	113	25.28	27	8	1.83	1
183	2005-11-10	113	25.18	27	6	1.77	1
184	2005-11-11	113	25.21	27	6	1.78	1
185	2005-11-14	113	24.92	27	7	1.78	1
186	2005-11-15	113	25.04	27	6	1.78	1
187	2005-11-16	113	25.05	27	6	1.79	1
188	2005-11-17	113	24.92	27	7	1.79	1
189	2005-11-18	113	25.21	27	8	1.83	1
190	2005-11-21	113	25.25	27	8	1.84	1
191	2005-11-22	113	25.07	27	7	1.81	1
192	2005-11-23	113	24.96	27	8	1.82	1
193	2005-11-24	113	25.21	27	7	1.82	1
194	2005-11-25	113	25.15	27	7	1.82	1
195	2005-11-28	113	24.9	27	7	1.81	1
196	2005-11-29	113	24.89	27	6	1.78	1
197	2005-11-30	113	24.95	27	6	1.78	1
198	2005-12-01	113	24.89	27	6	1.78	1
199	2005-12-02	113	24.63	27	6	1.75	1
200	2005-12-05	113	23.74	27	6	1.69	1
201	2005-12-06	113	23.69	27	6	1.69	1
202	2005-12-07	113	23.83	27	6	1.71	1
203	2005-12-08	113	23.75	27	6	1.7	1
204	2005-12-09	113	23.9	27	7	1.72	1
205	2005-12-12	113	24.0	27	7	1.73	1
206	2005-12-13	113	23.96	27	7	1.73	1
207	2005-12-14	113	24.49	27	6	1.75	1
208	2005-12-15	113	24.09	27	7	1.74	1
209	2005-12-16	113	24.28	27	7	1.75	1
210	2005-12-19	113	24.53	27	6	1.75	1
211	2005-12-20	113	24.48	27	6	1.75	1
212	2005-12-21	113	24.38	27	6	1.74	1
213	2005-12-22	113	24.57	27	6	1.75	1
214	2005-12-23	113	24.81	27	6	1.76	1
215	2005-12-26	113	25.02	27	6	1.78	1
216	2005-12-27	113	24.87	27	6	1.77	1
217	2005-12-28	113	24.92	27	6	1.77	1
218	2005-12-29	113	25.23	27	6	1.79	1
219	2005-12-30	113	25.0	27	6	1.77	1
220	2006-01-04	113	25.05	27	6	1.79	1
221	2006-01-05	113	25.08	27	7	1.81	1
222	2006-01-06	113	25.23	27	7	1.82	1
223	2006-01-09	113	25.49	27	7	1.84	1
224	2006-01-10	113	25.28	27	8	1.84	1
225	2006-01-11	113	25.03	27	8	1.82	1
226	2006-01-12	113	25.2	27	9	1.85	1
227	2006-01-13	113	25.49	27	8	1.86	1
228	2006-01-16	113	25.23	27	8	1.83	1
229	2006-01-17	113	25.7	27	6	1.83	1
230	2006-01-18	113	25.61	27	8	1.86	1
231	2006-01-19	113	25.68	27	8	1.87	1
232	2006-01-20	113	25.59	27	8	1.87	1
233	2006-01-23	113	25.86	27	7	1.86	1
234	2006-01-24	113	25.59	27	7	1.85	1
235	2006-01-25	113	26.09	27	5	1.84	1
236	2006-02-06	113	26.53	27	5	1.86	1
237	2006-02-07	113	26.41	27	5	1.87	1
238	2006-02-08	113	26.22	27	7	1.9	1
239	2006-02-09	113	26.14	27	6	1.88	1
240	2006-02-10	113	26.4	26	6	1.89	1
241	2006-02-13	113	26.61	26	6	1.9	1
242	2006-02-14	113	26.77	26	6	1.91	1
243	2006-02-15	113	26.53	26	6	1.9	1
244	2006-02-16	113	25.72	26	5	1.83	1
245	2006-02-17	113	25.33	26	5	1.81	1
246	2006-02-20	113	24.9	26	5	1.79	1
247	2006-02-21	113	25.2	26	5	1.8	1
248	2006-02-22	113	25.42	25	5	1.8	1
249	2006-02-23	113	25.1	25	6	1.81	1
250	2006-02-24	113	25.4	25	6	1.83	1
251	2006-02-27	113	25.23	25	6	1.81	1
252	2006-02-28	113	25.43	25	5	1.81	1
253	2006-03-01	113	25.47	25	6	1.83	1
254	2006-03-02	113	25.39	25	5	1.8	1
255	2006-03-03	113	25.41	25	5	1.8	1
256	2006-03-06	113	25.4	24	6	1.79	1
257	2006-03-07	113	24.81	24	6	1.74	1
258	2006-03-08	113	24.55	24	6	1.73	1
259	2006-03-09	113	24.67	23	6	1.73	1
260	2006-03-10	113	24.6	23	6	1.73	1
261	2006-03-13	113	24.52	23	6	1.73	1
262	2006-03-14	113	24.35	23	6	1.73	1
263	2006-03-15	113	24.29	23	7	1.74	1
264	2006-03-16	113	24.38	23	6	1.74	1
265	2006-03-17	113	24.32	23	6	1.73	1
266	2006-03-20	113	24.73	23	6	1.77	1
267	2006-03-21	113	24.74	23	6	1.77	1
268	2006-03-22	113	25.14	24	4	1.78	1
269	2006-03-23	113	25.46	24	4	1.8	1
270	2006-03-24	113	25.21	24	4	1.78	1
271	2006-03-27	113	25.36	23	5	1.8	1
272	2006-03-28	113	25.72	23	5	1.8	1
273	2006-03-29	113	26.0	23	5	1.81	1
274	2006-03-30	113	25.77	23	5	1.79	1
275	2006-03-31	113	25.76	23	6	1.8	1
276	2006-04-03	113	26.29	23	6	1.82	1
277	2006-04-04	113	26.59	22	7	1.84	1
278	2006-04-05	113	26.74	22	7	1.85	1
279	2006-04-06	113	26.63	22	7	1.85	1
280	2006-04-07	113	26.99	22	6	1.87	1
281	2006-04-10	113	27.7	21	7	1.91	1
282	2006-04-11	113	27.81	21	7	1.92	1
283	2006-04-12	113	27.51	22	8	1.92	1
284	2006-04-13	113	27.19	21	7	1.86	1
285	2006-04-14	113	27.88	21	7	1.9	1
286	2006-04-17	113	27.69	21	8	1.92	1
287	2006-04-18	113	27.35	21	8	1.91	1
288	2006-04-19	113	27.35	21	7	1.9	1
289	2006-04-20	113	26.29	21	9	1.88	1
290	2006-04-21	113	26.48	21	9	1.89	1
291	2006-04-24	113	25.82	21	8	1.83	1
292	2006-04-25	113	26.02	21	7	1.84	1
293	2006-04-26	113	26.48	21	6	1.86	1
294	2006-04-27	113	26.49	20	7	1.87	1
295	2006-04-28	113	26.51	20	7	1.88	1
296	2006-05-08	113	27.52	21	7	2.02	1
297	2006-05-09	113	28.34	21	7	2.08	1
298	2006-05-10	113	28.51	21	8	2.12	1
299	2006-05-11	113	28.16	21	8	2.1	1
300	2006-05-12	113	28.87	21	9	2.18	1
301	2006-05-15	113	30.11	21	9	2.27	1
302	2006-05-16	113	29.35	21	8	2.2	1
303	2006-05-17	113	30.15	21	8	2.25	1
304	2006-05-18	113	30.07	21	9	2.28	1
305	2006-05-19	113	30.87	21	10	2.34	1
306	2006-05-22	113	31.69	21	9	2.39	1
307	2006-05-23	113	29.84	21	9	2.28	1
308	2006-05-24	113	29.16	21	9	2.23	1
309	2006-05-25	113	29.53	21	9	2.26	1
310	2006-05-26	113	30.21	21	9	2.32	1
311	2006-05-29	113	30.92	21	9	2.37	1
312	2006-05-30	113	31.16	21	9	2.39	1
313	2006-05-31	113	30.76	21	9	2.37	1
314	2006-06-01	113	31.89	21	9	2.47	1
315	2006-06-02	113	32.1	21	9	2.5	1
