	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	89	23.96	14	3	1.67	1
1	2005-02-04	89	24.36	13	3	1.69	1
2	2005-02-16	89	24.53	13	3	1.71	1
3	2005-02-17	89	24.61	13	3	1.73	1
4	2005-02-18	89	24.3	13	3	1.71	1
5	2005-02-21	89	24.78	13	3	1.75	1
6	2005-02-22	89	25.49	13	3	1.79	1
7	2005-02-23	89	25.67	13	3	1.8	1
8	2005-02-24	89	25.7	13	3	1.81	1
9	2005-02-25	89	25.8	13	3	1.81	1
10	2005-02-28	89	25.53	13	3	1.81	1
11	2005-03-01	89	25.4	13	3	1.81	1
12	2005-03-02	89	25.28	13	3	1.79	1
13	2005-03-03	90	25.43	13	3	1.8	1
14	2005-03-04	90	25.65	13	3	1.8	1
15	2005-03-07	90	25.6	13	3	1.8	1
16	2005-03-08	90	26.55	12	3	1.84	1
17	2005-03-09	90	26.66	12	3	1.84	1
18	2005-03-10	90	25.93	12	3	1.8	1
19	2005-03-11	90	25.96	12	3	1.79	1
20	2005-03-14	90	25.89	12	3	1.76	1
21	2005-03-15	90	25.39	12	3	1.74	1
22	2005-03-16	90	25.39	12	2	1.72	1
23	2005-03-17	90	25.21	12	2	1.69	1
24	2005-03-18	90	24.94	12	2	1.66	1
25	2005-03-21	90	24.96	12	2	1.66	1
26	2005-03-22	90	23.71	11	3	1.59	1
27	2005-03-23	90	23.58	11	3	1.58	1
28	2005-03-24	90	23.63	11	4	1.61	1
29	2005-03-25	90	24.22	11	3	1.61	1
30	2005-03-28	90	24.03	11	3	1.59	1
31	2005-03-29	90	23.84	11	3	1.58	1
32	2005-03-30	90	23.3	11	3	1.53	1
33	2005-03-31	90	23.81	11	3	1.55	1
34	2005-04-01	90	24.88	11	2	1.6	1
35	2005-04-04	90	24.63	11	2	1.59	1
36	2005-04-05	90	24.33	11	2	1.57	1
37	2005-04-06	90	25.09	11	2	1.6	1
38	2005-04-07	90	25.12	11	3	1.62	1
39	2005-04-08	90	25.17	11	3	1.65	1
40	2005-04-11	90	25.07	11	3	1.65	1
41	2005-04-12	90	24.52	11	3	1.61	1
42	2005-04-13	90	25.45	11	3	1.65	1
43	2005-04-14	90	25.08	11	3	1.62	1
44	2005-04-15	90	24.58	11	3	1.58	1
45	2005-04-18	90	24.07	13	2	1.55	1
46	2005-04-19	90	24.27	13	2	1.55	1
47	2005-04-20	90	24.2	12	2	1.5	2
48	2005-04-21	90	23.82	12	2	1.46	2
49	2005-04-22	90	23.67	12	2	1.43	2
50	2005-04-25	90	22.59	14	3	1.4	2
51	2005-04-26	90	23.42	14	4	1.46	2
52	2005-04-27	90	23.25	15	4	1.43	2
53	2005-04-28	90	23.74	15	4	1.47	2
54	2005-04-29	90	23.53	17	3	1.46	2
55	2005-05-09	90	22.7	18	3	1.41	2
56	2005-05-10	90	22.95	18	2	1.41	2
57	2005-05-11	90	22.66	18	2	1.39	2
58	2005-05-12	90	22.44	18	2	1.39	2
59	2005-05-13	90	22.53	18	2	1.4	2
60	2005-05-16	90	22.23	18	2	1.39	2
61	2005-05-17	90	22.44	18	2	1.41	2
62	2005-05-18	90	22.6	18	2	1.42	2
63	2005-05-19	90	22.7	18	2	1.43	2
64	2005-05-20	90	22.65	18	2	1.42	2
65	2005-05-23	90	22.08	18	2	1.38	2
66	2005-05-24	90	22.2	18	2	1.41	2
67	2005-05-25	90	22.25	18	2	1.42	2
68	2005-05-26	90	21.78	18	3	1.41	2
69	2005-05-27	90	21.49	18	3	1.4	2
70	2005-05-30	90	21.63	18	3	1.42	2
71	2005-05-31	90	21.64	18	3	1.42	2
72	2005-06-01	90	21.18	18	3	1.4	2
73	2005-06-02	90	20.79	18	3	1.38	2
74	2005-06-03	90	20.89	18	2	1.37	2
75	2005-06-06	90	20.92	18	3	1.39	2
76	2005-06-07	90	20.9	18	3	1.39	2
77	2005-06-08	90	22.59	18	3	1.49	2
78	2005-06-09	90	22.97	18	3	1.51	2
79	2005-06-10	90	22.5	18	3	1.49	2
