	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	56	24.75	5	0	1.97	1
1	2005-02-04	56	25.24	5	0	2.0	1
2	2005-02-16	56	25.5	5	0	2.03	1
3	2005-02-17	56	25.45	5	0	2.03	1
4	2005-02-18	56	25.07	5	0	2.0	1
5	2005-02-21	56	25.52	5	0	2.04	1
6	2005-02-22	56	26.12	5	0	2.09	1
7	2005-02-23	56	26.01	5	0	2.1	1
8	2005-02-24	56	26.01	5	0	2.1	1
9	2005-02-25	56	26.02	5	0	2.1	1
10	2005-02-28	56	25.76	5	0	2.09	1
11	2005-03-01	56	25.66	5	0	2.08	1
12	2005-03-02	56	25.22	5	0	2.06	1
13	2005-03-03	56	25.42	5	0	2.08	1
14	2005-03-04	56	25.3	5	0	2.06	1
15	2005-03-07	56	25.5	5	0	2.08	1
16	2005-03-08	56	26.04	5	0	2.12	1
17	2005-03-09	56	26.01	5	0	2.12	1
18	2005-03-10	56	25.38	5	0	2.06	1
19	2005-03-11	56	25.68	5	0	2.08	1
20	2005-03-14	56	25.97	5	0	2.09	1
21	2005-03-15	56	25.35	5	0	2.06	1
22	2005-03-16	56	25.15	5	0	2.05	1
23	2005-03-17	56	25.01	5	0	2.04	1
24	2005-03-18	56	24.46	5	0	2.0	1
25	2005-03-21	56	24.93	5	0	2.02	1
26	2005-03-22	56	24.7	5	0	2.01	1
27	2005-03-23	56	24.42	5	0	1.99	1
28	2005-03-24	56	24.47	5	0	2.01	1
29	2005-03-25	57	24.58	5	0	2.03	1
30	2005-03-28	57	24.44	5	0	2.02	1
31	2005-03-29	57	24.32	5	0	2.01	1
32	2005-03-30	57	23.41	5	0	1.94	1
33	2005-03-31	57	23.46	5	0	1.97	1
34	2005-04-01	57	24.25	5	0	2.03	1
35	2005-04-04	57	23.82	5	0	2.0	1
36	2005-04-05	57	23.68	5	0	1.98	1
37	2005-04-06	57	24.34	5	0	2.04	1
38	2005-04-07	57	24.64	5	0	2.06	1
39	2005-04-08	57	25.07	5	0	2.09	1
40	2005-04-11	57	24.86	5	0	2.08	1
41	2005-04-12	57	24.5	5	0	2.05	1
42	2005-04-13	57	25.51	5	0	2.09	1
43	2005-04-14	57	25.13	5	0	2.06	1
44	2005-04-15	57	24.79	5	0	2.03	1
45	2005-04-18	57	24.61	5	0	1.99	1
46	2005-04-19	57	24.75	4	1	2.01	1
47	2005-04-20	57	24.68	4	2	1.98	1
48	2005-04-21	57	24.77	4	2	1.97	1
49	2005-04-22	57	24.74	4	2	1.96	1
50	2005-04-25	57	24.25	4	2	1.93	1
