	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	113	25.38	21	10	1.76	2
1	2005-02-04	113	25.67	21	9	1.79	2
2	2005-02-16	113	25.6	21	10	1.85	2
3	2005-02-17	113	25.65	21	10	1.87	2
4	2005-02-18	113	25.37	21	10	1.85	2
5	2005-02-21	113	25.78	21	10	1.88	2
6	2005-02-22	113	26.33	21	10	1.92	2
7	2005-02-23	113	26.58	21	10	1.94	2
8	2005-02-24	113	26.64	21	10	1.95	2
9	2005-02-25	113	26.7	21	10	1.95	2
10	2005-02-28	113	26.59	21	10	1.94	2
11	2005-03-01	113	26.09	21	11	1.93	2
12	2005-03-02	113	25.92	21	10	1.91	2
13	2005-03-03	113	25.99	21	10	1.92	2
14	2005-03-04	113	25.73	21	10	1.9	2
15	2005-03-07	113	25.69	21	10	1.9	2
16	2005-03-08	113	26.19	21	10	1.94	2
17	2005-03-09	113	26.14	21	10	1.94	2
18	2005-03-10	113	25.42	21	10	1.89	2
19	2005-03-11	113	25.55	21	10	1.89	2
20	2005-03-14	113	25.79	19	10	1.86	2
21	2005-03-15	113	26.01	19	10	1.84	2
22	2005-03-16	113	25.8	19	10	1.82	2
23	2005-03-17	113	25.22	19	10	1.78	2
24	2005-03-18	113	24.45	19	10	1.75	2
25	2005-03-21	113	24.49	18	11	1.74	2
26	2005-03-22	113	23.5	18	12	1.67	2
27	2005-03-23	113	23.63	18	12	1.67	2
28	2005-03-24	113	24.96	18	12	1.7	2
29	2005-03-25	113	24.96	18	12	1.69	2
30	2005-03-28	113	24.76	18	12	1.67	2
31	2005-03-29	113	24.63	18	12	1.66	2
32	2005-03-30	113	24.92	17	11	1.62	2
33	2005-03-31	113	24.81	17	12	1.64	2
34	2005-04-01	113	25.53	17	12	1.68	2
35	2005-04-04	113	24.55	17	13	1.65	2
36	2005-04-05	113	24.78	17	11	1.64	2
37	2005-04-06	113	24.82	17	12	1.66	2
38	2005-04-07	113	25.26	17	12	1.69	2
39	2005-04-08	113	25.64	17	12	1.71	2
40	2005-04-11	113	25.32	17	12	1.71	2
41	2005-04-12	113	24.85	18	12	1.67	2
42	2005-04-13	113	25.53	18	12	1.71	2
43	2005-04-14	113	25.19	18	11	1.68	2
44	2005-04-15	113	24.15	17	11	1.63	2
45	2005-04-18	113	23.75	17	12	1.59	3
46	2005-04-19	113	24.03	17	11	1.59	3
47	2005-04-20	113	23.14	19	11	1.56	3
48	2005-04-21	113	22.38	19	11	1.5	3
49	2005-04-22	113	22.04	18	11	1.47	3
50	2005-04-25	113	21.25	20	9	1.43	3
51	2005-04-26	113	21.64	20	9	1.48	5
52	2005-04-27	113	20.94	20	10	1.46	5
53	2005-04-28	113	20.37	20	11	1.5	4
54	2005-04-29	113	19.62	22	11	1.51	4
55	2005-05-09	113	19.03	26	8	1.52	4
56	2005-05-10	113	19.2	26	8	1.52	4
57	2005-05-11	113	19.21	26	8	1.52	4
58	2005-05-12	113	18.92	26	8	1.51	4
59	2005-05-13	113	18.7	26	8	1.51	4
60	2005-05-16	113	18.3	26	8	1.5	4
61	2005-05-17	113	18.62	26	8	1.52	4
62	2005-05-18	113	18.76	26	8	1.54	4
63	2005-05-19	113	18.97	26	8	1.55	4
64	2005-05-20	113	18.86	26	8	1.53	4
65	2005-05-23	113	18.23	26	8	1.47	4
66	2005-05-24	113	18.54	26	8	1.51	4
67	2005-05-25	113	18.61	26	8	1.53	4
68	2005-05-26	113	18.37	26	8	1.52	4
69	2005-05-27	113	18.23	26	8	1.51	4
70	2005-05-30	113	18.42	26	8	1.53	4
71	2005-05-31	113	18.38	26	8	1.53	4
72	2005-06-01	113	18.02	26	8	1.51	4
73	2005-06-02	113	17.82	26	8	1.5	4
74	2005-06-03	113	17.65	26	8	1.49	4
75	2005-06-06	113	17.86	26	8	1.51	4
76	2005-06-07	113	17.96	26	8	1.52	4
77	2005-06-08	113	19.16	26	9	1.63	4
78	2005-06-09	113	19.5	26	8	1.64	4
79	2005-06-10	113	18.94	26	9	1.61	4
80	2005-06-13	113	18.96	26	9	1.61	4
81	2005-06-14	113	18.69	26	9	1.59	4
82	2005-06-15	113	18.38	26	8	1.54	4
83	2005-06-16	113	18.34	26	9	1.54	4
84	2005-06-17	113	18.29	26	9	1.54	4
85	2005-06-20	113	18.74	26	9	1.58	4
86	2005-06-21	113	18.55	26	9	1.56	4
