	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	64	25.75	9	8	1.85	0
1	2005-02-04	64	26.56	9	8	1.89	0
2	2005-02-16	64	26.95	9	8	1.91	0
3	2005-02-17	64	26.99	9	8	1.91	0
4	2005-02-18	64	26.85	9	8	1.9	0
5	2005-02-21	64	27.22	9	8	1.93	0
6	2005-02-22	64	27.77	9	8	1.97	0
7	2005-02-23	64	28.04	9	8	2.0	0
8	2005-02-24	64	28.36	9	8	2.01	0
9	2005-02-25	64	28.29	9	8	2.01	0
10	2005-02-28	64	28.07	9	8	2.0	0
11	2005-03-01	64	28.01	9	8	2.0	0
12	2005-03-02	64	27.56	9	8	1.97	0
13	2005-03-03	64	27.72	9	8	1.98	0
14	2005-03-04	64	27.41	9	8	1.96	0
15	2005-03-07	64	27.58	9	8	1.97	0
16	2005-03-08	64	28.14	9	8	2.01	0
17	2005-03-09	64	28.26	9	8	2.01	0
18	2005-03-10	64	27.59	9	8	1.96	0
19	2005-03-11	64	27.55	9	8	1.96	0
20	2005-03-14	64	27.79	9	8	1.95	0
21	2005-03-15	64	27.28	9	8	1.92	0
22	2005-03-16	64	27.01	9	8	1.91	0
23	2005-03-17	64	26.58	9	8	1.89	0
24	2005-03-18	64	26.42	8	9	1.85	0
25	2005-03-21	64	26.46	8	9	1.85	0
26	2005-03-22	64	26.11	8	8	1.78	0
27	2005-03-23	64	26.2	8	8	1.78	0
28	2005-03-24	64	26.35	8	8	1.8	0
29	2005-03-25	64	26.29	8	8	1.79	0
30	2005-03-28	64	25.97	9	7	1.77	0
31	2005-03-29	64	25.55	9	8	1.76	0
32	2005-03-30	64	25.37	9	7	1.71	0
33	2005-03-31	64	26.55	9	7	1.73	0
34	2005-04-01	64	26.85	9	8	1.78	0
35	2005-04-04	64	26.3	9	8	1.75	0
36	2005-04-05	64	25.68	9	9	1.73	0
37	2005-04-06	64	26.07	9	9	1.75	0
38	2005-04-07	64	26.62	9	9	1.78	0
39	2005-04-08	64	27.1	9	9	1.81	0
40	2005-04-11	64	27.49	9	8	1.81	0
41	2005-04-12	64	27.01	9	9	1.76	0
42	2005-04-13	64	28.11	8	10	1.81	0
43	2005-04-14	64	27.67	8	10	1.79	0
44	2005-04-15	64	26.81	9	10	1.74	0
45	2005-04-18	64	26.8	8	9	1.7	0
46	2005-04-19	64	26.75	7	10	1.71	0
47	2005-04-20	64	26.68	7	9	1.67	0
48	2005-04-21	64	26.6	7	8	1.63	0
49	2005-04-22	64	26.7	7	7	1.59	0
50	2005-04-25	64	26.61	6	9	1.58	0
51	2005-04-26	64	27.56	6	8	1.61	0
52	2005-04-27	64	26.62	6	8	1.58	0
53	2005-04-28	64	27.06	7	7	1.62	0
54	2005-04-29	64	26.94	6	7	1.6	0
55	2005-05-09	64	25.95	5	8	1.54	0
56	2005-05-10	64	25.94	5	8	1.55	0
57	2005-05-11	64	25.69	5	8	1.54	0
58	2005-05-12	64	25.6	5	8	1.55	0
59	2005-05-13	64	25.87	5	8	1.58	0
60	2005-05-16	64	25.87	5	8	1.58	0
61	2005-05-17	64	26.08	5	8	1.6	0
62	2005-05-18	64	26.15	5	8	1.61	0
63	2005-05-19	64	26.21	5	8	1.61	0
64	2005-05-20	64	26.14	5	8	1.6	0
