	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	20	30.13	3	1	1.93	1
1	2005-02-04	20	30.42	3	2	1.96	1
2	2005-02-16	20	30.76	3	2	1.99	1
3	2005-02-17	20	30.88	3	2	2.0	1
4	2005-02-18	20	30.54	3	2	1.99	1
5	2005-02-21	20	31.05	3	2	2.02	1
6	2005-02-22	20	32.15	3	2	2.07	1
7	2005-02-23	20	32.97	3	2	2.12	1
8	2005-02-24	20	33.08	3	2	2.11	1
9	2005-02-25	20	33.07	3	2	2.1	1
10	2005-02-28	20	33.08	3	2	2.1	1
11	2005-03-01	20	33.13	3	2	2.11	1
12	2005-03-02	20	33.2	3	2	2.09	1
13	2005-03-03	20	33.6	3	2	2.1	1
14	2005-03-04	20	33.62	3	2	2.09	1
15	2005-03-07	20	33.39	3	2	2.08	1
16	2005-03-08	20	33.39	3	3	2.22	1
17	2005-03-09	20	33.8	3	3	2.24	1
18	2005-03-10	20	32.85	3	3	2.18	1
19	2005-03-11	20	32.89	3	3	2.17	1
20	2005-03-14	20	32.93	3	3	2.16	1
21	2005-03-15	20	32.67	3	3	2.15	1
22	2005-03-16	20	32.12	3	3	2.14	1
23	2005-03-17	20	31.98	3	3	2.1	1
24	2005-03-18	20	31.26	3	3	2.07	1
25	2005-03-21	20	30.93	3	3	2.05	1
26	2005-03-22	20	30.17	3	3	1.99	1
27	2005-03-23	20	30.5	3	3	2.0	1
28	2005-03-24	20	30.45	3	3	2.02	1
29	2005-03-25	20	30.23	3	3	2.01	1
30	2005-03-28	20	30.75	2	4	1.99	1
31	2005-03-29	20	30.03	2	4	1.98	1
32	2005-03-30	20	30.21	2	3	1.9	1
33	2005-03-31	20	30.72	2	3	1.93	1
34	2005-04-01	20	31.93	2	3	1.99	1
35	2005-04-04	20	31.6	2	3	1.97	1
36	2005-04-05	20	31.74	2	3	1.99	1
37	2005-04-06	20	32.24	2	3	2.01	1
38	2005-04-07	20	30.83	2	4	2.03	1
39	2005-04-08	20	31.34	2	4	2.06	1
40	2005-04-11	20	31.18	2	4	2.05	1
41	2005-04-12	20	32.18	2	3	2.0	1
42	2005-04-13	20	31.52	2	4	2.06	1
43	2005-04-14	20	32.65	2	3	2.04	1
44	2005-04-15	20	32.6	2	3	2.02	1
45	2005-04-18	20	31.64	2	3	1.92	1
46	2005-04-19	20	31.55	2	3	1.91	1
47	2005-04-20	20	30.94	2	3	1.85	1
48	2005-04-21	20	28.77	1	3	1.78	1
49	2005-04-22	20	31.84	1	3	1.74	1
50	2005-04-25	20	31.28	2	2	1.69	1
51	2005-04-26	20	31.05	3	2	1.68	1
52	2005-04-27	20	30.51	3	2	1.64	1
53	2005-04-28	20	31.59	3	2	1.69	1
54	2005-04-29	20	28.95	5	2	1.72	1
55	2005-05-09	20	27.29	5	2	1.62	1
56	2005-05-10	20	26.93	5	2	1.61	1
57	2005-05-11	20	26.54	5	2	1.59	1
58	2005-05-12	20	26.54	5	2	1.6	1
59	2005-05-13	20	27.09	5	2	1.63	1
60	2005-05-16	20	27.07	5	2	1.63	1
61	2005-05-17	20	27.24	5	2	1.64	1
62	2005-05-18	20	27.38	5	2	1.64	1
63	2005-05-19	20	27.33	5	2	1.65	1
64	2005-05-20	20	27.09	5	2	1.63	1
65	2005-05-23	20	26.0	5	2	1.56	1
66	2005-05-24	20	26.72	5	2	1.61	1
67	2005-05-25	20	27.08	5	2	1.64	1
68	2005-05-26	20	27.24	5	2	1.65	1
69	2005-05-27	20	27.36	5	2	1.66	1
70	2005-05-30	20	27.48	5	2	1.67	1
71	2005-05-31	20	27.64	5	2	1.68	1
72	2005-06-01	20	27.42	5	2	1.67	1
73	2005-06-02	20	26.68	5	2	1.64	1
74	2005-06-03	20	26.2	5	2	1.62	1
75	2005-06-06	20	26.3	5	2	1.63	1
76	2005-06-07	20	26.46	5	2	1.64	1
77	2005-06-08	20	28.48	5	2	1.76	1
78	2005-06-09	20	28.89	5	2	1.77	1
79	2005-06-10	20	28.14	5	2	1.73	1
80	2005-06-13	20	28.16	5	2	1.74	1
81	2005-06-14	20	27.5	5	2	1.7	1
82	2005-06-15	20	26.43	5	2	1.63	1
83	2005-06-16	20	26.97	5	2	1.66	1
84	2005-06-17	20	26.85	5	2	1.66	1
85	2005-06-20	20	27.68	5	2	1.71	1
86	2005-06-21	20	25.91	5	3	1.71	1
87	2005-06-22	20	25.96	5	3	1.71	1
88	2005-06-23	20	27.33	5	2	1.69	1
89	2005-06-24	20	27.46	5	2	1.69	1
90	2005-06-27	20	28.37	5	2	1.74	1
91	2005-06-28	20	27.96	5	2	1.7	1
92	2005-06-29	20	27.62	5	2	1.69	1
93	2005-06-30	20	26.72	5	2	1.63	1
94	2005-07-01	20	25.33	5	2	1.54	1
95	2005-07-04	20	25.35	5	2	1.52	1
96	2005-07-05	20	25.1	5	2	1.5	1
97	2005-07-06	20	25.12	5	2	1.49	1
98	2005-07-07	20	25.43	5	2	1.5	1
99	2005-07-08	20	24.41	5	2	1.44	1
100	2005-07-11	20	24.17	5	2	1.42	1
101	2005-07-12	20	24.88	5	2	1.46	1
102	2005-07-13	20	24.51	5	2	1.45	1
103	2005-07-14	20	24.5	5	2	1.46	1
104	2005-07-15	20	23.85	5	2	1.41	1
105	2005-07-18	20	23.0	5	2	1.36	1
106	2005-07-19	20	23.38	5	2	1.4	1
107	2005-07-20	20	23.59	5	2	1.41	1
108	2005-07-21	20	23.69	5	2	1.41	1
109	2005-07-22	20	24.27	5	2	1.45	1
110	2005-07-25	20	23.98	5	2	1.44	1
111	2005-07-26	20	24.58	5	2	1.47	1
112	2005-07-27	20	25.14	5	2	1.5	1
113	2005-07-28	20	25.31	5	2	1.51	1
114	2005-07-29	20	25.14	5	2	1.49	1
115	2005-08-01	20	25.75	5	2	1.49	1
116	2005-08-02	20	25.26	5	2	1.51	1
117	2005-08-03	20	25.62	5	2	1.54	1
118	2005-08-04	20	25.33	5	2	1.52	1
119	2005-08-05	20	26.33	5	2	1.58	1
120	2005-08-08	20	26.54	5	2	1.59	1
121	2005-08-09	20	27.12	5	2	1.63	1
122	2005-08-10	20	25.61	5	3	1.65	1
123	2005-08-11	20	25.8	5	3	1.66	1
124	2005-08-12	20	25.38	5	3	1.64	1
125	2005-08-15	20	26.35	5	3	1.7	1
126	2005-08-16	20	26.46	5	3	1.69	1
127	2005-08-17	20	26.99	5	3	1.73	1
128	2005-08-18	20	27.49	5	2	1.66	1
129	2005-08-19	20	27.29	5	2	1.65	1
130	2005-08-22	20	28.09	5	2	1.69	1
131	2005-08-23	20	27.47	5	2	1.65	1
132	2005-08-24	20	27.72	5	2	1.67	1
133	2005-08-25	20	27.41	5	3	1.71	1
134	2005-08-26	20	27.92	5	3	1.74	1
135	2005-08-29	20	29.08	5	2	1.72	1
136	2005-08-30	20	29.05	5	2	1.73	1
137	2005-08-31	20	29.53	5	2	1.75	1
138	2005-09-01	20	30.62	5	2	1.81	1
139	2005-09-02	20	31.02	5	2	1.83	1
140	2005-09-05	20	31.13	5	2	1.85	1
141	2005-09-06	20	30.1	5	2	1.78	1
142	2005-09-07	20	31.39	5	2	1.86	1
143	2005-09-08	20	30.96	5	2	1.86	1
144	2005-09-09	20	30.61	5	2	1.85	1
145	2005-09-12	20	30.91	5	2	1.86	1
146	2005-09-13	20	31.68	5	2	1.91	1
147	2005-09-14	20	31.95	5	2	1.92	1
148	2005-09-15	20	31.88	5	2	1.92	1
149	2005-09-16	20	31.87	5	2	1.92	1
150	2005-09-19	20	32.19	5	2	1.96	1
151	2005-09-20	20	32.0	5	2	1.94	1
152	2005-09-21	20	31.35	5	2	1.89	1
153	2005-09-22	20	30.47	5	2	1.83	1
154	2005-09-23	20	30.44	5	2	1.81	1
155	2005-09-26	20	30.79	5	2	1.83	1
156	2005-09-27	20	30.42	5	2	1.82	1
157	2005-09-28	20	29.98	5	2	1.79	1
158	2005-09-29	20	30.42	5	2	1.81	1
159	2005-09-30	20	29.92	5	2	1.77	1
160	2005-10-10	20	28.87	5	2	1.7	1
161	2005-10-11	20	29.39	5	2	1.73	1
162	2005-10-12	20	29.95	5	2	1.76	1
163	2005-10-13	20	29.73	5	2	1.74	1
164	2005-10-14	20	29.39	5	2	1.71	1
165	2005-10-17	20	29.47	5	2	1.7	1
166	2005-10-18	20	30.03	5	2	1.74	1
167	2005-10-19	20	29.77	5	2	1.73	1
168	2005-10-20	20	29.91	5	2	1.72	1
169	2005-10-21	20	29.89	5	2	1.72	1
170	2005-10-24	20	30.32	5	2	1.73	1
171	2005-10-25	20	31.6	5	1	1.68	1
172	2005-10-26	20	30.0	5	1	1.61	1
173	2005-10-27	20	29.84	5	1	1.58	1
174	2005-10-28	20	30.12	5	1	1.57	1
175	2005-10-31	20	30.06	5	1	1.58	1
176	2005-11-01	20	29.86	5	1	1.57	1
177	2005-11-02	20	30.42	5	1	1.6	1
178	2005-11-03	20	29.32	5	1	1.57	1
179	2005-11-04	20	29.66	5	1	1.59	1
180	2005-11-07	20	29.77	5	1	1.6	1
181	2005-11-08	20	30.09	5	1	1.62	1
182	2005-11-09	20	30.0	5	1	1.61	1
183	2005-11-10	20	28.99	5	1	1.56	1
184	2005-11-11	20	29.32	5	1	1.58	1
185	2005-11-14	20	29.65	5	1	1.6	1
186	2005-11-15	20	29.44	5	1	1.59	1
187	2005-11-16	20	29.53	5	1	1.59	1
