	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	25	24.0	6	2	1.52	1
1	2005-02-04	25	24.39	6	2	1.53	1
2	2005-02-16	25	24.75	6	2	1.56	1
3	2005-02-17	25	25.1	6	2	1.58	1
4	2005-02-18	25	25.1	6	2	1.57	1
5	2005-02-21	25	25.58	6	2	1.6	1
6	2005-02-22	25	26.23	6	2	1.64	1
7	2005-02-23	25	25.23	6	3	1.65	1
8	2005-02-24	25	25.25	6	3	1.66	1
9	2005-02-25	25	25.24	6	3	1.66	1
10	2005-02-28	25	25.14	6	3	1.67	1
11	2005-03-01	25	24.83	6	3	1.69	1
12	2005-03-02	25	24.23	6	3	1.65	1
13	2005-03-03	25	24.51	6	3	1.66	1
14	2005-03-04	25	24.2	6	3	1.64	1
15	2005-03-07	25	24.25	6	3	1.63	1
16	2005-03-08	25	24.65	6	3	1.66	1
17	2005-03-09	25	24.83	6	3	1.67	1
18	2005-03-10	25	24.09	6	3	1.64	1
19	2005-03-11	25	24.15	6	3	1.63	1
20	2005-03-14	25	23.92	6	3	1.6	1
21	2005-03-15	25	23.52	6	3	1.6	1
22	2005-03-16	25	23.18	6	3	1.58	1
23	2005-03-17	25	24.05	6	2	1.55	1
24	2005-03-18	25	23.68	6	2	1.52	1
25	2005-03-21	25	23.61	6	2	1.51	1
26	2005-03-22	25	22.7	6	2	1.44	1
27	2005-03-23	25	22.65	6	2	1.46	1
28	2005-03-24	25	22.97	6	2	1.48	1
29	2005-03-25	25	22.87	6	2	1.47	1
30	2005-03-28	25	22.47	6	2	1.44	1
31	2005-03-29	25	22.28	6	2	1.44	1
32	2005-03-30	25	21.4	6	2	1.38	1
33	2005-03-31	25	21.37	6	3	1.39	1
34	2005-04-01	25	22.2	6	3	1.44	1
35	2005-04-04	25	22.8	6	2	1.4	1
36	2005-04-05	25	22.32	7	2	1.42	1
37	2005-04-06	25	23.8	8	2	1.5	1
38	2005-04-07	25	22.9	8	3	1.52	1
39	2005-04-08	25	23.29	8	3	1.54	1
40	2005-04-11	25	23.1	8	3	1.53	1
41	2005-04-12	26	23.31	8	3	1.53	1
42	2005-04-13	26	24.08	8	3	1.57	1
43	2005-04-14	26	25.1	8	2	1.55	1
44	2005-04-15	26	24.69	8	2	1.5	1
45	2005-04-18	26	23.94	7	3	1.47	1
46	2005-04-19	26	23.4	7	3	1.47	1
47	2005-04-20	26	24.87	7	3	1.45	1
48	2005-04-21	26	22.9	7	4	1.41	1
49	2005-04-22	26	22.71	7	4	1.39	1
50	2005-04-25	26	23.26	6	4	1.36	1
51	2005-04-26	26	23.35	6	4	1.39	1
52	2005-04-27	26	23.17	7	3	1.37	1
53	2005-04-28	26	23.75	7	3	1.46	1
54	2005-04-29	26	23.63	7	3	1.45	1
55	2005-05-09	26	22.72	7	3	1.35	1
56	2005-05-10	26	22.82	7	3	1.36	1
57	2005-05-11	26	22.64	7	3	1.35	1
58	2005-05-12	26	22.65	7	3	1.35	1
59	2005-05-13	26	22.8	7	3	1.36	1
60	2005-05-16	26	22.63	7	3	1.36	1
61	2005-05-17	26	23.05	7	3	1.38	1
62	2005-05-18	26	23.13	7	3	1.4	1
63	2005-05-19	26	23.1	7	3	1.4	1
64	2005-05-20	26	23.04	7	3	1.39	1
65	2005-05-23	26	22.24	7	3	1.34	1
66	2005-05-24	26	22.65	7	3	1.37	1
67	2005-05-25	26	22.67	7	3	1.38	1
68	2005-05-26	26	22.61	7	3	1.38	1
69	2005-05-27	26	22.57	7	3	1.38	1
70	2005-05-30	26	22.85	7	3	1.4	1
71	2005-05-31	27	22.76	7	3	1.43	1
72	2005-06-01	27	22.29	7	3	1.4	1
73	2005-06-02	27	21.92	7	3	1.4	1
74	2005-06-03	27	21.98	7	3	1.4	1
75	2005-06-06	27	22.24	7	3	1.41	1
76	2005-06-07	27	22.25	7	3	1.41	1
77	2005-06-08	27	23.94	7	3	1.51	1
78	2005-06-09	27	24.13	7	3	1.54	1
79	2005-06-10	27	23.79	7	3	1.51	1
80	2005-06-13	27	23.85	7	3	1.51	1
81	2005-06-14	27	23.29	7	3	1.48	1
82	2005-06-15	27	22.79	7	3	1.43	1
83	2005-06-16	27	23.07	7	3	1.44	1
84	2005-06-17	27	23.01	7	3	1.44	1
85	2005-06-20	27	23.74	7	3	1.48	1
86	2005-06-21	27	23.44	7	3	1.46	1
87	2005-06-22	27	23.5	7	3	1.47	1
88	2005-06-23	27	23.3	7	3	1.45	1
89	2005-06-24	27	23.6	7	3	1.47	1
90	2005-06-27	27	24.42	7	3	1.51	1
91	2005-06-28	27	24.09	7	3	1.48	1
92	2005-06-29	27	24.02	7	3	1.47	1
93	2005-06-30	27	23.37	7	3	1.45	1
94	2005-07-01	27	22.74	7	3	1.4	1
95	2005-07-04	27	22.32	7	3	1.37	1
96	2005-07-05	27	22.06	7	3	1.36	1
97	2005-07-06	27	21.75	7	3	1.35	1
98	2005-07-07	27	21.82	7	3	1.36	1
99	2005-07-08	27	21.09	7	3	1.31	1
100	2005-07-11	27	20.8	7	3	1.28	1
101	2005-07-12	27	21.55	7	3	1.33	1
102	2005-07-13	27	21.29	7	3	1.31	1
103	2005-07-14	27	21.12	7	3	1.31	1
104	2005-07-15	27	21.65	7	2	1.26	1
105	2005-07-18	27	21.07	7	2	1.22	1
106	2005-07-19	27	20.24	7	3	1.23	1
107	2005-07-20	27	20.41	7	3	1.24	1
108	2005-07-21	27	21.21	7	2	1.24	1
109	2005-07-22	27	20.81	7	3	1.27	1
110	2005-07-25	27	20.62	7	3	1.26	1
111	2005-07-26	27	20.95	7	3	1.29	1
112	2005-07-27	27	21.31	7	3	1.32	1
113	2005-07-28	27	21.21	7	3	1.31	1
114	2005-07-29	27	21.05	7	3	1.3	1
115	2005-08-01	27	21.14	7	3	1.32	1
116	2005-08-02	27	21.51	7	3	1.35	1
117	2005-08-03	27	21.75	7	3	1.37	1
118	2005-08-04	27	21.64	7	3	1.37	1
119	2005-08-05	27	22.2	7	3	1.4	1
120	2005-08-08	27	22.61	8	2	1.41	1
121	2005-08-09	27	22.95	8	2	1.44	1
122	2005-08-10	27	23.24	8	2	1.44	1
123	2005-08-11	27	23.49	8	2	1.45	1
124	2005-08-12	27	22.99	8	2	1.41	1
125	2005-08-15	27	23.86	9	1	1.45	1
