	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	37	25.76	4	3	2.28	0
1	2005-02-04	37	25.84	4	3	2.32	0
2	2005-02-16	37	26.23	4	3	2.35	0
3	2005-02-17	37	26.35	4	3	2.37	0
4	2005-02-18	37	25.87	4	3	2.33	0
5	2005-02-21	37	26.48	4	3	2.39	0
6	2005-02-22	37	27.59	4	3	2.48	0
7	2005-02-23	37	27.96	4	3	2.51	0
8	2005-02-24	37	27.27	4	4	2.52	0
9	2005-02-25	37	27.38	4	4	2.53	0
10	2005-02-28	37	27.22	4	4	2.53	0
11	2005-03-01	37	27.24	4	4	2.53	0
12	2005-03-02	37	26.84	4	4	2.5	0
13	2005-03-03	37	27.25	4	3	2.49	0
14	2005-03-04	37	27.38	4	3	2.46	0
15	2005-03-07	37	26.8	4	4	2.47	0
16	2005-03-08	37	27.44	4	4	2.56	0
17	2005-03-09	37	28.27	4	3	2.57	0
18	2005-03-10	37	27.4	4	3	2.5	0
19	2005-03-11	37	27.41	4	3	2.5	0
20	2005-03-14	37	27.04	4	3	2.46	0
21	2005-03-15	37	26.78	4	3	2.41	0
22	2005-03-16	37	26.87	4	3	2.38	0
23	2005-03-17	37	26.34	4	3	2.33	0
24	2005-03-18	37	25.79	4	3	2.29	0
25	2005-03-21	37	25.73	4	3	2.28	0
26	2005-03-22	37	24.73	4	3	2.23	0
27	2005-03-23	37	24.68	4	3	2.22	0
28	2005-03-24	37	24.88	4	3	2.24	0
29	2005-03-25	37	24.69	4	3	2.23	0
30	2005-03-28	37	24.08	3	4	2.21	0
31	2005-03-29	37	23.84	3	4	2.19	0
32	2005-03-30	37	22.99	3	4	2.11	0
33	2005-03-31	37	23.14	3	4	2.13	0
34	2005-04-01	37	24.07	3	4	2.2	0
35	2005-04-04	37	23.56	3	4	2.15	0
36	2005-04-05	37	23.23	3	4	2.12	0
37	2005-04-06	37	23.64	2	5	2.15	0
38	2005-04-07	37	24.03	2	5	2.19	0
39	2005-04-08	37	24.51	2	5	2.23	0
40	2005-04-11	37	25.0	2	5	2.25	0
41	2005-04-12	37	24.18	2	5	2.18	0
42	2005-04-13	37	24.93	2	5	2.25	0
43	2005-04-14	37	24.53	2	5	2.21	0
44	2005-04-15	37	23.96	2	5	2.15	0
45	2005-04-18	37	24.0	3	5	2.11	0
46	2005-04-19	37	22.93	3	6	2.08	0
47	2005-04-20	37	22.52	2	7	2.05	0
48	2005-04-21	37	22.2	2	7	2.01	0
49	2005-04-22	37	22.54	2	8	1.96	0
50	2005-04-25	37	22.26	2	7	1.89	0
51	2005-04-26	37	22.85	2	7	1.92	0
52	2005-04-27	37	22.54	2	7	1.88	0
53	2005-04-28	37	22.72	4	5	1.92	0
54	2005-04-29	37	22.48	4	5	1.89	0
55	2005-05-09	37	21.78	3	5	1.8	0
56	2005-05-10	37	21.61	3	5	1.78	0
57	2005-05-11	37	21.41	3	5	1.77	0
58	2005-05-12	37	21.4	3	5	1.78	0
59	2005-05-13	37	21.43	3	5	1.8	0
60	2005-05-16	37	21.08	3	5	1.78	0
61	2005-05-17	37	21.34	3	5	1.8	0
62	2005-05-18	37	21.53	3	5	1.81	0
63	2005-05-19	37	21.66	3	5	1.83	0
64	2005-05-20	37	21.46	3	5	1.81	0
65	2005-05-23	37	20.71	3	5	1.74	0
66	2005-05-24	37	21.13	3	5	1.78	0
67	2005-05-25	37	21.15	3	5	1.79	0
68	2005-05-26	37	21.04	3	5	1.79	0
69	2005-05-27	37	20.93	3	5	1.79	0
70	2005-05-30	37	20.98	3	5	1.8	0
71	2005-05-31	37	20.97	3	5	1.81	0
72	2005-06-01	37	20.46	3	5	1.77	0
73	2005-06-02	37	20.2	3	5	1.76	0
74	2005-06-03	37	20.1	3	5	1.75	0
75	2005-06-06	37	20.51	3	5	1.78	0
76	2005-06-07	37	20.59	3	5	1.79	0
77	2005-06-08	37	22.33	3	5	1.93	0
78	2005-06-09	37	22.67	3	5	1.96	0
79	2005-06-10	37	22.34	3	5	1.93	0
80	2005-06-13	37	22.49	3	5	1.95	0
81	2005-06-14	37	22.0	3	5	1.9	0
82	2005-06-15	37	21.55	3	5	1.86	0
83	2005-06-16	37	21.83	3	5	1.87	0
84	2005-06-17	37	21.71	3	5	1.86	0
85	2005-06-20	37	22.48	3	5	1.92	0
86	2005-06-21	37	22.24	3	5	1.9	0
87	2005-06-22	37	22.39	3	5	1.91	0
88	2005-06-23	37	22.0	3	5	1.89	0
89	2005-06-24	37	22.19	3	5	1.9	0
90	2005-06-27	37	22.89	3	5	1.95	0
91	2005-06-28	37	22.45	3	5	1.91	0
92	2005-06-29	37	22.64	3	5	1.92	0
93	2005-06-30	37	22.01	3	5	1.87	0
94	2005-07-01	37	21.25	3	5	1.79	0
95	2005-07-04	37	21.01	3	5	1.75	0
96	2005-07-05	37	20.79	3	5	1.74	0
97	2005-07-06	37	20.79	3	5	1.74	0
98	2005-07-07	37	20.82	3	5	1.75	0
99	2005-07-08	37	20.15	3	5	1.69	0
100	2005-07-11	37	20.01	3	5	1.68	0
101	2005-07-12	37	20.75	3	5	1.74	0
102	2005-07-13	37	20.52	3	5	1.72	0
103	2005-07-14	37	20.52	3	5	1.71	0
104	2005-07-15	37	19.85	3	5	1.65	0
105	2005-07-18	37	19.15	3	5	1.59	0
106	2005-07-19	37	19.2	3	5	1.59	0
107	2005-07-20	37	19.26	3	5	1.61	0
108	2005-07-21	37	19.26	3	5	1.6	0
109	2005-07-22	37	19.7	3	5	1.65	0
110	2005-07-25	37	19.61	3	5	1.64	0
111	2005-07-26	37	20.02	3	5	1.69	0
112	2005-07-27	37	20.67	3	5	1.72	0
113	2005-07-28	37	20.58	3	5	1.71	0
114	2005-07-29	37	20.41	3	5	1.7	0
115	2005-08-01	37	20.49	3	5	1.7	0
116	2005-08-02	37	20.87	3	5	1.74	0
117	2005-08-03	37	21.0	3	5	1.76	0
118	2005-08-04	37	20.89	3	5	1.75	0
119	2005-08-05	37	22.1	3	4	1.79	0
