	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	32	32.03	5	4	1.63	1
1	2005-02-04	32	32.79	5	4	1.66	1
2	2005-02-16	32	33.36	5	4	1.68	1
3	2005-02-17	32	33.55	5	4	1.7	1
4	2005-02-18	32	33.21	5	4	1.69	1
5	2005-02-21	32	33.82	5	4	1.72	1
6	2005-02-22	32	34.83	5	4	1.77	1
7	2005-02-23	32	35.39	5	4	1.79	1
8	2005-02-24	32	35.61	5	4	1.8	1
9	2005-02-25	32	35.6	5	4	1.8	1
10	2005-02-28	32	35.81	5	4	1.79	1
11	2005-03-01	32	35.79	5	4	1.8	1
12	2005-03-02	32	35.33	5	4	1.77	1
13	2005-03-03	32	35.66	5	4	1.78	1
14	2005-03-04	32	35.35	5	4	1.77	1
15	2005-03-07	32	35.47	5	4	1.77	1
16	2005-03-08	32	37.79	5	4	1.82	1
17	2005-03-09	32	38.5	5	4	1.84	1
18	2005-03-10	32	37.57	5	4	1.79	1
19	2005-03-11	32	37.77	5	4	1.79	1
20	2005-03-14	32	38.81	5	3	1.78	1
21	2005-03-15	32	38.29	5	3	1.76	1
22	2005-03-16	32	37.6	5	3	1.74	1
23	2005-03-17	32	37.14	5	3	1.72	1
24	2005-03-18	32	36.91	5	3	1.69	1
25	2005-03-21	32	37.01	5	3	1.68	1
26	2005-03-22	32	35.84	5	3	1.62	1
27	2005-03-23	32	35.99	5	3	1.62	1
28	2005-03-24	32	36.51	5	3	1.66	1
29	2005-03-25	32	36.34	5	3	1.66	1
30	2005-03-28	32	36.1	5	3	1.65	1
31	2005-03-29	32	37.11	5	3	1.64	1
32	2005-03-30	32	35.88	5	3	1.57	1
33	2005-03-31	32	36.27	5	3	1.6	1
34	2005-04-01	32	37.35	6	2	1.65	1
35	2005-04-04	32	36.69	6	2	1.61	1
36	2005-04-05	32	36.31	6	2	1.6	1
37	2005-04-06	32	37.66	7	1	1.63	1
38	2005-04-07	32	38.45	7	1	1.67	1
39	2005-04-08	32	39.12	7	1	1.69	1
40	2005-04-11	32	39.08	6	2	1.69	1
41	2005-04-12	32	38.55	6	2	1.64	1
42	2005-04-13	32	39.91	5	2	1.69	1
43	2005-04-14	32	39.38	5	2	1.67	1
44	2005-04-15	32	38.05	5	2	1.63	1
45	2005-04-18	32	36.31	6	2	1.59	1
46	2005-04-19	32	36.03	6	2	1.58	1
47	2005-04-20	32	34.58	6	3	1.54	1
48	2005-04-21	32	34.19	7	2	1.52	1
49	2005-04-22	32	33.83	7	2	1.5	1
50	2005-04-25	32	32.58	7	2	1.45	1
51	2005-04-26	32	32.88	6	3	1.47	1
52	2005-04-27	32	32.1	7	2	1.44	1
53	2005-04-28	32	32.92	7	2	1.48	1
54	2005-04-29	32	33.13	7	2	1.46	1
55	2005-05-09	32	32.52	7	1	1.4	1
56	2005-05-10	32	32.53	7	1	1.39	1
57	2005-05-11	32	32.56	7	1	1.4	1
58	2005-05-12	32	32.55	7	1	1.4	1
59	2005-05-13	32	32.87	7	1	1.43	1
60	2005-05-16	32	32.43	7	1	1.42	1
61	2005-05-17	32	32.71	7	1	1.43	1
62	2005-05-18	32	32.93	7	1	1.44	1
63	2005-05-19	32	33.2	7	1	1.46	1
64	2005-05-20	32	33.04	7	1	1.45	1
65	2005-05-23	32	32.2	7	1	1.4	1
66	2005-05-24	32	32.72	7	1	1.44	1
