	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	29	33.72	4	1	2.41	1
1	2005-02-04	29	34.38	4	1	2.46	1
2	2005-02-16	29	34.78	4	1	2.49	1
3	2005-02-17	29	34.9	4	1	2.5	1
4	2005-02-18	29	34.24	4	1	2.44	1
5	2005-02-21	29	34.8	4	1	2.48	1
6	2005-02-22	29	35.84	4	1	2.55	1
7	2005-02-23	29	36.42	4	1	2.6	1
8	2005-02-24	29	36.69	4	1	2.61	1
9	2005-02-25	29	36.73	4	1	2.61	1
10	2005-02-28	29	36.71	4	1	2.6	1
11	2005-03-01	29	36.55	4	1	2.59	1
12	2005-03-02	29	35.13	4	2	2.54	1
13	2005-03-03	29	35.46	4	2	2.57	1
14	2005-03-04	29	35.36	4	2	2.55	1
15	2005-03-07	29	35.58	4	2	2.56	1
16	2005-03-08	29	36.37	4	2	2.62	1
17	2005-03-09	29	36.86	4	2	2.65	1
18	2005-03-10	29	35.77	4	2	2.56	1
19	2005-03-11	29	36.12	4	2	2.58	1
20	2005-03-14	29	35.93	4	2	2.54	1
21	2005-03-15	29	35.08	4	2	2.48	1
22	2005-03-16	29	34.82	4	2	2.46	1
23	2005-03-17	29	34.69	4	2	2.45	1
24	2005-03-18	29	33.99	4	2	2.39	1
25	2005-03-21	29	34.0	4	2	2.39	1
26	2005-03-22	29	34.15	4	1	2.3	1
27	2005-03-23	29	34.23	4	1	2.31	1
28	2005-03-24	29	34.06	4	1	2.33	1
29	2005-03-25	29	34.13	4	1	2.32	1
30	2005-03-28	29	34.18	4	1	2.29	1
31	2005-03-29	29	33.87	4	1	2.26	1
32	2005-03-30	29	33.46	4	1	2.19	1
33	2005-03-31	29	33.75	4	1	2.22	1
34	2005-04-01	29	35.0	4	1	2.3	1
35	2005-04-04	29	33.81	4	1	2.23	1
36	2005-04-05	29	33.19	4	1	2.18	1
37	2005-04-06	29	33.43	4	1	2.19	1
38	2005-04-07	29	34.2	4	1	2.24	1
39	2005-04-08	29	34.26	4	1	2.29	1
40	2005-04-11	29	33.82	4	1	2.32	1
41	2005-04-12	29	32.84	4	1	2.25	1
42	2005-04-13	29	33.53	4	1	2.3	1
43	2005-04-14	29	33.1	4	1	2.26	1
44	2005-04-15	29	32.09	3	2	2.17	1
45	2005-04-18	29	31.25	3	3	2.13	1
46	2005-04-19	29	31.58	3	3	2.14	1
47	2005-04-20	29	31.28	2	3	2.07	1
48	2005-04-21	29	30.8	2	3	2.04	1
49	2005-04-22	29	30.53	2	3	2.0	1
50	2005-04-25	29	29.71	2	2	1.9	1
51	2005-04-26	29	29.96	2	2	1.94	1
52	2005-04-27	29	29.32	1	2	1.87	1
53	2005-04-28	29	29.87	1	2	1.92	1
54	2005-04-29	29	29.62	2	1	2.06	1
55	2005-05-09	29	28.61	2	1	1.94	2
56	2005-05-10	29	28.87	2	1	1.96	2
57	2005-05-11	29	28.77	2	1	1.97	2
58	2005-05-12	29	28.56	2	1	1.98	2
59	2005-05-13	29	29.09	2	1	2.01	2
60	2005-05-16	29	28.59	2	1	2.0	2
61	2005-05-17	29	29.14	2	1	2.03	2
62	2005-05-18	29	29.39	2	1	2.06	2
63	2005-05-19	29	29.34	2	1	2.05	2
64	2005-05-20	29	29.27	2	1	2.03	2
65	2005-05-23	29	28.35	2	1	1.97	2
66	2005-05-24	29	29.12	2	1	2.05	2
67	2005-05-25	29	29.01	2	1	2.05	2
68	2005-05-26	29	28.6	2	1	2.03	2
69	2005-05-27	29	28.14	2	1	2.01	2
70	2005-05-30	29	28.14	2	1	2.03	2
71	2005-05-31	29	27.94	2	1	2.01	2
72	2005-06-01	29	27.33	2	1	1.98	2
73	2005-06-02	29	26.93	2	1	1.96	2
74	2005-06-03	29	26.76	2	1	1.95	2
75	2005-06-06	29	27.25	2	1	1.98	2
76	2005-06-07	29	27.16	2	1	1.99	2
77	2005-06-08	29	29.4	2	1	2.15	2
78	2005-06-09	29	29.84	2	1	2.18	2
