	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	44	37.52	12	2	2.03	1
1	2005-02-04	44	37.34	12	3	2.07	1
2	2005-02-16	44	37.56	12	3	2.1	1
3	2005-02-17	44	38.03	12	3	2.13	1
4	2005-02-18	44	37.35	12	3	2.09	1
5	2005-02-21	44	37.96	12	3	2.13	1
6	2005-02-22	44	39.15	12	3	2.19	1
7	2005-02-23	44	38.62	12	4	2.23	1
8	2005-02-24	44	38.85	12	4	2.23	1
9	2005-02-25	44	38.89	12	4	2.23	1
10	2005-02-28	44	38.71	12	4	2.22	1
11	2005-03-01	44	38.68	12	4	2.22	1
12	2005-03-02	44	37.15	12	5	2.19	1
13	2005-03-03	44	38.67	12	4	2.21	1
14	2005-03-04	44	38.37	12	4	2.19	1
15	2005-03-07	44	38.41	12	4	2.19	1
16	2005-03-08	44	39.23	12	4	2.23	1
17	2005-03-09	44	39.3	12	4	2.24	1
18	2005-03-10	44	38.47	12	4	2.18	1
19	2005-03-11	44	38.52	12	4	2.19	1
20	2005-03-14	44	39.49	12	3	2.18	1
21	2005-03-15	44	38.93	12	3	2.15	1
22	2005-03-16	44	38.49	12	3	2.13	1
23	2005-03-17	44	37.7	11	4	2.09	1
24	2005-03-18	44	36.64	11	4	2.02	1
25	2005-03-21	44	36.61	11	4	2.07	1
26	2005-03-22	44	36.83	11	3	1.99	1
27	2005-03-23	44	35.96	11	4	2.0	1
28	2005-03-24	44	36.4	11	4	2.03	1
29	2005-03-25	44	36.36	11	4	2.02	1
30	2005-03-28	44	35.97	11	4	1.99	1
31	2005-03-29	44	36.57	11	3	1.97	1
32	2005-03-30	44	35.48	11	3	1.91	1
33	2005-03-31	44	35.83	10	4	1.92	1
34	2005-04-01	44	35.96	10	5	1.98	1
35	2005-04-04	44	35.02	10	5	1.94	1
36	2005-04-05	44	35.13	10	4	1.9	1
37	2005-04-06	44	35.14	10	5	1.92	1
38	2005-04-07	44	36.04	10	5	1.96	1
39	2005-04-08	44	37.05	10	5	2.01	1
40	2005-04-11	44	37.8	11	5	2.03	1
41	2005-04-12	44	37.8	11	5	1.98	1
42	2005-04-13	44	38.68	11	5	2.02	1
43	2005-04-14	44	37.89	11	5	1.97	1
44	2005-04-15	44	36.64	11	5	1.89	1
45	2005-04-18	44	35.87	11	5	1.85	1
46	2005-04-19	44	35.13	11	4	1.85	1
47	2005-04-20	44	34.42	11	4	1.81	1
48	2005-04-21	44	33.61	11	4	1.74	1
49	2005-04-22	44	32.16	11	5	1.71	1
50	2005-04-25	44	31.73	12	5	1.66	1
51	2005-04-26	44	32.03	14	5	1.74	1
52	2005-04-27	44	31.8	14	7	1.7	1
53	2005-04-28	44	32.97	14	7	1.75	1
54	2005-04-29	44	33.4	15	6	1.72	1
55	2005-05-09	44	33.05	17	4	1.7	2
56	2005-05-10	44	32.65	17	4	1.69	2
57	2005-05-11	44	32.5	17	4	1.69	2
58	2005-05-12	44	32.48	17	4	1.69	2
59	2005-05-13	44	32.8	17	4	1.72	2
60	2005-05-16	44	32.66	17	4	1.73	2
61	2005-05-17	44	33.08	17	4	1.75	2
62	2005-05-18	44	33.29	17	4	1.77	2
63	2005-05-19	44	33.26	17	4	1.77	2
64	2005-05-20	44	33.01	17	4	1.76	2
65	2005-05-23	44	32.0	17	4	1.68	2
66	2005-05-24	44	32.52	17	4	1.73	2
67	2005-05-25	44	32.59	17	4	1.75	2
68	2005-05-26	44	32.05	17	4	1.73	2
69	2005-05-27	44	31.94	17	4	1.72	2
70	2005-05-30	44	32.14	17	4	1.75	2
71	2005-05-31	44	32.24	17	4	1.75	2
72	2005-06-01	44	31.34	17	4	1.72	2
73	2005-06-02	44	30.85	17	4	1.71	2
74	2005-06-03	44	30.71	17	4	1.7	2
75	2005-06-06	44	31.14	17	4	1.72	2
76	2005-06-07	44	31.2	17	4	1.73	2
77	2005-06-08	44	33.65	17	4	1.86	2
78	2005-06-09	44	34.02	17	4	1.88	2
79	2005-06-10	44	33.32	17	4	1.86	2
