	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	25	30.3	3	2	1.76	0
1	2005-02-04	25	32.18	2	2	1.79	0
2	2005-02-16	25	32.69	2	2	1.82	0
3	2005-02-17	25	32.84	2	2	1.84	0
4	2005-02-18	25	32.24	2	2	1.8	0
5	2005-02-21	25	32.69	2	2	1.82	0
6	2005-02-22	25	33.52	2	2	1.87	0
7	2005-02-23	25	33.67	2	2	1.88	0
8	2005-02-24	25	33.65	2	2	1.89	0
9	2005-02-25	25	33.6	2	2	1.88	0
10	2005-02-28	25	32.42	2	3	1.88	0
11	2005-03-01	25	33.58	2	2	1.88	0
12	2005-03-02	25	33.27	2	2	1.85	0
13	2005-03-03	25	33.37	2	2	1.9	0
14	2005-03-04	25	32.73	2	2	1.88	0
15	2005-03-07	25	32.71	2	2	1.88	0
16	2005-03-08	25	33.39	2	2	1.92	0
17	2005-03-09	25	33.47	2	2	1.92	0
18	2005-03-10	25	32.76	2	2	1.87	0
19	2005-03-11	25	32.94	2	2	1.88	0
20	2005-03-14	25	32.79	2	2	1.85	0
21	2005-03-15	25	32.34	2	2	1.83	0
22	2005-03-16	25	31.9	2	2	1.81	0
23	2005-03-17	25	31.64	2	2	1.8	0
24	2005-03-18	25	30.93	2	2	1.75	0
25	2005-03-21	25	31.29	2	2	1.73	0
26	2005-03-22	25	30.07	2	2	1.64	0
27	2005-03-23	25	30.25	2	2	1.65	0
28	2005-03-24	25	30.57	2	2	1.67	0
29	2005-03-25	25	30.59	2	2	1.68	0
30	2005-03-28	25	29.95	2	2	1.64	0
31	2005-03-29	25	30.05	2	2	1.63	0
32	2005-03-30	25	28.85	2	2	1.59	0
33	2005-03-31	25	28.54	2	3	1.6	0
34	2005-04-01	25	29.48	2	3	1.66	0
35	2005-04-04	25	29.21	2	3	1.61	0
36	2005-04-05	25	28.9	2	3	1.6	0
37	2005-04-06	25	28.88	2	3	1.6	0
38	2005-04-07	25	29.74	2	3	1.63	0
39	2005-04-08	25	30.42	2	3	1.68	0
40	2005-04-11	25	29.42	3	3	1.66	0
41	2005-04-12	25	28.59	3	3	1.61	0
42	2005-04-13	25	29.34	3	3	1.65	0
43	2005-04-14	25	28.82	3	3	1.6	0
44	2005-04-15	25	27.96	3	3	1.54	0
45	2005-04-18	25	28.03	3	2	1.5	0
46	2005-04-19	25	28.32	3	2	1.52	0
47	2005-04-20	25	27.5	3	2	1.47	0
48	2005-04-21	25	26.42	3	2	1.42	0
49	2005-04-22	25	27.39	2	2	1.42	0
50	2005-04-25	25	27.04	2	2	1.36	0
51	2005-04-26	25	27.33	3	2	1.4	0
52	2005-04-27	25	26.61	3	2	1.32	0
53	2005-04-28	25	27.17	3	2	1.36	0
54	2005-04-29	25	28.24	3	2	1.32	0
55	2005-05-09	25	27.64	3	2	1.27	0
56	2005-05-10	25	27.39	3	2	1.26	0
57	2005-05-11	25	27.58	3	2	1.28	0
58	2005-05-12	25	27.71	3	2	1.28	0
59	2005-05-13	25	28.1	3	2	1.31	0
60	2005-05-16	25	27.75	3	2	1.3	0
61	2005-05-17	25	28.25	3	2	1.32	0
62	2005-05-18	25	28.49	3	2	1.34	0
63	2005-05-19	25	28.39	3	2	1.34	0
64	2005-05-20	25	28.04	3	2	1.31	0
65	2005-05-23	25	27.06	3	2	1.26	0
66	2005-05-24	25	27.82	3	2	1.3	0
67	2005-05-25	25	28.0	3	2	1.32	0
68	2005-05-26	25	27.77	3	2	1.31	0
69	2005-05-27	25	27.95	3	2	1.32	0
70	2005-05-30	25	28.54	3	2	1.34	0
71	2005-05-31	25	28.45	3	2	1.34	0
72	2005-06-01	25	27.63	3	2	1.3	0
73	2005-06-02	25	27.45	3	2	1.31	0
74	2005-06-03	25	27.2	3	2	1.3	0
75	2005-06-06	25	27.44	3	2	1.32	0
76	2005-06-07	25	27.68	3	2	1.32	0
77	2005-06-08	25	29.92	3	2	1.43	0
78	2005-06-09	25	30.38	3	2	1.45	0
79	2005-06-10	25	29.43	3	2	1.41	0
80	2005-06-13	25	29.55	3	2	1.41	0
81	2005-06-14	25	28.92	3	2	1.37	0
82	2005-06-15	25	28.22	3	2	1.33	0
83	2005-06-16	25	28.36	3	2	1.34	0
84	2005-06-17	25	28.53	3	2	1.34	0
85	2005-06-20	25	29.41	3	2	1.38	0
86	2005-06-21	25	29.01	3	2	1.36	0
87	2005-06-22	25	29.02	3	2	1.37	0
88	2005-06-23	25	28.55	3	2	1.35	0
89	2005-06-24	25	28.63	3	2	1.35	0
90	2005-06-27	25	29.45	3	2	1.39	0
91	2005-06-28	25	28.98	3	2	1.36	0
92	2005-06-29	25	28.94	3	2	1.36	0
93	2005-06-30	25	27.93	3	2	1.31	0
94	2005-07-01	25	26.52	3	2	1.24	0
95	2005-07-04	25	25.95	3	2	1.21	0
96	2005-07-05	25	25.77	3	2	1.19	0
97	2005-07-06	25	25.47	3	2	1.18	0
98	2005-07-07	25	25.59	3	2	1.19	0
99	2005-07-08	25	24.52	3	2	1.14	0
100	2005-07-11	25	24.12	3	2	1.11	0
101	2005-07-12	25	25.06	3	2	1.15	0
102	2005-07-13	25	24.95	3	2	1.15	0
103	2005-07-14	25	24.74	3	2	1.14	0
104	2005-07-15	25	23.48	3	2	1.08	0
105	2005-07-18	25	22.57	3	2	1.03	0
106	2005-07-19	25	23.01	3	2	1.05	0
107	2005-07-20	25	23.1	3	2	1.06	0
108	2005-07-21	25	22.64	3	2	1.05	0
109	2005-07-22	25	23.49	3	2	1.08	0
110	2005-07-25	25	23.24	3	2	1.07	0
111	2005-07-26	25	24.01	3	2	1.11	0
112	2005-07-27	25	24.72	3	2	1.14	0
113	2005-07-28	25	24.78	3	2	1.12	0
114	2005-07-29	25	24.85	3	2	1.13	0
115	2005-08-01	25	25.63	3	2	1.14	0
116	2005-08-02	25	26.03	3	2	1.16	0
117	2005-08-03	25	26.42	3	2	1.18	0
118	2005-08-04	25	26.66	3	2	1.18	0
119	2005-08-05	25	27.43	3	2	1.22	0
120	2005-08-08	25	27.56	3	2	1.24	0
121	2005-08-09	25	28.0	3	2	1.26	0
122	2005-08-10	25	28.49	3	2	1.28	0
123	2005-08-11	25	28.54	3	2	1.28	0
124	2005-08-12	25	27.73	3	2	1.26	0
125	2005-08-15	25	28.49	3	2	1.29	0
126	2005-08-16	25	27.76	3	3	1.3	0
127	2005-08-17	25	28.48	3	3	1.33	0
128	2005-08-18	25	26.95	3	3	1.27	0
129	2005-08-19	25	26.69	3	3	1.26	0
130	2005-08-22	25	26.81	3	3	1.27	0
131	2005-08-23	25	26.24	3	3	1.23	0
132	2005-08-24	25	26.36	3	3	1.24	0
133	2005-08-25	25	27.89	3	3	1.27	0
134	2005-08-26	25	28.48	3	3	1.3	0
135	2005-08-29	25	28.12	3	3	1.28	0
136	2005-08-30	25	33.18	4	3	1.27	0
137	2005-08-31	25	33.0	5	3	1.3	0
138	2005-09-01	25	33.8	5	3	1.34	0
139	2005-09-02	25	34.02	5	3	1.35	0
140	2005-09-05	25	34.19	5	3	1.37	0
141	2005-09-06	25	33.27	5	3	1.33	0
142	2005-09-07	25	34.37	5	3	1.38	0
143	2005-09-08	25	34.37	5	3	1.38	0
144	2005-09-09	25	34.05	5	3	1.36	0
145	2005-09-12	25	33.94	5	3	1.36	0
146	2005-09-13	25	34.71	5	3	1.4	0
147	2005-09-14	25	35.27	5	3	1.42	0
148	2005-09-15	25	35.49	5	3	1.43	0
149	2005-09-16	25	35.23	5	3	1.42	0
150	2005-09-19	25	35.63	5	3	1.45	0
151	2005-09-20	25	35.25	5	3	1.45	0
152	2005-09-21	25	34.47	5	3	1.41	0
153	2005-09-22	25	33.24	5	3	1.34	0
154	2005-09-23	25	32.74	5	3	1.31	0
155	2005-09-26	25	33.05	5	3	1.33	0
156	2005-09-27	25	32.21	5	3	1.28	0
157	2005-09-28	25	32.29	5	3	1.27	0
158	2005-09-29	25	33.17	5	3	1.31	0
159	2005-09-30	25	32.95	5	3	1.3	0
160	2005-10-10	25	32.19	5	3	1.26	0
161	2005-10-11	25	32.93	5	3	1.29	0
162	2005-10-12	25	33.1	5	3	1.31	0
163	2005-10-13	25	32.81	5	3	1.31	0
164	2005-10-14	25	32.8	5	3	1.3	0
165	2005-10-17	25	32.8	5	3	1.29	0
166	2005-10-18	25	33.43	6	2	1.31	0
167	2005-10-19	25	33.24	6	2	1.31	0
168	2005-10-20	25	33.13	6	2	1.29	0
169	2005-10-21	25	33.43	6	2	1.3	0
170	2005-10-24	25	34.25	7	1	1.32	0
171	2005-10-25	25	33.24	8	0	1.28	0
172	2005-10-26	25	33.41	9	0	1.25	0
173	2005-10-27	25	33.63	9	0	1.23	0
174	2005-10-28	25	32.75	9	0	1.18	0
175	2005-10-31	25	34.88	9	0	1.25	0
176	2005-11-01	25	35.18	9	0	1.27	0
177	2005-11-02	25	35.92	9	0	1.3	0
178	2005-11-03	25	35.65	9	0	1.29	0
179	2005-11-04	25	35.86	9	0	1.29	0
180	2005-11-07	25	36.22	9	0	1.32	0
181	2005-11-08	25	35.41	9	0	1.3	0
182	2005-11-09	25	35.63	9	0	1.29	0
183	2005-11-10	25	34.64	9	0	1.25	0
184	2005-11-11	25	34.82	9	0	1.27	0
185	2005-11-14	25	34.89	9	0	1.27	0
186	2005-11-15	25	34.68	9	0	1.27	0
187	2005-11-16	25	34.86	9	0	1.29	0
188	2005-11-17	25	34.84	9	0	1.28	0
189	2005-11-18	25	35.46	9	0	1.31	0
190	2005-11-21	25	35.55	9	0	1.32	0
191	2005-11-22	25	35.0	9	0	1.28	0
192	2005-11-23	25	34.59	9	0	1.28	0
193	2005-11-24	25	34.64	9	0	1.29	0
194	2005-11-25	25	34.52	9	0	1.28	0
195	2005-11-28	25	34.44	9	0	1.27	0
196	2005-11-29	25	33.96	9	0	1.25	0
197	2005-11-30	25	34.25	9	0	1.25	0
198	2005-12-01	25	34.23	9	0	1.25	0
199	2005-12-02	25	33.87	9	0	1.23	0
200	2005-12-05	25	32.93	9	0	1.19	0
201	2005-12-06	25	33.07	9	0	1.2	0
202	2005-12-07	25	33.31	9	0	1.21	0
203	2005-12-08	25	33.18	9	0	1.2	0
204	2005-12-09	25	33.87	9	0	1.22	0
205	2005-12-12	25	33.95	9	0	1.23	0
206	2005-12-13	25	34.04	9	0	1.23	0
207	2005-12-14	25	34.21	9	0	1.24	0
208	2005-12-15	25	34.07	9	0	1.24	0
209	2005-12-16	25	34.33	9	0	1.25	0
210	2005-12-19	25	34.21	9	0	1.24	0
211	2005-12-20	25	34.72	9	0	1.26	0
212	2005-12-21	25	34.61	9	0	1.25	0
213	2005-12-22	25	33.64	9	0	1.23	0
214	2005-12-23	25	33.98	9	0	1.25	0
215	2005-12-26	25	34.35	9	0	1.26	0
216	2005-12-27	25	34.2	9	0	1.25	0
217	2005-12-28	25	34.78	9	0	1.27	0
218	2005-12-29	25	34.19	9	0	1.26	0
219	2005-12-30	25	33.66	9	0	1.24	0
220	2006-01-04	25	34.41	9	0	1.26	0
221	2006-01-05	25	34.68	9	0	1.28	0
222	2006-01-06	25	34.99	9	0	1.29	0
223	2006-01-09	25	35.45	9	0	1.3	0
224	2006-01-10	25	35.35	9	0	1.29	0
225	2006-01-11	25	34.96	9	0	1.29	0
226	2006-01-12	25	35.79	9	0	1.32	0
227	2006-01-13	25	35.77	9	0	1.32	0
228	2006-01-16	25	34.76	9	0	1.3	0
229	2006-01-17	25	34.84	9	0	1.29	0
230	2006-01-18	25	35.64	9	0	1.32	0
231	2006-01-19	25	34.36	9	1	1.33	0
232	2006-01-20	25	34.19	9	1	1.33	0
233	2006-01-23	25	34.94	9	1	1.35	0
234	2006-01-24	25	35.8	9	1	1.36	0
235	2006-01-25	25	36.23	9	1	1.36	0
236	2006-02-06	25	36.8	9	1	1.39	0
237	2006-02-07	25	35.64	9	1	1.37	0
238	2006-02-08	25	35.68	9	1	1.38	0
239	2006-02-09	25	34.86	9	1	1.35	0
240	2006-02-10	25	35.27	9	1	1.37	0
241	2006-02-13	25	34.85	9	1	1.37	0
242	2006-02-14	25	35.04	9	1	1.38	0
243	2006-02-15	25	35.15	9	1	1.38	0
244	2006-02-16	25	33.77	9	1	1.33	0
245	2006-02-17	25	33.34	9	1	1.32	0
246	2006-02-20	25	33.18	9	1	1.3	0
247	2006-02-21	25	34.52	9	1	1.35	0
248	2006-02-22	25	34.16	9	1	1.34	0
249	2006-02-23	25	33.91	9	1	1.33	0
250	2006-02-24	25	34.27	9	1	1.34	0
251	2006-02-27	25	33.95	9	1	1.33	0
252	2006-02-28	25	34.15	9	1	1.34	0
253	2006-03-01	25	34.44	9	1	1.35	0
254	2006-03-02	25	33.62	9	1	1.33	0
255	2006-03-03	25	33.68	9	1	1.32	0
256	2006-03-06	25	33.93	9	1	1.32	0
257	2006-03-07	25	34.03	9	0	1.25	0
258	2006-03-08	25	33.81	9	0	1.25	0
259	2006-03-09	25	33.64	9	0	1.23	0
260	2006-03-10	25	33.55	9	0	1.23	0
261	2006-03-13	25	33.94	9	0	1.24	0
262	2006-03-14	25	34.02	9	0	1.24	0
263	2006-03-15	25	34.45	9	0	1.28	0
264	2006-03-16	25	33.98	9	0	1.27	0
265	2006-03-17	25	33.02	9	1	1.28	0
266	2006-03-20	25	34.09	9	1	1.29	0
267	2006-03-21	25	34.18	8	2	1.3	0
268	2006-03-22	25	34.26	8	2	1.31	0
269	2006-03-23	25	34.69	8	2	1.32	0
270	2006-03-24	25	32.01	8	3	1.3	0
271	2006-03-27	25	32.26	8	3	1.33	0
272	2006-03-28	25	32.51	8	3	1.34	0
273	2006-03-29	25	32.54	8	3	1.34	0
274	2006-03-30	25	32.03	8	3	1.32	0
275	2006-03-31	25	32.61	8	3	1.32	0
276	2006-04-03	25	31.41	8	3	1.33	0
277	2006-04-04	25	32.01	8	3	1.35	0
278	2006-04-05	25	32.24	8	3	1.36	0
279	2006-04-06	25	32.2	8	3	1.33	0
280	2006-04-07	25	32.75	8	3	1.36	0
281	2006-04-10	25	34.44	8	3	1.38	0
282	2006-04-11	25	33.99	8	3	1.39	0
283	2006-04-12	25	33.31	9	3	1.4	0
284	2006-04-13	25	32.94	9	3	1.36	0
285	2006-04-14	25	33.71	9	3	1.39	0
286	2006-04-17	25	33.52	9	3	1.39	0
287	2006-04-18	25	33.32	9	3	1.42	0
288	2006-04-19	25	34.38	9	2	1.41	0
289	2006-04-20	25	34.35	9	2	1.4	0
290	2006-04-21	25	34.27	9	2	1.41	0
291	2006-04-24	25	33.26	9	2	1.37	0
292	2006-04-25	25	32.73	9	2	1.35	0
293	2006-04-26	25	33.01	9	3	1.39	0
294	2006-04-27	25	33.26	10	2	1.4	0
295	2006-04-28	25	33.01	10	2	1.41	0
296	2006-05-08	25	34.51	10	2	1.47	0
297	2006-05-09	25	35.44	10	2	1.53	0
298	2006-05-10	25	36.01	10	2	1.55	0
299	2006-05-11	25	35.53	10	2	1.55	0
300	2006-05-12	25	37.33	10	2	1.62	0
301	2006-05-15	25	38.92	10	2	1.68	0
302	2006-05-16	25	35.48	10	3	1.64	0
303	2006-05-17	25	36.03	10	3	1.69	0
304	2006-05-18	25	34.94	10	4	1.73	0
305	2006-05-19	25	34.58	10	4	1.74	0
306	2006-05-22	25	34.38	10	4	1.76	0
307	2006-05-23	25	32.33	10	4	1.68	0
308	2006-05-24	25	33.25	10	3	1.62	0
309	2006-05-25	25	33.79	10	3	1.67	0
310	2006-05-26	25	32.35	10	4	1.7	0
311	2006-05-29	25	33.33	10	4	1.75	0
312	2006-05-30	25	33.45	10	4	1.78	0
313	2006-05-31	25	32.88	10	4	1.75	0
314	2006-06-01	25	34.07	10	4	1.83	0
315	2006-06-02	25	34.51	10	4	1.85	0
316	2006-06-05	25	35.29	10	4	1.89	0
317	2006-06-06	25	35.17	10	4	1.89	0
318	2006-06-07	25	32.6	10	4	1.76	0
