	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	54	18.89	10	4	1.67	2
1	2005-02-04	54	19.41	10	4	1.7	2
2	2005-02-16	54	19.04	10	5	1.72	2
3	2005-02-17	54	18.99	10	5	1.73	2
4	2005-02-18	54	19.18	10	4	1.71	2
5	2005-02-21	54	19.12	10	5	1.74	2
6	2005-02-22	54	19.6	10	5	1.78	2
7	2005-02-23	54	19.24	10	6	1.79	2
8	2005-02-24	54	19.52	10	6	1.81	2
9	2005-02-25	54	19.36	10	6	1.8	2
10	2005-02-28	54	19.14	10	6	1.79	2
11	2005-03-01	54	19.52	10	5	1.79	2
12	2005-03-02	54	19.14	10	5	1.76	2
13	2005-03-03	54	18.99	10	5	1.77	2
14	2005-03-04	54	18.88	10	5	1.75	2
15	2005-03-07	54	18.95	9	6	1.76	2
16	2005-03-08	54	19.35	9	6	1.78	2
17	2005-03-09	54	18.97	9	7	1.79	2
18	2005-03-10	54	19.04	9	6	1.74	2
19	2005-03-11	54	19.01	9	6	1.74	2
20	2005-03-14	54	19.14	9	5	1.71	2
21	2005-03-15	54	18.41	9	6	1.69	2
22	2005-03-16	54	18.42	9	6	1.69	2
23	2005-03-17	54	17.95	9	6	1.66	2
24	2005-03-18	54	17.77	9	6	1.63	2
25	2005-03-21	54	18.02	9	6	1.63	2
26	2005-03-22	54	17.43	9	6	1.56	2
27	2005-03-23	54	17.44	9	6	1.56	2
28	2005-03-24	54	17.27	9	7	1.59	2
29	2005-03-25	54	18.01	9	6	1.59	2
30	2005-03-28	54	17.83	9	6	1.56	2
31	2005-03-29	54	17.6	9	6	1.56	2
32	2005-03-30	54	17.1	9	6	1.5	2
33	2005-03-31	54	17.28	9	6	1.52	2
34	2005-04-01	54	17.87	9	6	1.56	2
35	2005-04-04	54	17.41	9	6	1.52	2
36	2005-04-05	54	17.21	9	6	1.51	2
37	2005-04-06	54	17.44	9	6	1.52	2
38	2005-04-07	54	17.85	9	6	1.56	2
39	2005-04-08	54	18.23	9	6	1.58	2
40	2005-04-11	54	18.18	9	6	1.59	2
41	2005-04-12	54	17.76	9	6	1.55	2
42	2005-04-13	54	18.32	9	6	1.6	2
43	2005-04-14	54	18.03	9	6	1.56	2
44	2005-04-15	54	17.71	9	6	1.51	2
45	2005-04-18	54	17.39	9	6	1.48	2
46	2005-04-19	54	17.32	9	6	1.48	2
47	2005-04-20	54	17.08	9	6	1.45	3
48	2005-04-21	54	16.83	9	6	1.41	3
49	2005-04-22	54	17.03	10	5	1.39	4
50	2005-04-25	54	17.29	10	4	1.36	4
51	2005-04-26	54	16.98	11	5	1.4	4
52	2005-04-27	54	16.62	11	5	1.37	4
53	2005-04-28	54	16.93	11	5	1.41	4
54	2005-04-29	54	16.84	12	5	1.39	4
55	2005-05-09	54	16.81	12	5	1.34	4
56	2005-05-10	54	17.23	12	4	1.33	4
57	2005-05-11	54	16.87	12	4	1.31	4
58	2005-05-12	54	16.83	12	4	1.32	4
59	2005-05-13	54	17.02	12	4	1.34	4
60	2005-05-16	54	16.55	12	5	1.34	4
61	2005-05-17	54	16.79	12	5	1.36	4
62	2005-05-18	54	16.89	12	5	1.38	4
63	2005-05-19	54	16.95	12	5	1.38	4
64	2005-05-20	54	16.8	12	5	1.36	4
65	2005-05-23	54	16.75	12	4	1.32	4
66	2005-05-24	54	17.12	12	4	1.35	4
67	2005-05-25	54	16.86	12	5	1.37	4
68	2005-05-26	54	17.13	12	4	1.36	4
69	2005-05-27	54	17.04	12	4	1.36	4
70	2005-05-30	54	16.77	12	5	1.39	4
71	2005-05-31	54	16.84	12	5	1.39	4
72	2005-06-01	54	16.89	12	4	1.37	4
73	2005-06-02	54	16.61	12	4	1.36	4
74	2005-06-03	55	16.56	12	4	1.36	4
75	2005-06-06	55	16.67	12	4	1.37	4
76	2005-06-07	55	16.68	12	4	1.38	4
77	2005-06-08	55	18.03	12	4	1.48	4
78	2005-06-09	55	17.92	12	5	1.5	4
79	2005-06-10	55	17.52	12	5	1.47	4
80	2005-06-13	55	17.89	12	5	1.5	4
81	2005-06-14	55	17.54	12	5	1.46	4
82	2005-06-15	55	16.91	12	5	1.41	4
83	2005-06-16	55	16.99	12	5	1.41	4
84	2005-06-17	55	17.05	12	5	1.42	4
85	2005-06-20	55	17.68	12	5	1.46	4
86	2005-06-21	55	17.54	12	5	1.45	4
87	2005-06-22	55	17.52	12	5	1.45	4
88	2005-06-23	55	17.31	12	5	1.42	4
