	date	total_count	pe	pe_negative_count	pe_over_125_count	pb	pb_negative_count
0	2005-02-03	62	22.53	4	3	1.74	0
1	2005-02-04	62	23.03	4	3	1.77	0
2	2005-02-16	62	23.28	4	3	1.8	0
3	2005-02-17	62	23.3	4	3	1.8	0
4	2005-02-18	62	22.92	4	3	1.78	0
5	2005-02-21	62	23.41	4	3	1.81	0
6	2005-02-22	62	23.79	4	4	1.87	0
7	2005-02-23	62	24.04	4	4	1.89	0
8	2005-02-24	62	24.11	4	4	1.9	0
9	2005-02-25	62	24.25	4	4	1.9	0
10	2005-02-28	62	24.09	4	4	1.89	0
11	2005-03-01	62	24.07	4	4	1.9	0
12	2005-03-02	62	23.52	4	4	1.86	0
13	2005-03-03	62	23.81	4	4	1.88	0
14	2005-03-04	62	23.73	4	3	1.86	0
15	2005-03-07	62	23.94	4	3	1.87	0
16	2005-03-08	62	24.27	4	4	1.91	0
17	2005-03-09	62	24.45	4	4	1.93	0
18	2005-03-10	62	23.78	4	4	1.87	0
19	2005-03-11	62	23.95	4	4	1.88	0
20	2005-03-14	62	23.87	3	5	1.86	0
21	2005-03-15	62	23.76	3	4	1.84	0
22	2005-03-16	62	23.45	3	4	1.82	0
23	2005-03-17	62	23.44	2	3	1.78	0
24	2005-03-18	62	23.09	2	2	1.75	0
25	2005-03-21	62	23.28	2	2	1.76	0
26	2005-03-22	62	22.66	2	2	1.7	0
27	2005-03-23	62	22.52	2	2	1.7	0
28	2005-03-24	62	22.88	2	2	1.72	0
29	2005-03-25	62	22.29	3	3	1.71	0
30	2005-03-28	62	22.07	3	3	1.69	0
31	2005-03-29	62	22.1	3	3	1.68	0
32	2005-03-30	62	21.2	3	3	1.61	0
33	2005-03-31	62	21.39	3	3	1.63	0
34	2005-04-01	62	22.28	3	3	1.69	0
35	2005-04-04	62	21.89	3	3	1.66	0
36	2005-04-05	62	21.64	3	3	1.64	0
37	2005-04-06	62	22.06	3	3	1.66	0
38	2005-04-07	62	22.44	3	3	1.69	0
39	2005-04-08	62	22.83	3	3	1.72	0
40	2005-04-11	62	22.86	3	3	1.72	0
41	2005-04-12	62	22.45	3	3	1.68	0
42	2005-04-13	62	23.02	3	3	1.73	0
43	2005-04-14	62	22.75	3	3	1.71	0
44	2005-04-15	62	22.34	3	3	1.65	0
45	2005-04-18	62	22.44	3	2	1.62	0
46	2005-04-19	62	22.52	3	2	1.62	0
47	2005-04-20	62	22.04	3	2	1.58	0
48	2005-04-21	62	21.28	4	2	1.54	0
49	2005-04-22	62	20.8	4	2	1.5	0
50	2005-04-25	62	19.91	4	3	1.45	0
51	2005-04-26	62	20.92	4	3	1.47	0
52	2005-04-27	62	20.69	4	3	1.46	0
53	2005-04-28	62	21.23	5	3	1.5	0
